date,HACK_2022_Q1,meta
2022-03-03 00:00:00,39.13663579179081,
2022-03-03 10:00:00,52.07929321828624,
2022-03-03 10:30:00,26.928895583691997,
2022-03-03 12:00:00,11.262377847310177,
2022-03-03 13:30:00,-9.960461316747228,
2022-03-03 15:00:00,-18.9679524172534,
2022-03-03 15:30:30,-18.9679524172534,
2022-03-03 23:59:59,-33.77263686982394,c
2022-03-04 00:00:00,-7.5828729805626836,
2022-03-04 10:00:00,-45.10695885633879,
2022-03-04 10:30:00,-57.48149139325301,
2022-03-04 12:00:00,-33.42619908526774,
2022-03-04 13:30:00,-15.152054693605692,
2022-03-04 15:00:00,-35.23140018164543,
2022-03-04 15:30:30,-35.23140018164543,
2022-03-04 23:59:59,-20.660363731401958,w
2022-03-07 00:00:00,-24.544301030764245,
2022-03-07 10:00:00,-84.36310041875095,
2022-03-07 10:30:00,-99.30585980783633,
2022-03-07 12:00:00,-112.70532564646692,
2022-03-07 13:30:00,-101.89767074192378,
2022-03-07 15:00:00,-96.0865932511706,
2022-03-07 15:30:30,-96.0865932511706,
2022-03-07 23:59:59,-181.87023164796625,c
2022-03-08 00:00:00,-189.05970220721036,
2022-03-08 10:00:00,-237.7601216448167,
2022-03-08 10:30:00,-264.8343585316547,
2022-03-08 12:00:00,-275.6498875632304,
2022-03-08 13:30:00,-243.3466776230656,
2022-03-08 15:00:00,-265.5191029400518,
2022-03-08 15:30:30,-265.5191029400518,
2022-03-08 23:59:59,-274.23824270280375,c
2022-03-09 00:00:00,-228.93326058046978,
2022-03-09 10:00:00,-258.63015415635067,
2022-03-09 10:30:00,-229.74608413767817,
2022-03-09 12:00:00,-219.25891716315272,
2022-03-09 13:30:00,-198.82948664694436,
2022-03-09 15:00:00,-197.60980302722425,
2022-03-09 15:30:30,-197.60980302722425,
2022-03-09 23:59:59,-197.81519711383754,c
2022-03-10 00:00:00,-172.67270226689362,
2022-03-10 10:00:00,-165.32116221133833,
2022-03-10 10:30:00,-152.94646499531592,
2022-03-10 12:00:00,-147.79572122009984,
2022-03-10 13:30:00,-136.22125297049217,
2022-03-10 15:00:00,-108.39649672802864,
2022-03-10 15:30:30,-108.39649672802864,
2022-03-10 23:59:59,-116.13334932370378,c
2022-03-11 00:00:00,-121.27484972867705,
2022-03-11 10:00:00,-97.31019544912147,
2022-03-11 10:30:00,-94.29484688041077,
2022-03-11 12:00:00,-104.90360781464801,
2022-03-11 13:30:00,-96.78070371114688,
2022-03-11 15:00:00,-109.56723438534857,
2022-03-11 15:30:30,-109.56723438534857,s
2022-03-11 23:59:59,-119.38200194177352,w
2022-03-14 00:00:00,-125.23756154088642,
2022-03-14 10:00:00,-82.44174750653292,
2022-03-14 10:30:00,-64.95096973210264,
2022-03-14 12:00:00,-126.26362809398574,
2022-03-14 13:30:00,-156.63958572664012,
2022-03-14 15:00:00,-148.06531407224918,
2022-03-14 15:30:30,-148.06531407224918,
2022-03-14 23:59:59,-141.85061812951722,c
2022-03-15 00:00:00,-139.35588107938656,
2022-03-15 10:00:00,-141.11784355792747,
2022-03-15 10:30:00,-129.2910469783816,
2022-03-15 12:00:00,-99.06561766731897,
2022-03-15 13:30:00,-103.82246537756384,
2022-03-15 15:00:00,-73.74126802324122,
2022-03-15 15:30:30,-73.74126802324122,
2022-03-15 23:59:59,-61.948614878840544,c
2022-03-16 00:00:00,-73.89714113862613,
2022-03-16 10:00:00,-62.837672235366995,
2022-03-16 10:30:00,-73.91578752285716,
2022-03-16 12:00:00,-127.76383982562402,
2022-03-16 13:30:00,-155.07145060533463,
2022-03-16 15:00:00,-145.4062210959786,
2022-03-16 15:30:30,-145.4062210959786,
2022-03-16 23:59:59,-110.13855686911802,c
2022-03-17 00:00:00,-107.57655997731513,
2022-03-17 10:00:00,-74.82707279587737,
2022-03-17 10:30:00,-76.47018065464772,
2022-03-17 12:00:00,-72.38358026675826,
2022-03-17 13:30:00,-49.383407257105546,
2022-03-17 15:00:00,-7.855059251725834,
2022-03-17 15:30:30,-7.855059251725834,
2022-03-17 23:59:59,0.0,a
2022-03-18 00:00:00,0.32421409643063726,
2022-03-18 10:00:00,18.48496348318622,
2022-03-18 10:30:00,63.664865552142146,
2022-03-18 12:00:00,79.48669083884351,
2022-03-18 13:30:00,64.95385830516557,
2022-03-18 15:00:00,126.15511621685062,
2022-03-18 15:30:30,126.15511621685062,
2022-03-18 23:59:59,175.93107246043564,e
2022-03-21 00:00:00,86.65166068589974,
2022-03-21 10:00:00,-89.39954053153599,
2022-03-21 10:30:00,-108.92389575051197,
2022-03-21 12:00:00,-90.25116455695411,
2022-03-21 13:30:00,-120.32529679344236,
2022-03-21 15:00:00,-117.81882192472108,
2022-03-21 15:30:30,-117.81882192472108,
2022-03-21 23:59:59,-103.94966923027368,c
2022-03-22 00:00:00,-124.02125043424121,
2022-03-22 10:00:00,-85.67935644384579,
2022-03-22 10:30:00,-36.84371804477962,
2022-03-22 12:00:00,-16.677397568740048,
2022-03-22 13:30:00,-43.68962296525012,
2022-03-22 15:00:00,-21.75255672096887,
2022-03-22 15:30:30,-21.75255672096887,
2022-03-22 23:59:59,-20.54604147136638,c
2022-03-23 00:00:00,-66.61953257655784,
2022-03-23 10:00:00,-95.02873762074842,
2022-03-23 10:30:00,-79.36072858210753,
2022-03-23 12:00:00,-51.927941779101616,
2022-03-23 13:30:00,-82.562239717088,
2022-03-23 15:00:00,-93.6194122952462,
2022-03-23 15:30:30,-93.6194122952462,
2022-03-23 23:59:59,-84.72893341176962,c
2022-03-24 00:00:00,-108.14074486154311,
2022-03-24 10:00:00,-131.97240069545035,
2022-03-24 10:30:00,-126.50292032031291,
2022-03-24 12:00:00,-96.22147567947923,
2022-03-24 13:30:00,-63.447255857452774,
2022-03-24 15:00:00,-49.6637137920884,
2022-03-24 15:30:30,-49.6637137920884,
2022-03-24 23:59:59,-43.10560375804846,c
2022-03-25 00:00:00,-30.742264023511098,
2022-03-25 10:00:00,-59.62563441174393,
2022-03-25 10:30:00,-71.96519427645853,
