date,EU_MSCI_ESG_2022_Q2,meta
2022-04-14 00:00:00,-75.33749966801957,
2022-04-14 03:30:00,-78.95583979999537,
2022-04-14 04:00:00,-71.21023270636687,
2022-04-14 06:00:00,-79.93829548955068,
2022-04-14 08:00:00,-90.57230603618399,
2022-04-14 10:30:00,-88.43275750443206,
2022-04-14 11:00:00,-85.36875068510005,
2022-04-14 23:59:59,-100.48111074677314,c
2022-04-15 00:00:00,-100.48111074677314,
2022-04-15 03:30:00,-100.48111074677314,
2022-04-15 04:00:00,-100.48111074677314,
2022-04-15 06:00:00,-100.48111074677314,
2022-04-15 08:00:00,-100.48111074677314,
2022-04-15 10:30:00,-100.48111074677314,
2022-04-15 11:00:00,-100.48111074677314,
2022-04-15 23:59:59,-100.48111074677314,w
2022-04-18 00:00:00,-100.62034180719291,
2022-04-18 03:30:00,-100.80224195916571,
2022-04-18 04:00:00,-100.76863982156965,
2022-04-18 06:00:00,-100.68327233052793,
2022-04-18 08:00:00,-100.68327233052793,
2022-04-18 10:30:00,-100.68327233052793,
2022-04-18 11:00:00,-100.68327233052793,
2022-04-18 23:59:59,-100.6925978447785,c
2022-04-19 00:00:00,-85.51077565949447,
2022-04-19 03:30:00,-95.78936579010883,
2022-04-19 04:00:00,-106.83717976194436,
2022-04-19 06:00:00,-108.26617462705434,
2022-04-19 08:00:00,-109.89995509187219,
2022-04-19 10:30:00,-110.51097785025553,
2022-04-19 11:00:00,-109.43497990158443,
2022-04-19 23:59:59,-114.61669802818614,c
2022-04-20 00:00:00,-96.56185515310716,
2022-04-20 03:30:00,-110.46152000216881,
2022-04-20 04:00:00,-104.9441669449647,
2022-04-20 06:00:00,-110.68742992620247,
2022-04-20 08:00:00,-105.6661352844256,
2022-04-20 10:30:00,-109.10987077596207,
2022-04-20 11:00:00,-106.83877303242963,
2022-04-20 23:59:59,-106.53484859984582,c
2022-04-21 00:00:00,-118.25556553894586,
2022-04-21 03:30:00,-134.66970155795235,
2022-04-21 04:00:00,-138.20522858001397,
2022-04-21 06:00:00,-151.55186607504737,
2022-04-21 08:00:00,-151.79349620767158,
2022-04-21 10:30:00,-146.8161696081283,
2022-04-21 11:00:00,-144.50826726147733,
2022-04-21 23:59:59,-142.58032770882136,c
2022-04-22 00:00:00,-113.8246493880527,
2022-04-22 03:30:00,-99.0448558746703,
2022-04-22 04:00:00,-97.86561503062342,
2022-04-22 06:00:00,-104.05671186945273,
2022-04-22 08:00:00,-95.21251535089937,
2022-04-22 10:30:00,-120.92487022686959,
2022-04-22 11:00:00,-116.95943267258218,
2022-04-22 23:59:59,-114.48815593725902,w
2022-04-25 00:00:00,-101.50683304687828,
2022-04-25 03:30:00,-103.43843392399748,
2022-04-25 04:00:00,-108.41097971910386,
2022-04-25 06:00:00,-102.03975222204605,
2022-04-25 08:00:00,-109.35738564556794,
2022-04-25 10:30:00,-111.79142050870911,
2022-04-25 11:00:00,-105.92695303494435,
2022-04-25 23:59:59,-98.47751914804496,c
2022-04-26 00:00:00,-105.90253439832333,
2022-04-26 03:30:00,-86.5903611989055,
2022-04-26 04:00:00,-88.20921572495348,
2022-04-26 06:00:00,-102.59144374289775,
2022-04-26 08:00:00,-102.56298296191716,
2022-04-26 10:30:00,-101.44462620249556,
2022-04-26 11:00:00,-93.18552252429862,
2022-04-26 23:59:59,-84.8537990148414,c
2022-04-27 00:00:00,-82.44191181336618,
2022-04-27 03:30:00,-69.00083104121899,
2022-04-27 04:00:00,-68.5639458137062,
2022-04-27 06:00:00,-62.99052866408812,
2022-04-27 08:00:00,-59.636828848253344,
2022-04-27 10:30:00,-37.35883388219219,
2022-04-27 11:00:00,-38.84029072314382,
2022-04-27 23:59:59,-47.07815997718933,c
2022-04-28 00:00:00,-61.49381921664025,
