date,CRSP_MICRO_2021_Q1,meta
2021-01-22 00:00:00,519.9962829627228,
2021-01-22 10:00:00,517.5868726265809,
2021-01-22 10:30:00,513.8860830278803,
2021-01-22 12:00:00,502.6969168796462,
2021-01-22 13:30:00,484.23122378047344,
2021-01-22 15:00:00,501.6272027484605,
2021-01-22 15:30:30,501.6272027484605,
2021-01-22 23:59:59,504.52867689593893,w
2021-01-25 00:00:00,594.9442494678002,
2021-01-25 10:00:00,596.2060655105328,
2021-01-25 10:30:00,584.7339719017165,
2021-01-25 12:00:00,521.7918841950608,
2021-01-25 13:30:00,530.2621539581754,
2021-01-25 15:00:00,553.8687456325925,
2021-01-25 15:30:30,553.8687456325925,
2021-01-25 23:59:59,545.1800492522315,c
2021-01-26 00:00:00,522.0722502552991,
2021-01-26 10:00:00,510.40085779623234,
2021-01-26 10:30:00,514.839066181746,
2021-01-26 12:00:00,508.22769452440764,
2021-01-26 13:30:00,509.46829210160774,
2021-01-26 15:00:00,499.5995774466393,
2021-01-26 15:30:30,499.5995774466393,
2021-01-26 23:59:59,517.1219653650936,c
2021-01-27 00:00:00,431.1224228195946,
2021-01-27 10:00:00,410.21020980513606,
2021-01-27 10:30:00,471.4453635934768,
2021-01-27 12:00:00,470.1801247283064,
2021-01-27 13:30:00,478.75213771752794,
2021-01-27 15:00:00,434.78234298926156,
2021-01-27 15:30:30,434.78234298926156,
2021-01-27 23:59:59,462.8500626445285,c
2021-01-28 00:00:00,476.7773647931439,
2021-01-28 10:00:00,426.59209735261936,
2021-01-28 10:30:00,394.38894239088756,
2021-01-28 12:00:00,330.2782882380134,
2021-01-28 13:30:00,375.52277309308283,
2021-01-28 15:00:00,393.48365396741735,
2021-01-28 15:30:30,393.48365396741735,
2021-01-28 23:59:59,366.2299226965373,c
2021-01-29 00:00:00,347.9606925923457,
2021-01-29 10:00:00,335.6496803730836,
2021-01-29 10:30:00,332.14412549679093,
2021-01-29 12:00:00,337.07463781782576,
2021-01-29 13:30:00,289.8537262106166,
2021-01-29 15:00:00,285.74554493638357,
2021-01-29 15:30:30,285.74554493638357,
2021-01-29 23:59:59,299.8938561740032,w
