date,EU_MSCI_DM_SC_2022_Q2,meta
2022-03-31 00:00:00,153.8692336117441,
2022-03-31 03:30:00,165.41044802676964,
2022-03-31 04:00:00,168.665816069129,
2022-03-31 06:00:00,144.40946884024493,
2022-03-31 08:00:00,156.96029986177203,
2022-03-31 10:30:00,168.11235789005494,
2022-03-31 11:00:00,160.60788039221092,
2022-03-31 23:59:59,166.37208706444324,c
2022-04-01 00:00:00,172.39654899664222,
2022-04-01 03:30:00,170.85393275746722,
2022-04-01 04:00:00,174.63872998924597,
2022-04-01 06:00:00,187.52647657895253,
2022-04-01 08:00:00,174.18703285877072,
2022-04-01 10:30:00,177.31347881765168,
2022-04-01 11:00:00,197.32429087040774,
2022-04-01 23:59:59,186.09720194873347,w
2022-04-04 00:00:00,190.6480550864194,
2022-04-04 03:30:00,184.7938482297638,
2022-04-04 04:00:00,187.64138618447396,
2022-04-04 06:00:00,204.88636789547692,
2022-04-04 08:00:00,209.0897743976587,
2022-04-04 10:30:00,210.2340446469235,
2022-04-04 11:00:00,205.7822511416876,
2022-04-04 23:59:59,206.3877895786258,c
2022-04-05 00:00:00,191.35782146021862,
2022-04-05 03:30:00,200.29663513163416,
2022-04-05 04:00:00,215.09985001028627,
2022-04-05 06:00:00,284.67627613676365,
2022-04-05 08:00:00,280.6235909483918,
2022-04-05 10:30:00,261.10711479227155,
2022-04-05 11:00:00,264.35242041349443,
2022-04-05 23:59:59,239.8501351583377,c
2022-04-06 00:00:00,245.78669542612022,
2022-04-06 03:30:00,238.81288686300525,
2022-04-06 04:00:00,231.42776321837226,
2022-04-06 06:00:00,253.98900886979652,
2022-04-06 08:00:00,239.19219666466893,
2022-04-06 10:30:00,244.83198744443524,
2022-04-06 11:00:00,244.91457473835783,
2022-04-06 23:59:59,236.99283458450316,c
2022-04-07 00:00:00,220.86165354707873,
2022-04-07 03:30:00,214.68231792412246,
2022-04-07 04:00:00,236.62718603607942,
2022-04-07 06:00:00,244.9193751275883,
2022-04-07 08:00:00,237.61680883329268,
2022-04-07 10:30:00,249.30989215820347,
2022-04-07 11:00:00,245.75952553232548,
2022-04-07 23:59:59,254.85193551902915,c
2022-04-08 00:00:00,243.93073162282428,
2022-04-08 03:30:00,230.762399675607,
2022-04-08 04:00:00,214.1642401379388,
2022-04-08 06:00:00,204.1788589045358,
2022-04-08 08:00:00,214.28165483861233,
2022-04-08 10:30:00,215.70591384853276,
2022-04-08 11:00:00,212.68993367636847,
2022-04-08 23:59:59,213.02577929652244,w
2022-04-11 00:00:00,231.3891116709582,
2022-04-11 03:30:00,188.33480438185217,
2022-04-11 04:00:00,183.2655960855502,
2022-04-11 06:00:00,196.03375775802635,
2022-04-11 08:00:00,198.44489123237747,
2022-04-11 10:30:00,202.3055933701083,
2022-04-11 11:00:00,209.97995358116464,
2022-04-11 23:59:59,217.93150919133546,c
2022-04-12 00:00:00,246.776731641548,
2022-04-12 03:30:00,228.15940542969986,
2022-04-12 04:00:00,233.84212252698978,
2022-04-12 06:00:00,224.62120674210826,
2022-04-12 08:00:00,220.96121358838786,
2022-04-12 10:30:00,239.12897307417393,
2022-04-12 11:00:00,237.90447456490296,
2022-04-12 23:59:59,247.52689509829565,c
2022-04-13 00:00:00,250.50734802322506,
2022-04-13 03:30:00,242.7244407699647,
2022-04-13 04:00:00,228.17412420719126,
2022-04-13 06:00:00,214.32185639681654,
2022-04-13 08:00:00,209.28248569016012,
2022-04-13 10:30:00,219.51594912552974,
2022-04-13 11:00:00,214.9909697128938,
2022-04-13 23:59:59,206.605387296881,c
2022-04-14 00:00:00,219.32531138149523,
2022-04-14 03:30:00,229.50868605654398,
2022-04-14 04:00:00,227.22555215172065,
2022-04-14 06:00:00,245.15479962034885,
2022-04-14 08:00:00,246.63707041351728,
2022-04-14 10:30:00,244.77800535189613,
2022-04-14 11:00:00,239.34855330084076,
2022-04-14 23:59:59,225.6624456539464,c
2022-04-15 00:00:00,225.6624456539464,
2022-04-15 03:30:00,225.6624456539464,
2022-04-15 04:00:00,225.6624456539464,
2022-04-15 06:00:00,225.6624456539464,
2022-04-15 08:00:00,225.6624456539464,
2022-04-15 10:30:00,225.6624456539464,
2022-04-15 11:00:00,225.6624456539464,
2022-04-15 23:59:59,225.6624456539464,w
2022-04-18 00:00:00,226.57117503902384,
2022-04-18 03:30:00,225.80739124521432,
2022-04-18 04:00:00,226.943759082373,
2022-04-18 06:00:00,225.9385966245752,
2022-04-18 08:00:00,225.9385966245752,
2022-04-18 10:30:00,225.9385966245752,
2022-04-18 11:00:00,225.9385966245752,
2022-04-18 23:59:59,225.3511140949193,c
2022-04-19 00:00:00,230.9633977583615,
2022-04-19 03:30:00,234.37075512321127,
2022-04-19 04:00:00,250.9020339973962,
2022-04-19 06:00:00,226.39475735810822,
2022-04-19 08:00:00,228.08290394433106,
2022-04-19 10:30:00,238.21481127823938,
2022-04-19 11:00:00,234.04794656342995,
2022-04-19 23:59:59,241.5615421617813,c
2022-04-20 00:00:00,239.54965315237501,
2022-04-20 03:30:00,241.8514092295075,
2022-04-20 04:00:00,226.55178728806112,
2022-04-20 06:00:00,235.29051368449348,
2022-04-20 08:00:00,245.79133198087322,
2022-04-20 10:30:00,230.2049412304213,
2022-04-20 11:00:00,224.00701538175264,
2022-04-20 23:59:59,219.4875520208421,c
2022-04-21 00:00:00,231.75143248853414,
2022-04-21 03:30:00,210.32172790539528,
2022-04-21 04:00:00,224.36070586781443,
2022-04-21 06:00:00,237.3742064238142,
2022-04-21 08:00:00,252.34087984115172,
