date,AS_MSCI_DM_STAY_2023_Q1,meta
2023-01-19 02:30:00,-6.735418701272238,
2023-01-19 03:00:00,-11.447996808633548,
2023-01-19 18:30:00,-9.741849600193973,
2023-01-19 20:00:00,-14.355099542184576,
2023-01-19 23:00:00,3.8666785396020487,
2023-01-19 23:59:59,2.300104515306657,c
2023-01-20 00:00:00,2.6871769083328445,
2023-01-20 01:00:00,-0.7001309028305513,
2023-01-20 02:30:00,-7.43732205281492,
2023-01-20 03:00:00,-10.81874668872615,
2023-01-20 18:30:00,-10.81874668872615,
2023-01-20 20:00:00,-10.81874668872615,
2023-01-20 23:00:00,-10.81874668872615,
2023-01-20 23:59:59,-10.211266517938839,w
2023-01-23 00:00:00,-10.796931706416217,
2023-01-23 01:00:00,-15.859208224426311,
2023-01-23 02:30:00,-15.859208224426311,
2023-01-23 03:00:00,-15.859208224426311,
2023-01-23 18:30:00,-15.308436649881628,
2023-01-23 20:00:00,-19.716723025365468,
2023-01-23 23:00:00,-8.276824994269987,
2023-01-23 23:59:59,-8.000608701593364,c
2023-01-24 00:00:00,-15.742131876655776,
2023-01-24 01:00:00,-16.828887880599154,
2023-01-24 02:30:00,-16.828887880599154,
2023-01-24 03:00:00,-16.828887880599154,
2023-01-24 18:30:00,-17.570889024252438,
2023-01-24 20:00:00,-7.310867788799328,
2023-01-24 23:00:00,-11.598284917700084,
2023-01-24 23:59:59,-12.970469424663861,c
2023-01-25 00:00:00,-9.331347351426189,
2023-01-25 01:00:00,-5.362073126253222,
2023-01-25 02:30:00,-5.212108084618421,
2023-01-25 03:00:00,-5.20391367291802,
2023-01-25 18:30:00,-5.0592981677338,
2023-01-25 20:00:00,-8.831251383029326,
2023-01-25 23:00:00,0.3956720878579745,
2023-01-25 23:59:59,-0.059533977980890995,c
2023-01-26 00:00:00,-28.09031729344065,
2023-01-26 01:00:00,-32.75246550834606,
2023-01-26 02:30:00,-38.79593303336094,
2023-01-26 03:00:00,-45.89458801749754,
2023-01-26 18:30:00,-42.934539867276726,
2023-01-26 20:00:00,-26.960829295695248,
2023-01-26 23:00:00,-15.088164837563681,
2023-01-26 23:59:59,-9.752304402744358,c
2023-01-27 00:00:00,-17.22067363468591,
2023-01-27 01:00:00,-11.97570333755084,
2023-01-27 02:30:00,-13.887267143766735,
2023-01-27 03:00:00,-15.410726128250303,
2023-01-27 18:30:00,-15.410726128250303,
2023-01-27 20:00:00,-15.410726128250303,
2023-01-27 23:00:00,-15.410726128250303,
2023-01-27 23:59:59,-14.68190036211331,w
2023-01-30 00:00:00,-22.942366889267078,
2023-01-30 01:00:00,-33.5583205792708,
2023-01-30 02:30:00,-34.713406217002785,
2023-01-30 03:00:00,-33.62190669490917,
2023-01-30 18:30:00,-33.10060834977435,
2023-01-30 20:00:00,-31.740452301418372,
2023-01-30 23:00:00,-14.445320801629009,
2023-01-30 23:59:59,-12.23814961938831,c
2023-01-31 00:00:00,-13.199114062012768,
2023-01-31 01:00:00,-8.842856047339524,
2023-01-31 02:30:00,-3.7586622198057285,
2023-01-31 03:00:00,-7.765578392003249,
2023-01-31 18:30:00,-7.840387909793549,
2023-01-31 20:00:00,-6.519004127898029,
2023-01-31 23:00:00,34.31748523353724,
2023-01-31 23:59:59,30.4982380506533,c
2023-02-01 00:00:00,17.81449272878058,
2023-02-01 01:00:00,10.928906728894958,
2023-02-01 02:30:00,19.25345379926,
