date,XIND_2021_Q2,meta
2021-05-21 00:00:00,-210.37411019220852,
2021-05-21 10:00:00,-241.75164795391126,
2021-05-21 10:30:00,-247.82516207302817,
2021-05-21 12:00:00,-232.36084969193232,
2021-05-21 13:30:00,-241.3688097301065,
2021-05-21 15:00:00,-256.7196391447118,
2021-05-21 15:30:30,-256.7196391447118,
2021-05-21 23:59:59,-274.25204001271504,w
2021-05-24 00:00:00,-265.8094239838408,
2021-05-24 10:00:00,-290.757825074092,
2021-05-24 10:30:00,-305.5019133532036,
2021-05-24 12:00:00,-296.6477535345414,
2021-05-24 13:30:00,-304.5814896327439,
2021-05-24 15:00:00,-304.0914050671387,
2021-05-24 15:30:30,-304.0914050671387,
2021-05-24 23:59:59,-293.2065445131293,c
2021-05-25 00:00:00,-320.30768632861884,
2021-05-25 10:00:00,-311.1746705786584,
2021-05-25 10:30:00,-304.7030165935596,
2021-05-25 12:00:00,-320.49813481173055,
2021-05-25 13:30:00,-304.744945663605,
2021-05-25 15:00:00,-308.83757351903625,
2021-05-25 15:30:30,-308.83757351903625,
2021-05-25 23:59:59,-330.8810718995521,c
2021-05-26 00:00:00,-312.9273424253828,
2021-05-26 10:00:00,-277.3917670397956,
2021-05-26 10:30:00,-279.90436043581235,
2021-05-26 12:00:00,-290.43107615968756,
2021-05-26 13:30:00,-279.94033724253154,
2021-05-26 15:00:00,-269.1268509231222,
2021-05-26 15:30:30,-269.1268509231222,
2021-05-26 23:59:59,-271.9386477463876,c
2021-05-27 00:00:00,-275.87240109210586,
2021-05-27 10:00:00,-258.8642518771586,
2021-05-27 10:30:00,-216.23367563954739,
2021-05-27 12:00:00,-232.05532792831994,
2021-05-27 13:30:00,-234.6397504958002,
2021-05-27 15:00:00,-238.15456891276418,
2021-05-27 15:30:30,-238.15456891276418,m
2021-05-27 23:59:59,-241.79524543073492,c
2021-05-28 00:00:00,-253.75550347163536,
2021-05-28 10:00:00,-239.54627396591175,
2021-05-28 10:30:00,-237.25870543911347,
2021-05-28 12:00:00,-223.5800545767929,
2021-05-28 13:30:00,-222.19897325997707,
2021-05-28 15:00:00,-193.8753909226484,
2021-05-28 15:30:30,-193.8753909226484,
2021-05-28 23:59:59,-201.97615583715313,w
2021-05-31 00:00:00,-201.97615583715313,
2021-05-31 10:00:00,-201.97615583715313,
2021-05-31 10:30:00,-201.97615583715313,
2021-05-31 12:00:00,-201.97615583715313,
2021-05-31 13:30:00,-201.97615583715313,
2021-05-31 15:00:00,-201.97615583715313,
2021-05-31 15:30:30,-201.97615583715313,s
2021-05-31 23:59:59,-201.97615583715313,c
2021-06-01 00:00:00,-217.03216447712785,
2021-06-01 10:00:00,-203.7842499015334,
2021-06-01 10:30:00,-207.76830127923475,
2021-06-01 12:00:00,-196.04641415878675,
2021-06-01 13:30:00,-183.87771953574284,
2021-06-01 15:00:00,-183.44647344868358,
2021-06-01 15:30:30,-183.44647344868358,
2021-06-01 23:59:59,-183.31041341543246,c
2021-06-02 00:00:00,-188.3902851180006,
2021-06-02 10:00:00,-221.0666488372041,
2021-06-02 10:30:00,-181.93230086119897,
2021-06-02 12:00:00,-157.3848986081907,
2021-06-02 13:30:00,-181.8921322341658,
2021-06-02 15:00:00,-165.38761089014562,
2021-06-02 15:30:30,-165.38761089014562,
2021-06-02 23:59:59,-160.28668387346474,c
2021-06-03 00:00:00,-185.00261758759686,
2021-06-03 10:00:00,-156.7077125896237,
2021-06-03 10:30:00,-160.2919738555424,
2021-06-03 12:00:00,-161.63716287553265,
2021-06-03 13:30:00,-164.90751463454663,
2021-06-03 15:00:00,-199.4942583852559,
2021-06-03 15:30:30,-199.4942583852559,
2021-06-03 23:59:59,-205.30669321855666,c
2021-06-04 00:00:00,-194.0354428345157,
2021-06-04 10:00:00,-189.5268056502903,
2021-06-04 10:30:00,-195.21595899712096,
2021-06-04 12:00:00,-160.60028750871115,
2021-06-04 13:30:00,-164.17054107127362,
2021-06-04 15:00:00,-157.9429855764662,
2021-06-04 15:30:30,-157.9429855764662,
2021-06-04 23:59:59,-155.47994761143437,w
2021-06-07 00:00:00,-172.74084983798852,
2021-06-07 10:00:00,-159.8189842696119,
2021-06-07 10:30:00,-134.6718522479471,
2021-06-07 12:00:00,-122.67861829863952,
2021-06-07 13:30:00,-123.43878224934153,
2021-06-07 15:00:00,-151.95024751846333,
2021-06-07 15:30:30,-151.95024751846333,
2021-06-07 23:59:59,-146.90829476081618,c
2021-06-08 00:00:00,-149.06164357821982,
2021-06-08 10:00:00,-129.41006165961042,
2021-06-08 10:30:00,-115.1051005631505,
2021-06-08 12:00:00,-120.69036747717311,
2021-06-08 13:30:00,-90.77620496329283,
2021-06-08 15:00:00,-107.97133611563632,
2021-06-08 15:30:30,-107.97133611563632,
2021-06-08 23:59:59,-110.64235518806615,c
2021-06-09 00:00:00,-101.6762037170549,
2021-06-09 10:00:00,-102.42999091887228,
2021-06-09 10:30:00,-82.08138090433755,
2021-06-09 12:00:00,-79.01302124901062,
2021-06-09 13:30:00,-65.00544694320143,
2021-06-09 15:00:00,-82.02483163004513,
2021-06-09 15:30:30,-82.02483163004513,
2021-06-09 23:59:59,-96.341253957938,c
2021-06-10 00:00:00,-89.06130150234756,
2021-06-10 10:00:00,-82.30494673373266,
2021-06-10 10:30:00,-75.82104028716859,
2021-06-10 12:00:00,-63.906361278119675,
2021-06-10 13:30:00,-62.94229678700313,
2021-06-10 15:00:00,-31.749986382339188,
2021-06-10 15:30:30,-31.749986382339188,
2021-06-10 23:59:59,-50.818251237696245,c
2021-06-11 00:00:00,-48.45403138488879,
2021-06-11 10:00:00,-49.291201161925585,
2021-06-11 10:30:00,-11.174075282332268,
2021-06-11 12:00:00,3.8800574159489543,
2021-06-11 13:30:00,-4.991667374094845,
2021-06-11 15:00:00,-4.288378103228155,
2021-06-11 15:30:30,-4.288378103228155,
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,52.65613513102686,
2021-06-14 10:00:00,107.22396309132121,
2021-06-14 10:30:00,72.52347447277077,
2021-06-14 12:00:00,24.025567978399465,
2021-06-14 13:30:00,55.741558151817,
2021-06-14 15:00:00,18.950798160616955,
2021-06-14 15:30:30,18.950798160616955,
2021-06-14 23:59:59,3.39533156747072,c
2021-06-15 00:00:00,-0.8145386947398094,
2021-06-15 10:00:00,14.148182773192474,
2021-06-15 10:30:00,-20.407599019958866,
2021-06-15 12:00:00,-1.9857164611571818,
2021-06-15 13:30:00,15.556243429171445,
2021-06-15 15:00:00,32.449721844998834,
2021-06-15 15:30:30,32.449721844998834,
2021-06-15 23:59:59,30.40767499141606,c
2021-06-16 00:00:00,27.949654192987197,
2021-06-16 10:00:00,59.711979997336314,
2021-06-16 10:30:00,31.01480249659744,
2021-06-16 12:00:00,93.1562157526128,
2021-06-16 13:30:00,66.1689266160232,
2021-06-16 15:00:00,80.79921579975766,
2021-06-16 15:30:30,80.79921579975766,
2021-06-16 23:59:59,72.38864012135392,c
2021-06-17 00:00:00,70.73243652359191,
2021-06-17 10:00:00,132.31843676320545,
2021-06-17 10:30:00,98.8735376646884,
2021-06-17 12:00:00,47.75643229988742,
2021-06-17 13:30:00,69.67859489146804,
2021-06-17 15:00:00,72.47762013889334,
2021-06-17 15:30:30,72.47762013889334,
2021-06-17 23:59:59,41.54530859646245,c
2021-06-18 00:00:00,35.553301420743225,
2021-06-18 10:00:00,62.05749874916417,
2021-06-18 10:30:00,50.03156335870236,
2021-06-18 12:00:00,75.10185702138956,
2021-06-18 13:30:00,79.10525089851744,
2021-06-18 15:00:00,57.79580074938242,
2021-06-18 15:30:30,57.79580074938242,
2021-06-18 23:59:59,1.6925392695034418,e
2021-06-21 00:00:00,-36.24647234736693,
2021-06-21 10:00:00,-23.23748095264756,
2021-06-21 10:30:00,-0.431906962730892,
2021-06-21 12:00:00,6.6541570145621165,
2021-06-21 13:30:00,31.710729085845827,
2021-06-21 15:00:00,26.183947432857565,
2021-06-21 15:30:30,26.183947432857565,
2021-06-21 23:59:59,19.76863272481873,c
2021-06-22 00:00:00,5.579741257471795,
2021-06-22 10:00:00,-14.576563899898304,
2021-06-22 10:30:00,12.326232315002358,
2021-06-22 12:00:00,8.06732370756228,
2021-06-22 13:30:00,21.409469828466115,
2021-06-22 15:00:00,8.290038627659783,
2021-06-22 15:30:30,8.290038627659783,
2021-06-22 23:59:59,20.64992858384886,c
2021-06-23 00:00:00,16.142049607142553,
2021-06-23 10:00:00,16.0395110708003,
2021-06-23 10:30:00,25.87575964761794,
2021-06-23 12:00:00,23.763977830448624,
2021-06-23 13:30:00,24.661592143625654,
2021-06-23 15:00:00,40.666446608625876,
2021-06-23 15:30:30,40.666446608625876,
2021-06-23 23:59:59,36.10584261260891,c
2021-06-24 00:00:00,28.91537895986312,
2021-06-24 10:00:00,23.664675519882906,
2021-06-24 10:30:00,31.267100019198722,
2021-06-24 12:00:00,50.02325178646977,
2021-06-24 13:30:00,46.84738218553011,
2021-06-24 15:00:00,62.62362962799942,
2021-06-24 15:30:30,62.62362962799942,
2021-06-24 23:59:59,63.91307148936906,c
2021-06-25 00:00:00,81.69307827915947,
2021-06-25 10:00:00,73.17249561633272,
2021-06-25 10:30:00,88.3051884733325,
2021-06-25 12:00:00,89.73436028779359,
2021-06-25 13:30:00,83.78873746608389,
2021-06-25 15:00:00,74.60203439238776,
2021-06-25 15:30:30,74.60203439238776,
2021-06-25 23:59:59,47.17987632513274,w
2021-06-28 00:00:00,64.46644184158825,
2021-06-28 10:00:00,17.36705886783551,
2021-06-28 10:30:00,2.405406197127718,
2021-06-28 12:00:00,-6.14614571943946,
2021-06-28 13:30:00,-23.704486169564433,
2021-06-28 15:00:00,-8.955461132248843,
2021-06-28 15:30:30,-8.955461132248843,
2021-06-28 23:59:59,5.046306287040636,c
2021-06-29 00:00:00,20.655784324205683,
2021-06-29 10:00:00,27.503497831942013,
2021-06-29 10:30:00,5.542105086815013,
2021-06-29 12:00:00,38.253088480315114,
2021-06-29 13:30:00,31.95477718606122,
2021-06-29 15:00:00,26.052566022377903,
2021-06-29 15:30:30,26.052566022377903,
2021-06-29 23:59:59,23.67398379342137,c
