date,PHO_PIO_2020_Q4,meta
2020-11-06 00:00:00,390.53521745144053,
2020-11-06 10:00:00,389.307399864927,
2020-11-06 10:30:00,378.3261750007573,
2020-11-06 12:00:00,332.4777126991221,
2020-11-06 13:30:00,338.28113693057867,
2020-11-06 15:00:00,316.39279808205856,
2020-11-06 15:30:30,316.39279808205856,
2020-11-06 23:59:59,311.58411052853444,w
2020-11-09 00:00:00,141.79584401671218,
2020-11-09 10:00:00,105.21364710394619,
2020-11-09 10:30:00,142.4926705261364,
2020-11-09 12:00:00,152.6703759105867,
2020-11-09 13:30:00,110.38446773979285,
2020-11-09 15:00:00,119.7357632695057,
2020-11-09 15:30:30,119.7357632695057,x
2020-11-09 23:59:59,167.63186025102732,c
2020-11-10 00:00:00,122.11948238086461,
2020-11-10 10:00:00,132.33133329276097,
2020-11-10 10:30:00,97.96182697393579,
2020-11-10 12:00:00,87.81645777250014,
2020-11-10 13:30:00,114.5494491492882,
2020-11-10 15:00:00,90.83808363147864,
2020-11-10 15:30:30,90.83808363147864,
2020-11-10 23:59:59,88.31811230440462,c
2020-11-11 00:00:00,93.55970841997396,
2020-11-11 10:00:00,128.30350085838154,
2020-11-11 10:30:00,102.95029866956611,
2020-11-11 12:00:00,104.73543900716413,
2020-11-11 13:30:00,124.77266530262978,
2020-11-11 15:00:00,137.8878279193823,
2020-11-11 15:30:30,137.8878279193823,
2020-11-11 23:59:59,128.28557306179846,c
2020-11-12 00:00:00,161.78481663436332,
2020-11-12 10:00:00,196.1430401114576,
2020-11-12 10:30:00,179.74488187454517,
2020-11-12 12:00:00,196.77636429648283,
2020-11-12 13:30:00,250.6258449220045,
2020-11-12 15:00:00,261.0803084087438,
2020-11-12 15:30:30,261.0803084087438,
2020-11-12 23:59:59,249.706388313135,c
2020-11-13 00:00:00,249.786973740323,
2020-11-13 10:00:00,213.3117047019905,
2020-11-13 10:30:00,243.9276393234818,
2020-11-13 12:00:00,221.6092781305997,
2020-11-13 13:30:00,230.10961719929082,
2020-11-13 15:00:00,216.4109390576973,
2020-11-13 15:30:30,216.4109390576973,
2020-11-13 23:59:59,210.57732727682514,w
2020-11-16 00:00:00,160.3840310544092,
2020-11-16 10:00:00,141.62338512442693,
2020-11-16 10:30:00,154.66955493517116,
2020-11-16 12:00:00,131.58909819410155,
2020-11-16 13:30:00,138.22082138353517,
2020-11-16 15:00:00,141.0670259190024,
2020-11-16 15:30:30,141.0670259190024,
2020-11-16 23:59:59,96.77105439081106,c
2020-11-17 00:00:00,122.09406095583063,
2020-11-17 10:00:00,138.59317069751705,
2020-11-17 10:30:00,137.23504765035705,
2020-11-17 12:00:00,110.92877261453123,
2020-11-17 13:30:00,116.51581798978168,
2020-11-17 15:00:00,111.58812315416344,
2020-11-17 15:30:30,111.58812315416344,
2020-11-17 23:59:59,130.6997603162231,c
2020-11-18 00:00:00,90.63083647952271,
2020-11-18 10:00:00,82.60835603717533,
2020-11-18 10:30:00,106.19508546236102,
2020-11-18 12:00:00,88.7008051104699,
2020-11-18 13:30:00,104.36239653602297,
2020-11-18 15:00:00,129.28453857925297,
2020-11-18 15:30:30,129.28453857925297,
2020-11-18 23:59:59,162.06225007006287,c
2020-11-19 00:00:00,158.14257174367685,
2020-11-19 10:00:00,162.45881124564175,
2020-11-19 10:30:00,201.81676172838797,
2020-11-19 12:00:00,211.15050946496694,
2020-11-19 13:30:00,207.52841846277943,
2020-11-19 15:00:00,190.37532936470643,
2020-11-19 15:30:30,190.37532936470643,
2020-11-19 23:59:59,197.18914716366044,c
2020-11-20 00:00:00,213.5373972407324,
2020-11-20 10:00:00,242.08133764827153,
2020-11-20 10:30:00,260.8926016480423,
2020-11-20 12:00:00,244.14843008676462,
2020-11-20 13:30:00,239.8044357822764,
2020-11-20 15:00:00,254.61819601966317,
2020-11-20 15:30:30,254.61819601966317,
2020-11-20 23:59:59,258.13794659562836,w
2020-11-23 00:00:00,236.65014473804922,
2020-11-23 10:00:00,215.65342218829937,
2020-11-23 10:30:00,230.49763955814024,
2020-11-23 12:00:00,226.10935275951306,
2020-11-23 13:30:00,248.92908513916336,
2020-11-23 15:00:00,230.6573702213077,
2020-11-23 15:30:30,230.6573702213077,
2020-11-23 23:59:59,225.91608660278143,c
2020-11-24 00:00:00,200.94411746684364,
2020-11-24 10:00:00,192.91752916017094,
2020-11-24 10:30:00,178.27591830346,
2020-11-24 12:00:00,144.47553616170626,
2020-11-24 13:30:00,146.70012075706518,
2020-11-24 15:00:00,177.38123874328994,
2020-11-24 15:30:30,177.38123874328994,
2020-11-24 23:59:59,165.21548512931304,c
2020-11-25 00:00:00,183.29859437048844,
2020-11-25 10:00:00,181.27653414390215,
2020-11-25 10:30:00,196.7644265989611,
2020-11-25 12:00:00,206.9802128140259,
2020-11-25 13:30:00,207.2749787406019,
2020-11-25 15:00:00,203.76399058683592,
2020-11-25 15:30:30,203.76399058683592,
2020-11-25 23:59:59,208.71778936412193,c
2020-11-26 00:00:00,208.71778936412193,
2020-11-26 10:00:00,208.71778936412193,
2020-11-26 10:30:00,208.71778936412193,
2020-11-26 12:00:00,208.71778936412193,
2020-11-26 13:30:00,208.71778936412193,
2020-11-26 15:00:00,208.71778936412193,
2020-11-26 15:30:30,208.71778936412193,
2020-11-26 23:59:59,208.71778936412193,c
2020-11-27 00:00:00,199.64341491350615,
2020-11-27 10:00:00,136.60006270845906,
2020-11-27 10:30:00,162.22082933835054,
2020-11-27 12:00:00,181.72956089253012,
2020-11-27 13:30:00,181.72956089253012,
