date,MSCI_EM_ADR_2022_Q4,meta
2022-10-06 00:00:00,134.36711335443022,
2022-10-06 10:00:00,137.49459717273362,
2022-10-06 10:30:00,138.34381337827307,
2022-10-06 12:00:00,192.58289917195773,
2022-10-06 13:30:00,214.05508556629857,
2022-10-06 15:00:00,216.0305346421543,
2022-10-06 15:30:30,216.0305346421543,
2022-10-06 23:59:59,210.98903813555893,c
2022-10-07 00:00:00,221.56254493929418,
2022-10-07 10:00:00,231.53288284351692,
2022-10-07 10:30:00,260.1342539301695,
2022-10-07 12:00:00,234.31975004369028,
2022-10-07 13:30:00,230.40944396032523,
2022-10-07 15:00:00,244.27161190290613,
2022-10-07 15:30:30,244.27161190290613,
2022-10-07 23:59:59,240.64232710896252,w
2022-10-10 00:00:00,238.79078827172995,
2022-10-10 10:00:00,208.3614207781796,
2022-10-10 10:30:00,214.90954866135115,
2022-10-10 12:00:00,254.70314471260994,
2022-10-10 13:30:00,260.1262399302068,
2022-10-10 15:00:00,270.4640960814145,
2022-10-10 15:30:30,270.4640960814145,
2022-10-10 23:59:59,276.3051716478134,c
2022-10-11 00:00:00,252.70828253408425,
2022-10-11 10:00:00,348.5242471871315,
2022-10-11 10:30:00,326.4489755941092,
2022-10-11 12:00:00,341.2019642611025,
2022-10-11 13:30:00,379.35252832420974,
2022-10-11 15:00:00,361.79771923689987,
2022-10-11 15:30:30,361.79771923689987,
2022-10-11 23:59:59,362.45494522534057,c
2022-10-12 00:00:00,305.2700103574232,
2022-10-12 10:00:00,285.7714524609869,
2022-10-12 10:30:00,284.19322230326327,
2022-10-12 12:00:00,257.28601787216456,
2022-10-12 13:30:00,232.75277873317236,
2022-10-12 15:00:00,247.23004905261905,
2022-10-12 15:30:30,247.23004905261905,
2022-10-12 23:59:59,265.12473534472093,c
2022-10-13 00:00:00,306.2643750718495,
2022-10-13 10:00:00,279.73536394460893,
2022-10-13 10:30:00,298.38794695480567,
2022-10-13 12:00:00,317.7777202569104,
2022-10-13 13:30:00,329.64653360730165,
2022-10-13 15:00:00,337.33508534461055,
2022-10-13 15:30:30,337.33508534461055,
2022-10-13 23:59:59,361.312018332268,c
2022-10-14 00:00:00,350.83843839519875,
2022-10-14 10:00:00,337.7321556811606,
2022-10-14 10:30:00,347.99060363361264,
2022-10-14 12:00:00,329.6857456253821,
2022-10-14 13:30:00,337.7566943008447,
2022-10-14 15:00:00,352.9207966397591,
2022-10-14 15:30:30,352.9207966397591,
2022-10-14 23:59:59,365.24198470260274,w
2022-10-17 00:00:00,341.0151736963984,
2022-10-17 10:00:00,285.386242449634,
2022-10-17 10:30:00,265.7557456224734,
2022-10-17 12:00:00,234.1790931773636,
2022-10-17 13:30:00,290.5609863323325,
2022-10-17 15:00:00,298.09164945357895,
