date,GDXJ_2021_Q2,meta
2021-06-11 00:00:00,-76.42841733314907,
2021-06-11 10:00:00,-41.051012500815716,
2021-06-11 10:30:00,-45.089103993279764,
2021-06-11 12:00:00,-1.7047492078540358,
2021-06-11 13:30:00,9.198899648452482,
2021-06-11 15:00:00,-3.803199158340078,
2021-06-11 15:30:30,-3.803199158340078,s
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,65.4014940927461,
2021-06-14 10:00:00,225.55184327766312,
2021-06-14 10:30:00,256.24453578280566,
2021-06-14 12:00:00,268.9935146919205,
2021-06-14 13:30:00,319.80208021421663,
2021-06-14 15:00:00,306.97345313581206,
2021-06-14 15:30:30,306.97345313581206,
2021-06-14 23:59:59,284.920505163672,c
2021-06-15 00:00:00,200.48376760273283,
2021-06-15 10:00:00,253.53416736913326,
2021-06-15 10:30:00,271.89208849268124,
2021-06-15 12:00:00,314.918626118937,
2021-06-15 13:30:00,323.30399820326113,
2021-06-15 15:00:00,348.0801289328881,
2021-06-15 15:30:30,348.0801289328881,
2021-06-15 23:59:59,299.8116387320231,c
2021-06-16 00:00:00,337.5184766710082,
2021-06-16 10:00:00,430.18958732909397,
2021-06-16 10:30:00,450.46476843224457,
2021-06-16 12:00:00,476.0420097669258,
2021-06-16 13:30:00,444.318860666088,
2021-06-16 15:00:00,432.82998395081734,
2021-06-16 15:30:30,432.82998395081734,
2021-06-16 23:59:59,426.5105427056992,c
2021-06-17 00:00:00,333.6243660406541,
2021-06-17 10:00:00,382.72919085993396,
2021-06-17 10:30:00,354.0302560931219,
2021-06-17 12:00:00,330.2130812297053,
2021-06-17 13:30:00,345.5975810607832,
2021-06-17 15:00:00,347.59010949372714,
2021-06-17 15:30:30,347.59010949372714,
2021-06-17 23:59:59,329.9105400005505,c
2021-06-18 00:00:00,337.73616205856524,
2021-06-18 10:00:00,375.32142431436364,
2021-06-18 10:30:00,337.06389282158653,
2021-06-18 12:00:00,360.46199744840317,
2021-06-18 13:30:00,383.2091670876656,
2021-06-18 15:00:00,413.9385463589349,
2021-06-18 15:30:30,413.9385463589349,
2021-06-18 23:59:59,333.4696842658213,e
2021-06-21 00:00:00,327.820690890142,
2021-06-21 10:00:00,306.84375739218393,
2021-06-21 10:30:00,275.1901889137737,
2021-06-21 12:00:00,298.0190967498904,
2021-06-21 13:30:00,322.29411227535184,
2021-06-21 15:00:00,309.72754033619606,
2021-06-21 15:30:30,309.72754033619606,
2021-06-21 23:59:59,304.2507393787359,c
2021-06-22 00:00:00,376.0908259229212,
2021-06-22 10:00:00,357.0722003536632,
2021-06-22 10:30:00,397.276704166992,
2021-06-22 12:00:00,357.76955672467193,
2021-06-22 13:30:00,366.65267099533855,
2021-06-22 15:00:00,364.85795709191217,
2021-06-22 15:30:30,364.85795709191217,
2021-06-22 23:59:59,348.7804020367359,c
2021-06-23 00:00:00,328.1225403877384,
2021-06-23 10:00:00,323.68521608813336,
2021-06-23 10:30:00,304.81561491965977,
2021-06-23 12:00:00,317.63735768175377,
2021-06-23 13:30:00,329.52265961353703,
2021-06-23 15:00:00,331.41748505446,
2021-06-23 15:30:30,331.41748505446,
2021-06-23 23:59:59,335.2991918971035,c
2021-06-24 00:00:00,324.62114109388693,
2021-06-24 10:00:00,267.1046518408051,
2021-06-24 10:30:00,278.8607852987367,
2021-06-24 12:00:00,298.7312531307813,
2021-06-24 13:30:00,331.2663425067967,
2021-06-24 15:00:00,334.4626705493646,
2021-06-24 15:30:30,334.4626705493646,
2021-06-24 23:59:59,333.51958805188417,c
2021-06-25 00:00:00,309.68460352813304,
2021-06-25 10:00:00,303.89004131672533,
2021-06-25 10:30:00,327.8699314592324,
2021-06-25 12:00:00,302.0046839856294,
2021-06-25 13:30:00,310.09271600444805,
2021-06-25 15:00:00,316.5253867398604,
2021-06-25 15:30:30,316.5253867398604,
2021-06-25 23:59:59,298.21926084918437,w
2021-06-28 00:00:00,298.0235426045215,
2021-06-28 10:00:00,274.22205108614656,
2021-06-28 10:30:00,277.9404755678273,
2021-06-28 12:00:00,286.85514914484014,
2021-06-28 13:30:00,292.46440680351265,
2021-06-28 15:00:00,278.21247889450444,
2021-06-28 15:30:30,278.21247889450444,
2021-06-28 23:59:59,277.3909993630415,c
2021-06-29 00:00:00,283.4819489796723,
2021-06-29 10:00:00,254.8871763394285,
2021-06-29 10:30:00,242.24270222559397,
2021-06-29 12:00:00,245.07061013160725,
2021-06-29 13:30:00,260.66833616341506,
2021-06-29 15:00:00,246.4963022046225,
2021-06-29 15:30:30,246.4963022046225,
2021-06-29 23:59:59,231.5455389978302,c
2021-06-30 00:00:00,243.1684085545013,
2021-06-30 10:00:00,212.38152240067484,
2021-06-30 10:30:00,230.996226295611,
2021-06-30 12:00:00,248.25839879937578,
2021-06-30 13:30:00,289.714067940241,
2021-06-30 15:00:00,299.64391848353927,
2021-06-30 15:30:30,299.64391848353927,
2021-06-30 23:59:59,292.4543229266625,c
2021-07-01 00:00:00,207.0718046121945,
2021-07-01 10:00:00,201.607726030476,
2021-07-01 10:30:00,213.94933738101656,
2021-07-01 12:00:00,225.91886473774377,
2021-07-01 13:30:00,210.31129854761878,
2021-07-01 15:00:00,227.44779586068864,
2021-07-01 15:30:30,227.44779586068864,
2021-07-01 23:59:59,237.70961909488744,c
2021-07-02 00:00:00,183.3444592123976,
2021-07-02 10:00:00,191.43298037656518,
2021-07-02 10:30:00,175.74777661599043,
2021-07-02 12:00:00,179.91178098178986,
2021-07-02 13:30:00,185.9245503681142,
2021-07-02 15:00:00,197.26739535917486,
2021-07-02 15:30:30,197.26739535917486,
2021-07-02 23:59:59,209.4671699806473,w
2021-07-05 00:00:00,212.0601385955477,
2021-07-05 10:00:00,213.3056178429806,
2021-07-05 10:30:00,210.66433915664967,
2021-07-05 12:00:00,204.0805416243718,
2021-07-05 13:30:00,201.80658751801928,
2021-07-05 15:00:00,198.438393565399,
2021-07-05 15:30:30,198.438393565399,
2021-07-05 23:59:59,198.66733350498146,c
2021-07-06 00:00:00,183.28010369233877,
2021-07-06 10:00:00,165.8736812760668,
2021-07-06 10:30:00,164.11375535392335,
2021-07-06 12:00:00,165.33663368152332,
2021-07-06 13:30:00,166.00564104104845,
2021-07-06 15:00:00,178.73792767833638,
2021-07-06 15:30:30,178.73792767833638,
2021-07-06 23:59:59,161.8781160947269,c
2021-07-07 00:00:00,105.15925256234934,
2021-07-07 10:00:00,118.92863293840193,
2021-07-07 10:30:00,116.08300859540373,
2021-07-07 12:00:00,109.91369619966926,
2021-07-07 13:30:00,124.85811508786469,
2021-07-07 15:00:00,115.1643732372448,
2021-07-07 15:30:30,115.1643732372448,
2021-07-07 23:59:59,128.24235811997067,c
2021-07-08 00:00:00,110.81901790028405,
2021-07-08 10:00:00,118.67290179919809,
2021-07-08 10:30:00,143.4652304053675,
