date,EU_FTSE_DM_MIG_2022_Q1,meta
2022-01-07 00:00:00,1504.5692426337594,
2022-01-07 03:30:00,1463.146344414631,
2022-01-07 04:00:00,1404.9753373426902,
2022-01-07 06:00:00,1379.414294414315,
2022-01-07 08:00:00,1357.8014256892727,
2022-01-07 10:30:00,1334.5132123312767,
2022-01-07 11:00:00,1320.1897759663807,
2022-01-07 23:59:59,1308.7394049780473,w
2022-01-10 00:00:00,1314.6416696380613,
2022-01-10 03:30:00,1155.1637179370287,
2022-01-10 04:00:00,1185.3231430240992,
2022-01-10 06:00:00,1183.1996078971993,
2022-01-10 08:00:00,1110.5399718548922,
2022-01-10 10:30:00,1054.8624238640691,
2022-01-10 11:00:00,1054.1989356373185,
2022-01-10 23:59:59,1061.6555630457854,c
2022-01-11 00:00:00,1106.3691572472248,
2022-01-11 03:30:00,1074.881645107061,
2022-01-11 04:00:00,1035.1787979536803,
2022-01-11 06:00:00,1064.7114862811047,
2022-01-11 08:00:00,1069.7985916578587,
2022-01-11 10:30:00,1063.6601058576812,
2022-01-11 11:00:00,1053.0208510751854,
2022-01-11 23:59:59,1075.558251983522,c
2022-01-12 00:00:00,1108.272941816386,
2022-01-12 03:30:00,1080.5989796106078,
2022-01-12 04:00:00,1081.3454192379645,
2022-01-12 06:00:00,1155.500552996503,
2022-01-12 08:00:00,1138.164052700542,
2022-01-12 10:30:00,1167.8610764311138,
2022-01-12 11:00:00,1156.4368660709367,
2022-01-12 23:59:59,1136.8381136596984,c
2022-01-13 00:00:00,1155.7564175395978,
2022-01-13 03:30:00,1108.1990115668048,
2022-01-13 04:00:00,1078.3623104821638,
2022-01-13 06:00:00,1075.9048426104441,
2022-01-13 08:00:00,1071.4780654343506,
2022-01-13 10:30:00,1040.2516830845482,
2022-01-13 11:00:00,1041.47499168508,
2022-01-13 23:59:59,1048.3361914263733,c
2022-01-14 00:00:00,1069.2702986308745,
2022-01-14 03:30:00,979.1931225288636,
2022-01-14 04:00:00,986.0093342094699,
2022-01-14 06:00:00,964.960281741106,
2022-01-14 08:00:00,926.4676005372671,
2022-01-14 10:30:00,944.691579225811,
2022-01-14 11:00:00,913.7569446005048,
2022-01-14 23:59:59,919.1726688407266,w
2022-01-17 00:00:00,918.2831468899069,
2022-01-17 03:30:00,873.1314122265005,
2022-01-17 04:00:00,853.5501206461286,
2022-01-17 06:00:00,886.7082225187664,
2022-01-17 08:00:00,856.5508897320458,
2022-01-17 10:30:00,861.8361329434999,
2022-01-17 11:00:00,856.0082981674627,
2022-01-17 23:59:59,846.9551981113445,c
2022-01-18 00:00:00,841.8584621840289,
2022-01-18 03:30:00,773.8726347143195,
2022-01-18 04:00:00,760.9356116964325,
2022-01-18 06:00:00,706.8008159825622,
2022-01-18 08:00:00,686.6384526557408,
2022-01-18 10:30:00,653.6446434773861,
2022-01-18 11:00:00,647.0767933099332,
2022-01-18 23:59:59,668.0081189938849,c
2022-01-19 00:00:00,648.2324643247625,
2022-01-19 03:30:00,643.8321905896371,
2022-01-19 04:00:00,630.645234526477,
2022-01-19 06:00:00,703.7387181978283,
2022-01-19 08:00:00,688.4940043147528,
2022-01-19 10:30:00,709.6633307811865,
2022-01-19 11:00:00,702.3861750279316,
2022-01-19 23:59:59,695.4696703989157,c
2022-01-20 00:00:00,732.9807554200252,
2022-01-20 03:30:00,620.8634873313961,
2022-01-20 04:00:00,683.1382533255298,
2022-01-20 06:00:00,713.1486665154423,
2022-01-20 08:00:00,720.8576915560852,
2022-01-20 10:30:00,734.0431073990246,
2022-01-20 11:00:00,740.3020140555525,
2022-01-20 23:59:59,740.1251147831113,c
2022-01-21 00:00:00,689.4095775620476,
2022-01-21 03:30:00,689.0781563709595,
2022-01-21 04:00:00,677.1725612565226,
2022-01-21 06:00:00,657.7141659966724,
2022-01-21 08:00:00,656.1582280335313,
2022-01-21 10:30:00,667.8950562513567,
2022-01-21 11:00:00,680.0287624560142,
2022-01-21 23:59:59,649.0290610032316,w
2022-01-24 00:00:00,643.7185830995807,
2022-01-24 03:30:00,684.4128484604294,
2022-01-24 04:00:00,655.0464002869651,
2022-01-24 06:00:00,659.5956327553754,
2022-01-24 08:00:00,654.764077454033,
2022-01-24 10:30:00,607.4912483764542,
2022-01-24 11:00:00,638.6239880920446,
2022-01-24 23:59:59,650.9375478972256,c
2022-01-25 00:00:00,665.9787814139856,
2022-01-25 03:30:00,658.3575913246611,
2022-01-25 04:00:00,647.891351708349,
2022-01-25 06:00:00,651.3995265601031,
2022-01-25 08:00:00,623.3480708907462,
2022-01-25 10:30:00,681.7251450767164,
2022-01-25 11:00:00,658.045945395756,
2022-01-25 23:59:59,654.8753436986403,c
2022-01-26 00:00:00,698.5972103221452,
2022-01-26 03:30:00,699.1524631470761,
2022-01-26 04:00:00,663.9593915452326,
2022-01-26 06:00:00,714.0019834406764,
2022-01-26 08:00:00,707.7953885859631,
2022-01-26 10:30:00,762.2538054815636,
2022-01-26 11:00:00,757.2909981050784,
2022-01-26 23:59:59,770.5433833157526,c
2022-01-27 00:00:00,656.3473427702716,
2022-01-27 03:30:00,629.2821257028334,
2022-01-27 04:00:00,607.8835235988006,
2022-01-27 06:00:00,601.8590471114944,
2022-01-27 08:00:00,603.4718337620109,
2022-01-27 10:30:00,610.0236207500113,
2022-01-27 11:00:00,603.469490182114,
2022-01-27 23:59:59,603.6151145981562,c
2022-01-28 00:00:00,607.7729156561015,
2022-01-28 03:30:00,562.2803641290072,
2022-01-28 04:00:00,597.775460210752,
2022-01-28 06:00:00,599.4534703163247,
2022-01-28 08:00:00,558.6095626069371,
2022-01-28 10:30:00,559.099386014497,
2022-01-28 11:00:00,565.8158934321636,
2022-01-28 23:59:59,589.5999196096609,w
2022-01-31 00:00:00,629.5698439389964,
2022-01-31 03:30:00,653.9259608708028,
2022-01-31 04:00:00,653.3818552739706,
2022-01-31 06:00:00,692.736431274948,
2022-01-31 08:00:00,710.2895006438291,
2022-01-31 10:30:00,722.2884152737379,
2022-01-31 11:00:00,722.6052885512318,
2022-01-31 23:59:59,699.1830411381059,c
2022-02-01 00:00:00,772.9694643650769,
2022-02-01 03:30:00,754.9880988441801,
2022-02-01 04:00:00,780.2277730123728,
2022-02-01 06:00:00,722.0354677945147,
2022-02-01 08:00:00,747.9203838059796,
2022-02-01 10:30:00,717.7247111269471,
2022-02-01 11:00:00,725.5318031605857,
2022-02-01 23:59:59,750.9022381918237,c
2022-02-02 00:00:00,757.7289365675238,
2022-02-02 03:30:00,767.0165370921181,
2022-02-02 04:00:00,786.1861254625107,
2022-02-02 06:00:00,752.6723182415794,
2022-02-02 08:00:00,782.3744479297807,
2022-02-02 10:30:00,793.6324013677445,
2022-02-02 11:00:00,801.8296402258218,
2022-02-02 23:59:59,791.722084084847,c
2022-02-03 00:00:00,806.5878229524394,
2022-02-03 03:30:00,828.2342886221468,
2022-02-03 04:00:00,779.1108189680629,
2022-02-03 06:00:00,748.1517171560115,
2022-02-03 08:00:00,782.4250572112255,
2022-02-03 10:30:00,752.5936608501677,
2022-02-03 11:00:00,744.9264917474677,
2022-02-03 23:59:59,729.3828784268055,c
2022-02-04 00:00:00,745.9095083136424,
2022-02-04 03:30:00,744.5357051929104,
2022-02-04 04:00:00,714.4141886738644,
2022-02-04 06:00:00,664.8503479672222,
2022-02-04 08:00:00,634.4027820415563,
2022-02-04 10:30:00,583.0360061063409,
2022-02-04 11:00:00,560.0761324822413,
2022-02-04 23:59:59,572.1126506296373,w
2022-02-07 00:00:00,610.6888952019506,
2022-02-07 03:30:00,490.0106524027863,
2022-02-07 04:00:00,489.3800688538544,
2022-02-07 06:00:00,441.2798027045563,
2022-02-07 08:00:00,441.2495512847457,
2022-02-07 10:30:00,478.6336981556481,
2022-02-07 11:00:00,485.22814583698727,
2022-02-07 23:59:59,480.84949733292154,c
2022-02-08 00:00:00,443.2345663157752,
2022-02-08 03:30:00,416.61470463454174,
2022-02-08 04:00:00,415.8662248164317,
2022-02-08 06:00:00,366.33270368618383,
2022-02-08 08:00:00,360.7449487047507,
2022-02-08 10:30:00,272.40302634865265,
2022-02-08 11:00:00,264.56056279176295,
2022-02-08 23:59:59,281.8248618080318,c
2022-02-09 00:00:00,248.97042735293672,
2022-02-09 03:30:00,236.51749822374126,
2022-02-09 04:00:00,231.2648658785676,
2022-02-09 06:00:00,278.2208020195814,
2022-02-09 08:00:00,275.15092765998105,
2022-02-09 10:30:00,327.66882336383406,
2022-02-09 11:00:00,322.09895465933783,
2022-02-09 23:59:59,329.1446291475772,c
2022-02-10 00:00:00,410.4412031344654,
2022-02-10 03:30:00,302.44694905768955,
2022-02-10 04:00:00,271.7351157203787,
2022-02-10 06:00:00,240.93926303517077,
2022-02-10 08:00:00,236.817483915771,
2022-02-10 10:30:00,182.57335397114053,
2022-02-10 11:00:00,180.6129188808879,
2022-02-10 23:59:59,227.86072922529587,c
2022-02-11 00:00:00,227.86072922529587,
2022-02-11 03:30:00,227.86072922529587,
2022-02-11 04:00:00,227.86072922529587,
2022-02-11 06:00:00,227.86072922529587,
2022-02-11 08:00:00,227.86072922529587,
2022-02-11 10:30:00,227.86072922529587,
2022-02-11 11:00:00,227.86072922529587,
2022-02-11 23:59:59,227.86072922529587,w
2022-02-14 00:00:00,190.09043390645587,
2022-02-14 03:30:00,161.28107648498604,
2022-02-14 04:00:00,158.50275974147672,
2022-02-14 06:00:00,135.3867575447577,
2022-02-14 08:00:00,121.46052553977285,
2022-02-14 10:30:00,145.30357125618326,
2022-02-14 11:00:00,132.21638741663747,
2022-02-14 23:59:59,138.0793089164428,c
2022-02-15 00:00:00,156.92098108331203,
2022-02-15 03:30:00,173.8490703156687,
2022-02-15 04:00:00,193.83732681140117,
2022-02-15 06:00:00,211.66290144958958,
2022-02-15 08:00:00,238.57939111092668,
2022-02-15 10:30:00,250.5877212975958,
2022-02-15 11:00:00,252.189828100164,
2022-02-15 23:59:59,242.76519344669413,c
2022-02-16 00:00:00,247.26168399546697,
2022-02-16 03:30:00,203.07726597100685,
2022-02-16 04:00:00,185.09250563236918,
2022-02-16 06:00:00,175.654449093413,
2022-02-16 08:00:00,142.96309943680905,
2022-02-16 10:30:00,84.83424670348137,
2022-02-16 11:00:00,86.18066495104625,
2022-02-16 23:59:59,124.58685209389438,c
2022-02-17 00:00:00,116.29355127371588,
2022-02-17 03:30:00,100.54818189327267,
2022-02-17 04:00:00,125.47740808620728,
2022-02-17 06:00:00,120.05008536491113,
2022-02-17 08:00:00,84.31588127950096,
2022-02-17 10:30:00,38.10828454821973,
2022-02-17 11:00:00,38.657065546109436,
2022-02-17 23:59:59,44.45928382997954,c
2022-02-18 00:00:00,35.410190641559666,
2022-02-18 03:30:00,45.604685848501674,
2022-02-18 04:00:00,43.448958343260415,
2022-02-18 06:00:00,35.97629031453073,
2022-02-18 08:00:00,37.97574099941147,
2022-02-18 10:30:00,-13.824665922077202,
