date,AS_MSCI_DM_MIG_2021_Q4,meta
2021-09-30 00:00:00,-726.0305463281686,
2021-09-30 01:00:00,-714.2560931398882,
2021-09-30 02:30:00,-693.7221326298493,
2021-09-30 03:00:00,-691.7745970733182,
2021-09-30 18:30:00,-691.7745970733182,
2021-09-30 20:00:00,-691.7745970733182,
2021-09-30 23:00:00,-671.0013701584865,
2021-09-30 23:59:59,-680.1954729734456,c
2021-10-01 00:00:00,-677.6659059746898,
2021-10-01 01:00:00,-673.2112066362251,
2021-10-01 02:30:00,-673.2112066362251,
2021-10-01 03:00:00,-673.2112066362251,
2021-10-01 18:30:00,-673.2112066362251,
2021-10-01 20:00:00,-673.2112066362251,
2021-10-01 23:00:00,-673.2112066362251,
2021-10-01 23:59:59,-673.1144645691993,w
2021-10-04 00:00:00,-670.9438942027061,
2021-10-04 01:00:00,-648.4763443984536,
2021-10-04 02:30:00,-647.2748070881488,
2021-10-04 03:00:00,-650.3625703569063,
2021-10-04 18:30:00,-650.3625703569063,
2021-10-04 20:00:00,-654.2805003348349,
2021-10-04 23:00:00,-586.5582589715373,
2021-10-04 23:59:59,-572.6504250152145,c
2021-10-05 00:00:00,-596.9009883480272,
2021-10-05 01:00:00,-588.4377773934,
2021-10-05 02:30:00,-587.6269360157492,
2021-10-05 03:00:00,-587.6405911968546,
2021-10-05 18:30:00,-587.6405911968546,
2021-10-05 20:00:00,-589.6086064586384,
2021-10-05 23:00:00,-592.8368920360797,
2021-10-05 23:59:59,-580.0357802868291,c
2021-10-06 00:00:00,-580.258061258299,
2021-10-06 01:00:00,-578.9572528104112,
2021-10-06 02:30:00,-586.2908645416366,
2021-10-06 03:00:00,-584.2612763286187,
2021-10-06 18:30:00,-584.2612763286187,
2021-10-06 20:00:00,-608.0860615820352,
2021-10-06 23:00:00,-576.7072446052808,
2021-10-06 23:59:59,-581.3974232334618,c
2021-10-07 00:00:00,-589.5321293553144,
2021-10-07 01:00:00,-582.7873514933345,
2021-10-07 02:30:00,-589.0440808667095,
2021-10-07 03:00:00,-589.9872046163414,
2021-10-07 18:30:00,-589.9872046163414,
2021-10-07 20:00:00,-612.7775121728735,
2021-10-07 23:00:00,-602.1193229197892,
2021-10-07 23:59:59,-595.4885682983443,c
2021-10-08 00:00:00,-588.5198435606981,
2021-10-08 01:00:00,-572.5178132261774,
2021-10-08 02:30:00,-562.12029690752,
2021-10-08 03:00:00,-563.8963635951501,
2021-10-08 18:30:00,-563.8963635951501,
2021-10-08 20:00:00,-563.8963635951501,
2021-10-08 23:00:00,-563.8963635951501,
2021-10-08 23:59:59,-565.3315411405233,w
2021-10-11 00:00:00,-476.45306077318514,
2021-10-11 01:00:00,-475.9443009018037,
2021-10-11 02:30:00,-456.4123388650145,
2021-10-11 03:00:00,-455.76437005971536,
2021-10-11 18:30:00,-455.76437005971536,
2021-10-11 20:00:00,-451.2851713077891,
2021-10-11 23:00:00,-334.04825844610394,
2021-10-11 23:59:59,-313.9067913524494,c
2021-10-12 00:00:00,-305.3095438188877,
2021-10-12 01:00:00,-299.3708176561949,
2021-10-12 02:30:00,-306.9147302109116,
2021-10-12 03:00:00,-306.9147302109116,
2021-10-12 18:30:00,-306.9147302109116,
2021-10-12 20:00:00,-306.11432023609945,
2021-10-12 23:00:00,-291.67350228516466,
2021-10-12 23:59:59,-277.0996510655369,c
2021-10-13 00:00:00,-283.45484394866463,
2021-10-13 01:00:00,-283.5895183932154,
2021-10-13 02:30:00,-283.5895183932154,
2021-10-13 03:00:00,-283.5895183932154,
2021-10-13 18:30:00,-283.5895183932154,
2021-10-13 20:00:00,-272.20099711292005,
2021-10-13 23:00:00,-277.32431315429005,
2021-10-13 23:59:59,-266.72004996945105,c
2021-10-14 00:00:00,-271.9827821956614,
2021-10-14 01:00:00,-266.4294594555904,
2021-10-14 02:30:00,-266.4294594555904,
2021-10-14 03:00:00,-266.4294594555904,
2021-10-14 18:30:00,-266.4294594555904,
2021-10-14 20:00:00,-261.0920080804375,
2021-10-14 23:00:00,-260.07363372255566,
2021-10-14 23:59:59,-262.86502271476184,c
2021-10-15 00:00:00,-270.84545168872665,
2021-10-15 01:00:00,-256.6058057529367,
2021-10-15 02:30:00,-248.14016282490718,
2021-10-15 03:00:00,-248.47471748953154,
2021-10-15 18:30:00,-248.47471748953154,
2021-10-15 20:00:00,-248.47471748953154,
2021-10-15 23:00:00,-248.47471748953154,
2021-10-15 23:59:59,-249.53686750177485,w
2021-10-18 00:00:00,-260.44259539406494,
2021-10-18 01:00:00,-241.2015041749758,
2021-10-18 02:30:00,-232.80299325069035,
2021-10-18 03:00:00,-233.71223851479135,
2021-10-18 18:30:00,-233.71223851479135,
2021-10-18 20:00:00,-246.47327939643395,
2021-10-18 23:00:00,-240.0583597209259,
2021-10-18 23:59:59,-241.62219186187457,c
2021-10-19 00:00:00,-247.57876447487752,
2021-10-19 01:00:00,-245.11376440205433,
2021-10-19 02:30:00,-250.51291311635515,
2021-10-19 03:00:00,-251.7955636443135,
2021-10-19 18:30:00,-251.7955636443135,
2021-10-19 20:00:00,-254.55552694908138,
2021-10-19 23:00:00,-286.1092158024906,
2021-10-19 23:59:59,-285.31915000091647,c
2021-10-20 00:00:00,-288.8207352855101,
2021-10-20 01:00:00,-288.2549478192904,
2021-10-20 02:30:00,-291.4457654198889,
2021-10-20 03:00:00,-291.75198355035656,
2021-10-20 18:30:00,-291.75198355035656,
2021-10-20 20:00:00,-297.5187567854619,
2021-10-20 23:00:00,-310.2709613825397,
2021-10-20 23:59:59,-294.0045883941422,c
2021-10-21 00:00:00,-294.0237113104019,
2021-10-21 01:00:00,-293.45383134174955,
2021-10-21 02:30:00,-289.65120923460336,
2021-10-21 03:00:00,-289.87426033498787,
2021-10-21 18:30:00,-289.87426033498787,
2021-10-21 20:00:00,-277.03664864672083,
2021-10-21 23:00:00,-266.81357690211354,
2021-10-21 23:59:59,-265.6497479696588,c
2021-10-22 00:00:00,-272.111294598752,
2021-10-22 01:00:00,-273.7068737752322,
2021-10-22 02:30:00,-259.7420953967282,
2021-10-22 03:00:00,-260.4138345699456,
2021-10-22 18:30:00,-260.4138345699456,
2021-10-22 20:00:00,-260.4138345699456,
2021-10-22 23:00:00,-260.4138345699456,
2021-10-22 23:59:59,-260.46109209325147,w
2021-10-25 00:00:00,-240.11042888980177,
2021-10-25 01:00:00,-231.72744387293423,
2021-10-25 02:30:00,-224.27205163614778,
2021-10-25 03:00:00,-224.96563141896544,
2021-10-25 18:30:00,-224.96563141896544,
2021-10-25 20:00:00,-222.65619666705734,
2021-10-25 23:00:00,-214.15753844793028,
2021-10-25 23:59:59,-216.985723728666,c
2021-10-26 00:00:00,-219.48250205924748,
2021-10-26 01:00:00,-224.11372974468378,
2021-10-26 02:30:00,-215.1788742747805,
2021-10-26 03:00:00,-213.99015086959898,
2021-10-26 18:30:00,-213.99015086959898,
2021-10-26 20:00:00,-212.06625072367547,
2021-10-26 23:00:00,-156.60970346037956,
2021-10-26 23:59:59,-147.50150095711498,c
2021-10-27 00:00:00,-143.73200321474252,
2021-10-27 01:00:00,-142.13993708333683,
2021-10-27 02:30:00,-126.47731540958226,
2021-10-27 03:00:00,-126.18503689069404,
2021-10-27 18:30:00,-126.18503689069404,
2021-10-27 20:00:00,-130.2822515681654,
2021-10-27 23:00:00,-130.42349886242195,
2021-10-27 23:59:59,-112.92743640739553,c
2021-10-28 00:00:00,-114.04850346094442,
2021-10-28 01:00:00,-113.16963301135823,
2021-10-28 02:30:00,-109.43646955851091,
2021-10-28 03:00:00,-109.70039879896862,
2021-10-28 18:30:00,-109.70039879896862,
2021-10-28 20:00:00,-113.00112520880117,
2021-10-28 23:00:00,-84.77757753901787,
2021-10-28 23:59:59,-93.18323788940168,c
2021-10-29 00:00:00,-86.95951862168621,
2021-10-29 01:00:00,-95.10446193688364,
2021-10-29 02:30:00,-78.5104994806801,
2021-10-29 03:00:00,-79.39187906950367,
2021-10-29 18:30:00,-79.39187906950367,
2021-10-29 20:00:00,-79.39187906950367,
2021-10-29 23:00:00,-79.39187906950367,
2021-10-29 23:59:59,-81.20725173013156,w
2021-11-01 00:00:00,-63.83607286883715,
2021-11-01 01:00:00,-56.16259200912833,
2021-11-01 02:30:00,-48.89661809195711,
2021-11-01 03:00:00,-47.7183134000193,
2021-11-01 18:30:00,-47.7183134000193,
2021-11-01 20:00:00,-49.992894804366344,
2021-11-01 23:00:00,-14.330309771189057,
2021-11-01 23:59:59,-5.1749255171039295,c
2021-11-02 00:00:00,-0.37259416915989974,
2021-11-02 01:00:00,-8.20232354955101,
2021-11-02 02:30:00,-8.812768346400784,
2021-11-02 03:00:00,-10.339749350120492,
2021-11-02 18:30:00,-10.339749350120492,
2021-11-02 20:00:00,-21.092202741139534,
2021-11-02 23:00:00,-15.268184722821283,
2021-11-02 23:59:59,-13.990451691149888,c
2021-11-03 00:00:00,-15.271070333938189,
2021-11-03 01:00:00,-14.536734623946336,
2021-11-03 02:30:00,-15.383314854306295,
2021-11-03 03:00:00,-15.31012510058644,
2021-11-03 18:30:00,-15.31012510058644,
2021-11-03 20:00:00,-19.61799399315315,
2021-11-03 23:00:00,25.67514754153608,
2021-11-03 23:59:59,16.866809399800413,c
2021-11-04 00:00:00,0.6828919629941659,
2021-11-04 01:00:00,-4.009770566791033,
2021-11-04 02:30:00,-11.606018936644537,
2021-11-04 03:00:00,-10.34917347053787,
2021-11-04 18:30:00,-10.34917347053787,
2021-11-04 20:00:00,-12.187012237520497,
2021-11-04 23:00:00,-2.1776982062453634,
2021-11-04 23:59:59,-2.638568560606135,c
2021-11-05 00:00:00,-1.0945669914177607,
2021-11-05 01:00:00,1.3543052049940627,
2021-11-05 02:30:00,0.42001757927659256,
2021-11-05 03:00:00,0.6916788972729222,
2021-11-05 18:30:00,0.6916788972729222,
2021-11-05 20:00:00,0.6916788972729222,
2021-11-05 23:00:00,0.6916788972729222,
2021-11-05 23:59:59,0.1501993895010152,w
2021-11-08 00:00:00,19.49962295799183,
2021-11-08 01:00:00,30.087177018053087,
2021-11-08 02:30:00,30.405601083456038,
2021-11-08 03:00:00,27.51337609727373,
2021-11-08 18:30:00,36.87676606591191,
2021-11-08 20:00:00,35.5817352365511,
2021-11-08 23:00:00,62.32284775482607,
2021-11-08 23:59:59,58.419619028794926,c
2021-11-09 00:00:00,55.13915727441508,
2021-11-09 01:00:00,60.17734245491768,
2021-11-09 02:30:00,58.53566912748177,
2021-11-09 03:00:00,58.456280664929764,
2021-11-09 18:30:00,52.472003471180756,
2021-11-09 20:00:00,43.337649854150214,
2021-11-09 23:00:00,21.9725332171739,
2021-11-09 23:59:59,19.96712006502253,c
2021-11-10 00:00:00,9.510180003144544,
2021-11-10 01:00:00,10.11391643941332,
2021-11-10 02:30:00,8.208081820730133,
2021-11-10 03:00:00,7.338789562716496,
2021-11-10 18:30:00,3.1401656600069963,
2021-11-10 20:00:00,-12.482622102213018,
2021-11-10 23:00:00,-7.202960191293805,
2021-11-10 23:59:59,-8.915633884114019,c
2021-11-11 00:00:00,-8.7556243479763,
2021-11-11 01:00:00,-11.466628583330877,
2021-11-11 02:30:00,-13.86425660691618,
2021-11-11 03:00:00,-14.205181487821024,
2021-11-11 18:30:00,-3.4079577285628027,
2021-11-11 20:00:00,-37.79861177354094,
2021-11-11 23:00:00,-9.950071162611989,
2021-11-11 23:59:59,0.0,a
2021-11-12 00:00:00,4.7592334339192135,
2021-11-12 01:00:00,-13.010678142672454,
2021-11-12 02:30:00,-15.377730384748148,
2021-11-12 03:00:00,-15.55748419924813,
2021-11-12 18:30:00,-15.55748419924813,
2021-11-12 20:00:00,-15.55748419924813,
2021-11-12 23:00:00,-15.55748419924813,
2021-11-12 23:59:59,-15.150507219202254,w
2021-11-15 00:00:00,-7.6477879427258095,
2021-11-15 01:00:00,-11.388390792493386,
2021-11-15 02:30:00,-9.704887082214421,
2021-11-15 03:00:00,-9.092605977657817,
2021-11-15 18:30:00,-3.937157807026651,
2021-11-15 20:00:00,38.39697061032808,
2021-11-15 23:00:00,14.547977314538745,
2021-11-15 23:59:59,20.949709241548167,c
2021-11-16 00:00:00,13.292137505435715,
2021-11-16 01:00:00,21.00937659083777,
2021-11-16 02:30:00,23.568054918217715,
2021-11-16 03:00:00,20.59467585491605,
2021-11-16 18:30:00,23.62914355981624,
2021-11-16 20:00:00,17.61170218907336,
2021-11-16 23:00:00,11.611700536734421,
2021-11-16 23:59:59,14.603309551077235,c
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
0,14.603309551077235,
2021-11-17 00:00:00,19.81737233857866,
2021-11-17 01:00:00,6.4223637306419725,
2021-11-17 02:30:00,6.075496731713049,
2021-11-17 03:00:00,4.359653423746714,
2021-11-17 18:30:00,6.233596557643203,
2021-11-17 20:00:00,-35.132899703628624,
2021-11-17 23:00:00,-13.987436660543064,
2021-11-17 23:59:59,-47.29955453734348,c
2021-11-18 00:00:00,-39.95674427457528,
2021-11-18 01:00:00,-38.771992875169204,
2021-11-18 02:30:00,-36.75311050666383,
2021-11-18 03:00:00,-37.61661443139043,
2021-11-18 18:30:00,-35.670280879865615,
2021-11-18 20:00:00,-31.054255262462828,
2021-11-18 23:00:00,12.369531495285283,
2021-11-18 23:59:59,10.967110846932787,c
2021-11-19 00:00:00,11.139431176013662,
2021-11-19 01:00:00,8.186299165646762,
2021-11-19 02:30:00,8.731509543060017,
2021-11-19 03:00:00,7.119853418391422,
2021-11-19 18:30:00,7.119853418391422,
2021-11-19 20:00:00,7.119853418391422,
2021-11-19 23:00:00,7.119853418391422,
2021-11-19 23:59:59,7.1327369136115735,w
2021-11-22 00:00:00,-20.29269488129838,
2021-11-22 01:00:00,-11.665883905064065,
2021-11-22 02:30:00,-13.887397085723556,
2021-11-22 03:00:00,-15.467627431041327,
2021-11-22 18:30:00,-18.798874389647658,
2021-11-22 20:00:00,-16.24150786562923,
2021-11-22 23:00:00,-28.23870917444533,
2021-11-22 23:59:59,-28.027117165132623,c
2021-11-23 00:00:00,-25.53133013004642,
2021-11-23 01:00:00,-20.833740688993064,
2021-11-23 02:30:00,-21.480218244399097,
2021-11-23 03:00:00,-20.193519876497323,
2021-11-23 18:30:00,-17.233966726074907,
2021-11-23 20:00:00,-54.31583406617321,
2021-11-23 23:00:00,-69.62065331771535,
2021-11-23 23:59:59,-71.57687965716124,c
2021-11-24 00:00:00,-75.87763164907653,
2021-11-24 01:00:00,-94.77187227113258,
2021-11-24 02:30:00,-96.36159818117336,
2021-11-24 03:00:00,-95.82266085333548,
2021-11-24 18:30:00,-89.58626175473748,
2021-11-24 20:00:00,-84.8909929783347,
2021-11-24 23:00:00,-112.40260621511653,
2021-11-24 23:59:59,-115.24742000954552,c
2021-11-25 00:00:00,-119.87682759635979,
2021-11-25 01:00:00,-125.73333991771085,
2021-11-25 02:30:00,-119.7107684041643,
2021-11-25 03:00:00,-122.64265608220036,
2021-11-25 18:30:00,-117.74335796752716,
2021-11-25 20:00:00,-119.49901782083123,
2021-11-25 23:00:00,-154.68871602578645,
2021-11-25 23:59:59,-165.71908543085087,c
2021-11-26 00:00:00,-143.4634835856669,
2021-11-26 01:00:00,-142.21554434414193,
2021-11-26 02:30:00,-138.78840312839608,
2021-11-26 03:00:00,-135.00450327058985,
2021-11-26 18:30:00,-135.00450327058985,
2021-11-26 20:00:00,-135.00450327058985,
2021-11-26 23:00:00,-135.00450327058985,
2021-11-26 23:59:59,-132.2920453305648,w
2021-11-29 00:00:00,-111.44148639760259,
2021-11-29 01:00:00,-134.43063367353912,
2021-11-29 02:30:00,-139.202615279153,
2021-11-29 03:00:00,-139.2797563873759,
2021-11-29 18:30:00,-145.09762793053574,
2021-11-29 20:00:00,-201.00520031652158,
2021-11-29 23:00:00,-162.48586614546446,
2021-11-29 23:59:59,-152.36375529192276,c
2021-11-30 00:00:00,-135.83351675870927,
2021-11-30 01:00:00,-256.5182188763887,
2021-11-30 02:30:00,-260.6369969350144,
2021-11-30 03:00:00,-270.39113439509936,
2021-11-30 18:30:00,-269.7201728051911,
2021-11-30 20:00:00,-283.242492634995,
2021-11-30 23:00:00,-271.88675598245175,
2021-11-30 23:59:59,-264.67577151503133,e
2021-12-01 00:00:00,-239.43979511158904,
2021-12-01 01:00:00,-230.56729933545887,
2021-12-01 02:30:00,-231.06009645707204,
2021-12-01 03:00:00,-228.70372985744305,
2021-12-01 18:30:00,-256.5953135730436,
2021-12-01 20:00:00,-294.6283397732263,
2021-12-01 23:00:00,-266.114433270938,
2021-12-01 23:59:59,-265.67107374415576,c
2021-12-02 00:00:00,-244.97931446188701,
2021-12-02 01:00:00,-249.5796621224238,
2021-12-02 02:30:00,-251.22259722538925,
2021-12-02 03:00:00,-252.14252510883307,
2021-12-02 18:30:00,-258.53547942630644,
2021-12-02 20:00:00,-246.173049718335,
2021-12-02 23:00:00,-234.82598960692488,
2021-12-02 23:59:59,-239.97824329804422,c
2021-12-03 00:00:00,-223.46070537126857,
2021-12-03 01:00:00,-222.92834541241027,
2021-12-03 02:30:00,-219.97678688063277,
2021-12-03 03:00:00,-219.44204446558646,
2021-12-03 18:30:00,-219.44204446558646,
2021-12-03 20:00:00,-219.44204446558646,
2021-12-03 23:00:00,-219.44204446558646,
2021-12-03 23:59:59,-218.98393812766628,w
2021-12-06 00:00:00,-252.55473768191743,
2021-12-06 01:00:00,-255.52025374948371,
2021-12-06 02:30:00,-252.63439213104476,
2021-12-06 03:00:00,-252.40594964504433,
2021-12-06 18:30:00,-239.48155500774973,
2021-12-06 20:00:00,-219.37353843319494,
2021-12-06 23:00:00,-204.2641356378818,
2021-12-06 23:59:59,-204.72889233737985,c
2021-12-07 00:00:00,-188.2498687661403,
2021-12-07 01:00:00,-187.07691655055513,
2021-12-07 02:30:00,-187.7932463619591,
2021-12-07 03:00:00,-188.53884337068976,
2021-12-07 18:30:00,-191.25262961665675,
2021-12-07 20:00:00,-207.53687547931534,
2021-12-07 23:00:00,-201.5963607506113,
2021-12-07 23:59:59,-197.76074000916503,c
2021-12-08 00:00:00,-196.55225926855536,
2021-12-08 01:00:00,-195.66644069315834,
2021-12-08 02:30:00,-197.47419304129002,
2021-12-08 03:00:00,-197.99910695203747,
