date,AS_MSCI_VALUE_2022_Q4,meta
2022-10-14 00:00:00,-127.91499520607249,
2022-10-14 01:00:00,-111.97893065900189,
2022-10-14 02:30:00,-97.37552870831041,
2022-10-14 03:00:00,-92.21479294870642,
2022-10-14 18:30:00,-92.21479294870642,
2022-10-14 20:00:00,-92.21479294870642,
2022-10-14 23:00:00,-92.21479294870642,
2022-10-14 23:59:59,-91.35473785578142,w
2022-10-17 00:00:00,-67.4639346317017,
2022-10-17 01:00:00,-67.14120285058289,
2022-10-17 02:30:00,-67.79795138740064,
2022-10-17 03:00:00,-68.84044604218252,
2022-10-17 18:30:00,-68.84044604218252,
2022-10-17 20:00:00,-76.18226218042128,
2022-10-17 23:00:00,-40.9825477543136,
2022-10-17 23:59:59,-60.77735476790076,c
2022-10-18 00:00:00,-83.35941863919197,
2022-10-18 01:00:00,-76.02801887631995,
2022-10-18 02:30:00,-79.44967872407233,
2022-10-18 03:00:00,-75.65604745574183,
2022-10-18 18:30:00,-75.65604745574183,
2022-10-18 20:00:00,-75.16459684892743,
2022-10-18 23:00:00,-130.17910461743668,
2022-10-18 23:59:59,-128.62469558973135,c
2022-10-19 00:00:00,-137.17688403742432,
2022-10-19 01:00:00,-133.9426385157176,
2022-10-19 02:30:00,-114.96604218940774,
2022-10-19 03:00:00,-113.65186325497052,
2022-10-19 18:30:00,-113.65186325497052,
2022-10-19 20:00:00,-113.82622566542977,
2022-10-19 23:00:00,-123.14469293492766,
2022-10-19 23:59:59,-127.35996419480307,c
2022-10-20 00:00:00,-124.2564687326485,
2022-10-20 01:00:00,-138.86838289691423,
2022-10-20 02:30:00,-139.85720637890608,
2022-10-20 03:00:00,-142.8830909260132,
2022-10-20 18:30:00,-142.8830909260132,
2022-10-20 20:00:00,-145.26522180897246,
2022-10-20 23:00:00,-126.06774073350971,
2022-10-20 23:59:59,-128.1786705981458,c
2022-10-21 00:00:00,-114.35044790221673,
2022-10-21 01:00:00,-119.55813639906046,
2022-10-21 02:30:00,-106.02701913804776,
