date,AS_LIT_2022_Q4,meta
2022-10-24 00:00:00,-176.01217084867653,
2022-10-24 01:00:00,-183.80317332485424,
2022-10-24 02:30:00,-183.20913368800097,
2022-10-24 03:00:00,-181.2360066456888,
2022-10-24 18:30:00,-181.2360066456888,
2022-10-24 20:00:00,-120.31064909013321,
2022-10-24 23:00:00,32.12568436595302,
2022-10-24 23:59:59,0.0,a
2022-10-25 00:00:00,16.8306837282189,
2022-10-25 01:00:00,-25.962710642434786,
2022-10-25 02:30:00,-15.886247223380224,
2022-10-25 03:00:00,-13.940297859626753,
2022-10-25 18:30:00,-13.940297859626753,
2022-10-25 20:00:00,-1.9951995845290185,
2022-10-25 23:00:00,-47.21549884118258,
2022-10-25 23:59:59,-33.37177367565596,c
2022-10-26 00:00:00,-27.802504489390003,
2022-10-26 01:00:00,10.582410170896537,
2022-10-26 02:30:00,29.160814808131818,
2022-10-26 03:00:00,29.808202541980336,
2022-10-26 18:30:00,29.808202541980336,
2022-10-26 20:00:00,5.782384336074301,
2022-10-26 23:00:00,-60.34276422050698,
2022-10-26 23:59:59,-45.50234555952193,c
2022-10-27 00:00:00,-69.29661545896738,
2022-10-27 01:00:00,-99.13371922104511,
2022-10-27 02:30:00,-129.88356935545653,
2022-10-27 03:00:00,-129.4528864813899,
2022-10-27 18:30:00,-129.4528864813899,
2022-10-27 20:00:00,-122.84218322718857,
2022-10-27 23:00:00,-277.3404874712005,
2022-10-27 23:59:59,-263.25730417131217,c
2022-10-28 00:00:00,-266.5038024695382,
2022-10-28 01:00:00,-230.96580342294556,
2022-10-28 02:30:00,-285.7535528642602,
2022-10-28 03:00:00,-285.11337750574216,
2022-10-28 18:30:00,-285.11337750574216,
2022-10-28 20:00:00,-285.11337750574216,
2022-10-28 23:00:00,-285.11337750574216,
2022-10-28 23:59:59,-287.3420581638147,w
2022-10-31 00:00:00,-321.6595553953248,
2022-10-31 01:00:00,-343.0182647633478,
2022-10-31 02:30:00,-393.9510648712053,
2022-10-31 03:00:00,-394.37636851890466,
2022-10-31 18:30:00,-394.37636851890466,
2022-10-31 20:00:00,-396.62433457860584,
2022-10-31 23:00:00,-481.49187499078926,
2022-10-31 23:59:59,-538.3355905686265,e
2022-11-01 00:00:00,-564.7991762968172,
2022-11-01 01:00:00,-570.5656245450555,
2022-11-01 02:30:00,-621.2356614805908,
2022-11-01 03:00:00,-620.1873831353391,
2022-11-01 18:30:00,-620.1873831353391,
2022-11-01 20:00:00,-608.6427528605145,
2022-11-01 23:00:00,-488.5553785203308,
2022-11-01 23:59:59,-430.43036921161706,c
2022-11-02 00:00:00,-448.8322647769412,
2022-11-02 01:00:00,-474.84894069570964,
2022-11-02 02:30:00,-474.84894069570964,
2022-11-02 03:00:00,-474.84894069570964,
2022-11-02 18:30:00,-474.84894069570964,
2022-11-02 20:00:00,-486.2533291701711,
2022-11-02 23:00:00,-518.0202844233866,
2022-11-02 23:59:59,-533.9022582910807,c
2022-11-03 00:00:00,-515.5374731543568,
2022-11-03 01:00:00,-535.6785564375111,
2022-11-03 02:30:00,-521.7548871187503,
2022-11-03 03:00:00,-521.328465186032,
2022-11-03 18:30:00,-521.328465186032,
2022-11-03 20:00:00,-547.6621115346679,
2022-11-03 23:00:00,-529.4861163121179,
2022-11-03 23:59:59,-530.7545686047938,c
2022-11-04 00:00:00,-523.4712778043136,
2022-11-04 01:00:00,-502.4403130569224,
2022-11-04 02:30:00,-550.3136473334066,
2022-11-04 03:00:00,-550.7354828315795,
2022-11-04 18:30:00,-550.7354828315795,
2022-11-04 20:00:00,-550.7354828315795,
2022-11-04 23:00:00,-550.7354828315795,
2022-11-04 23:59:59,-546.0405256803572,w
2022-11-07 00:00:00,-588.1555782052535,
2022-11-07 01:00:00,-589.2798057069888,
2022-11-07 02:30:00,-597.0058304220024,
2022-11-07 03:00:00,-597.2179099622429,
2022-11-07 18:30:00,-581.4922678171083,
2022-11-07 20:00:00,-506.36388077807874,
2022-11-07 23:00:00,-583.1246814964359,
2022-11-07 23:59:59,-567.8473208842415,c
2022-11-08 00:00:00,-555.5831407316095,
2022-11-08 01:00:00,-552.9637666283379,
2022-11-08 02:30:00,-551.5296244477829,
2022-11-08 03:00:00,-551.3151794171217,
2022-11-08 18:30:00,-550.3950516548296,
2022-11-08 20:00:00,-594.2282045345084,
2022-11-08 23:00:00,-668.6670696584367,
2022-11-08 23:59:59,-665.8058844481923,c
2022-11-09 00:00:00,-662.1530638139143,
2022-11-09 01:00:00,-658.7484398737959,
2022-11-09 02:30:00,-655.379240753028,
2022-11-09 03:00:00,-656.0154876573972,
2022-11-09 18:30:00,-629.3371351344017,
2022-11-09 20:00:00,-628.789974591821,
2022-11-09 23:00:00,-553.5970358555976,
2022-11-09 23:59:59,-553.1955814669434,c
2022-11-10 00:00:00,-545.2858206550122,
2022-11-10 01:00:00,-523.7666354098039,
2022-11-10 02:30:00,-478.7483705495124,
2022-11-10 03:00:00,-477.260312070435,
2022-11-10 18:30:00,-519.1855140927514,
2022-11-10 20:00:00,-504.3012070869602,
2022-11-10 23:00:00,-554.5865892531367,
2022-11-10 23:59:59,-574.724304458274,c
2022-11-11 00:00:00,-626.590296902634,
2022-11-11 01:00:00,-658.4378255876297,
2022-11-11 02:30:00,-642.8749065519187,
2022-11-11 03:00:00,-644.5728527438248,
2022-11-11 18:30:00,-644.5728527438248,
2022-11-11 20:00:00,-644.5728527438248,
2022-11-11 23:00:00,-644.5728527438248,
2022-11-11 23:59:59,-594.4961550999394,w
2022-11-14 00:00:00,-543.2569804650964,
2022-11-14 01:00:00,-505.0860316417038,
2022-11-14 02:30:00,-498.3867436598125,
2022-11-14 03:00:00,-499.03248187925124,
2022-11-14 18:30:00,-499.03248187925124,
2022-11-14 20:00:00,-499.03248187925124,
2022-11-14 23:00:00,-499.03248187925124,
2022-11-14 23:59:59,-550.5139168824494,c
