date,CAD_ETFS_2022_Q1,meta
2022-02-18 00:00:00,297.51455901720783,
2022-02-18 10:00:00,287.61392772447516,
2022-02-18 10:30:00,309.1912337108738,
2022-02-18 12:00:00,352.64749469554545,
2022-02-18 13:30:00,332.4511315756704,
2022-02-18 15:00:00,322.67033961989773,
2022-02-18 15:30:30,322.67033961989773,
2022-02-18 23:59:59,356.0204935203078,w
2022-02-21 00:00:00,356.0204935203078,
2022-02-21 10:00:00,356.0204935203078,
2022-02-21 10:30:00,356.0204935203078,
2022-02-21 12:00:00,356.0204935203078,
2022-02-21 13:30:00,356.0204935203078,
2022-02-21 15:00:00,356.0204935203078,
2022-02-21 15:30:30,356.0204935203078,
2022-02-21 23:59:59,356.0204935203078,c
2022-02-22 00:00:00,272.42116801092925,
2022-02-22 10:00:00,278.3505553034315,
2022-02-22 10:30:00,292.40972053822816,
2022-02-22 12:00:00,297.25146052762966,
2022-02-22 13:30:00,330.6753763863285,
2022-02-22 15:00:00,320.483424463926,
2022-02-22 15:30:30,320.483424463926,
2022-02-22 23:59:59,303.37546708730224,c
2022-02-23 00:00:00,292.9476745744969,
2022-02-23 10:00:00,253.08131123051635,
2022-02-23 10:30:00,270.29018826468246,
2022-02-23 12:00:00,288.62489343100833,
2022-02-23 13:30:00,294.0378898906956,
2022-02-23 15:00:00,302.85756817426136,
2022-02-23 15:30:30,302.85756817426136,
2022-02-23 23:59:59,301.3649779484108,c
2022-02-24 00:00:00,244.31884403455115,
2022-02-24 10:00:00,308.3331236085942,
2022-02-24 10:30:00,310.89977327974475,
2022-02-24 12:00:00,311.9164873915038,
2022-02-24 13:30:00,310.4878195742335,
2022-02-24 15:00:00,280.91461883775673,
2022-02-24 15:30:30,280.91461883775673,
2022-02-24 23:59:59,262.98202738078453,c
2022-02-25 00:00:00,277.424498587573,
2022-02-25 10:00:00,267.71805783139644,
2022-02-25 10:30:00,254.51061956552303,
2022-02-25 12:00:00,242.0408535010265,
2022-02-25 13:30:00,223.1184309015971,
2022-02-25 15:00:00,212.20835973671547,
2022-02-25 15:30:30,212.20835973671547,
2022-02-25 23:59:59,199.1648877051707,w
2022-02-28 00:00:00,201.62470169472863,
2022-02-28 10:00:00,183.4551204342406,
2022-02-28 10:30:00,191.5466258913957,
2022-02-28 12:00:00,161.63046558081805,
2022-02-28 13:30:00,157.9177227393866,
2022-02-28 15:00:00,153.67725177523653,
2022-02-28 15:30:30,153.67725177523653,s
2022-02-28 23:59:59,155.47830881130267,c
2022-03-01 00:00:00,107.69407109885196,
2022-03-01 10:00:00,75.67358673902982,
2022-03-01 10:30:00,88.46857405870105,
2022-03-01 12:00:00,130.41308644893616,
2022-03-01 13:30:00,169.3897025215747,
2022-03-01 15:00:00,145.96469513036027,
2022-03-01 15:30:30,145.96469513036027,
2022-03-01 23:59:59,115.61944838313093,c
2022-03-02 00:00:00,64.88488134989711,
2022-03-02 10:00:00,59.54720454189055,
2022-03-02 10:30:00,80.23589874004665,
2022-03-02 12:00:00,60.28306050797801,
2022-03-02 13:30:00,69.50422933750087,
2022-03-02 15:00:00,85.5750791857995,
2022-03-02 15:30:30,85.5750791857995,
2022-03-02 23:59:59,100.11292497511158,c
2022-03-03 00:00:00,107.59282806384908,
2022-03-03 10:00:00,95.34135103392964,
2022-03-03 10:30:00,55.3676266309335,
2022-03-03 12:00:00,88.14288373027193,
2022-03-03 13:30:00,95.38332579707321,
2022-03-03 15:00:00,169.9358882578672,
2022-03-03 15:30:30,169.9358882578672,
2022-03-03 23:59:59,171.94314993546095,c
2022-03-04 00:00:00,162.1993572896663,
2022-03-04 10:00:00,89.0507706513522,
2022-03-04 10:30:00,90.66545856366656,
2022-03-04 12:00:00,120.39452944243885,
2022-03-04 13:30:00,113.84086822502104,
2022-03-04 15:00:00,80.31593579634955,
2022-03-04 15:30:30,80.31593579634955,
2022-03-04 23:59:59,83.9781376912656,w
2022-03-07 00:00:00,18.288656717422782,
2022-03-07 10:00:00,43.063510090132695,
2022-03-07 10:30:00,31.699601301986604,
2022-03-07 12:00:00,48.78718313326726,
2022-03-07 13:30:00,45.956611753836114,
2022-03-07 15:00:00,55.57853132376613,
2022-03-07 15:30:30,55.57853132376613,
2022-03-07 23:59:59,53.505274991950046,c
2022-03-08 00:00:00,6.209723615857456,
2022-03-08 10:00:00,11.728894969990051,
2022-03-08 10:30:00,-4.8583792996114425,
2022-03-08 12:00:00,-1.9490213338503963,
2022-03-08 13:30:00,57.85904430496748,
2022-03-08 15:00:00,59.73459450912014,
2022-03-08 15:30:30,59.73459450912014,
2022-03-08 23:59:59,68.00705622692385,c
2022-03-09 00:00:00,155.05967988135444,
2022-03-09 10:00:00,118.6069527428931,
2022-03-09 10:30:00,132.88547601703158,
2022-03-09 12:00:00,51.328772830428534,
2022-03-09 13:30:00,146.20660184563258,
2022-03-09 15:00:00,157.6023460665242,
2022-03-09 15:30:30,157.6023460665242,
2022-03-09 23:59:59,132.107165911043,c
2022-03-10 00:00:00,146.86991541941097,
2022-03-10 10:00:00,70.71476649193801,
2022-03-10 10:30:00,63.57309354066638,
2022-03-10 12:00:00,26.371665840037622,
2022-03-10 13:30:00,31.97298470250098,
2022-03-10 15:00:00,1.3829533647594872,
2022-03-10 15:30:30,1.3829533647594872,
2022-03-10 23:59:59,-2.4250047971672757,c
2022-03-11 00:00:00,40.854793355269976,
2022-03-11 10:00:00,-22.364237538786256,
2022-03-11 10:30:00,-9.304575512528572,
2022-03-11 12:00:00,16.59824185923617,
2022-03-11 13:30:00,-18.896154503004254,
