date,SP1500_GV_HEDGED_2020_Q4,meta
2020-10-30 00:00:00,-53.45784896850353,
2020-10-30 10:00:00,-41.17926416766875,
2020-10-30 10:30:00,-52.54121647158729,
2020-10-30 12:00:00,-58.66125562721345,
2020-10-30 13:30:00,-54.08397169651391,
2020-10-30 15:00:00,-51.33226549662925,
2020-10-30 15:30:30,-51.33226549662925,
2020-10-30 23:59:59,-45.0570182371963,w
2020-11-02 00:00:00,-51.0475033211394,
2020-11-02 10:00:00,-48.05765360842349,
2020-11-02 10:30:00,-46.01122132423677,
2020-11-02 12:00:00,-45.20523862327502,
2020-11-02 13:30:00,-53.31944375995511,
2020-11-02 15:00:00,-48.65708005957026,
2020-11-02 15:30:30,-48.65708005957026,
2020-11-02 23:59:59,-45.42078366581768,c
2020-11-03 00:00:00,-31.019597619372462,
2020-11-03 10:00:00,-33.27402819794145,
2020-11-03 10:30:00,-30.297417702982898,
2020-11-03 12:00:00,-31.292721559885308,
2020-11-03 13:30:00,-38.12767480215234,
2020-11-03 15:00:00,-40.338610820329336,
2020-11-03 15:30:30,-40.338610820329336,
2020-11-03 23:59:59,-41.08671551338375,c
2020-11-04 00:00:00,-31.208580309034346,
2020-11-04 10:00:00,-44.07579936351533,
2020-11-04 10:30:00,-29.720517216580788,
2020-11-04 12:00:00,-27.252766636335423,
2020-11-04 13:30:00,-26.443234665975297,
2020-11-04 15:00:00,-32.780107582057894,
2020-11-04 15:30:30,-32.780107582057894,
2020-11-04 23:59:59,-39.27705317544974,c
2020-11-05 00:00:00,-21.453756190830745,
2020-11-05 10:00:00,-15.699920106904301,
2020-11-05 10:30:00,-8.308122496603687,
2020-11-05 12:00:00,-2.425475433110819,
2020-11-05 13:30:00,-5.3260771201270245,
2020-11-05 15:00:00,-3.3074670725141004,
2020-11-05 15:30:30,-3.3074670725141004,
2020-11-05 23:59:59,-8.703318101716036,c
2020-11-06 00:00:00,-1.914001896284958,
2020-11-06 10:00:00,-9.107788138344176,
2020-11-06 10:30:00,-2.2395738306809108,
2020-11-06 12:00:00,-9.76965198883488,
2020-11-06 13:30:00,-11.680139693605383,
2020-11-06 15:00:00,-12.368463123337051,
2020-11-06 15:30:30,-12.368463123337051,
2020-11-06 23:59:59,-11.18223976726199,w
2020-11-09 00:00:00,-11.204069977418271,
2020-11-09 10:00:00,-23.97399097305879,
2020-11-09 10:30:00,-22.383763103012257,
2020-11-09 12:00:00,-41.00502732512473,
2020-11-09 13:30:00,-35.32936535580825,
2020-11-09 15:00:00,-57.540730403365956,
2020-11-09 15:30:30,-57.540730403365956,f
2020-11-09 23:59:59,-69.82774730290623,c
2020-11-10 00:00:00,-80.02429966414832,
2020-11-10 10:00:00,-72.43993990159174,
2020-11-10 10:30:00,-71.16769145845967,
2020-11-10 12:00:00,-73.06359542956534,
2020-11-10 13:30:00,-83.25025137775037,
2020-11-10 15:00:00,-83.69076815200356,
2020-11-10 15:30:30,-83.69076815200356,
2020-11-10 23:59:59,-85.28006128780203,c
2020-11-11 00:00:00,-67.13828021257882,
2020-11-11 10:00:00,-59.60770939328836,
2020-11-11 10:30:00,-52.27516047549477,
2020-11-11 12:00:00,-43.27486013850762,
2020-11-11 13:30:00,-44.82649130144398,
2020-11-11 15:00:00,-44.472632393779236,
2020-11-11 15:30:30,-44.472632393779236,
2020-11-11 23:59:59,-40.90384002172459,c
2020-11-12 00:00:00,-36.675317133657245,
2020-11-12 10:00:00,-48.99455058605429,
2020-11-12 10:30:00,-45.82223518700357,
2020-11-12 12:00:00,-46.77837430857062,
2020-11-12 13:30:00,-55.77284132384318,
2020-11-12 15:00:00,-56.914896437612015,
2020-11-12 15:30:30,-56.914896437612015,
2020-11-12 23:59:59,-56.47048963533075,c
2020-11-13 00:00:00,-66.42957766387406,
2020-11-13 10:00:00,-44.34572618127709,
2020-11-13 10:30:00,-43.31374124614581,
2020-11-13 12:00:00,-50.34358008173058,
2020-11-13 13:30:00,-46.7044433279749,
2020-11-13 15:00:00,-43.225329885951055,
2020-11-13 15:30:30,-43.225329885951055,s
2020-11-13 23:59:59,-42.881306480222975,w
2020-11-16 00:00:00,-40.35708856334361,
2020-11-16 10:00:00,-42.38545489223202,
2020-11-16 10:30:00,-45.373017707464214,
2020-11-16 12:00:00,-33.88531133944093,
2020-11-16 13:30:00,-43.9015825292322,
2020-11-16 15:00:00,-38.75485666904456,
2020-11-16 15:30:30,-38.75485666904456,
2020-11-16 23:59:59,-36.52759848314008,c
2020-11-17 00:00:00,-36.17425043895105,
2020-11-17 10:00:00,-34.87210917733216,
2020-11-17 10:30:00,-33.23137755815799,
2020-11-17 12:00:00,-22.57770219921838,
2020-11-17 13:30:00,-17.898968708798634,
2020-11-17 15:00:00,-14.571863869986487,
2020-11-17 15:30:30,-14.571863869986487,
2020-11-17 23:59:59,-17.50769756233501,c
2020-11-18 00:00:00,-11.307675060599536,
2020-11-18 10:00:00,-18.330266275497138,
2020-11-18 10:30:00,-14.322699317846286,
2020-11-18 12:00:00,-12.595195424743793,
2020-11-18 13:30:00,-15.738944512514308,
2020-11-18 15:00:00,-19.933500162290102,
2020-11-18 15:30:30,-19.933500162290102,
2020-11-18 23:59:59,-32.965769571600276,c
