date,WCLD_2022_Q1,meta
2022-01-28 00:00:00,75.53514676342957,
2022-01-28 10:00:00,55.10538669874427,
2022-01-28 10:30:00,49.61289115713407,
2022-01-28 12:00:00,46.76516633612482,
2022-01-28 13:30:00,41.10038522152081,
2022-01-28 15:00:00,29.643272818129162,
2022-01-28 15:30:30,29.643272818129162,
2022-01-28 23:59:59,15.963014474105648,w
2022-01-31 00:00:00,27.892713569527814,
2022-01-31 10:00:00,3.9945238724365026,
2022-01-31 10:30:00,-24.44799517379397,
2022-01-31 12:00:00,-40.86083192548085,
2022-01-31 13:30:00,-76.4749717648458,
2022-01-31 15:00:00,-89.1601054051664,
2022-01-31 15:30:30,-89.1601054051664,s
2022-01-31 23:59:59,35.90631266579271,c
2022-02-01 00:00:00,-12.757876142584792,
2022-02-01 10:00:00,-4.111740254476217,
2022-02-01 10:30:00,-29.63503259232266,
2022-02-01 12:00:00,6.043856221028818,
2022-02-01 13:30:00,22.408681495649034,
2022-02-01 15:00:00,9.354373715719248,
2022-02-01 15:30:30,9.354373715719248,
2022-02-01 23:59:59,6.478725326668382,c
2022-02-02 00:00:00,20.46753562986305,
2022-02-02 10:00:00,10.160676384242379,
2022-02-02 10:30:00,2.4454647218663013,
2022-02-02 12:00:00,28.683670927829326,
2022-02-02 13:30:00,29.526562130216917,
2022-02-02 15:00:00,14.880206869535414,
2022-02-02 15:30:30,14.880206869535414,
2022-02-02 23:59:59,35.97524807638865,c
2022-02-03 00:00:00,30.569740837685003,
2022-02-03 10:00:00,47.812823232288565,
2022-02-03 10:30:00,42.47543381524906,
2022-02-03 12:00:00,38.349169264907914,
2022-02-03 13:30:00,45.94212154992283,
2022-02-03 15:00:00,52.0973196586649,
2022-02-03 15:30:30,52.0973196586649,
2022-02-03 23:59:59,48.73489230785867,c
2022-02-04 00:00:00,51.88735021173966,
2022-02-04 10:00:00,71.00516149614418,
2022-02-04 10:30:00,65.91246479737788,
2022-02-04 12:00:00,49.54007972082968,
2022-02-04 13:30:00,33.77941434743343,
2022-02-04 15:00:00,29.255515670315845,
2022-02-04 15:30:30,29.255515670315845,
