date,AS_FTSE_EM_HK_SC_2023_Q1,meta
2023-01-06 00:00:00,-774.0084833427068,
2023-01-06 01:00:00,-765.9646031545013,
2023-01-06 02:30:00,-765.6638629974113,
2023-01-06 03:00:00,-795.1538382149761,
2023-01-06 18:30:00,-795.1538382149761,
2023-01-06 20:00:00,-795.1538382149761,
2023-01-06 23:00:00,-795.1538382149761,
2023-01-06 23:59:59,-795.1914655649475,w
2023-01-09 00:00:00,-688.8295989321454,
2023-01-09 01:00:00,-571.6145766827768,
2023-01-09 02:30:00,-537.6107907896052,
2023-01-09 03:00:00,-584.6549639741974,
2023-01-09 18:30:00,-584.6549639741974,
2023-01-09 20:00:00,-584.6549639741974,
2023-01-09 23:00:00,-388.0119400283945,
2023-01-09 23:59:59,-388.027180777859,c
2023-01-10 00:00:00,-323.5185343823016,
2023-01-10 01:00:00,-372.538036952482,
2023-01-10 02:30:00,-378.3667666069455,
2023-01-10 03:00:00,-425.71410572505124,
2023-01-10 18:30:00,-425.71410572505124,
2023-01-10 20:00:00,-425.71410572505124,
2023-01-10 23:00:00,-593.5913078981155,
2023-01-10 23:59:59,-593.582488850244,c
2023-01-11 00:00:00,-605.4696926384756,
2023-01-11 01:00:00,-701.665787660638,
2023-01-11 02:30:00,-739.8182124097896,
2023-01-11 03:00:00,-767.8469568057071,
2023-01-11 18:30:00,-767.8469568057071,
2023-01-11 20:00:00,-767.8469568057071,
2023-01-11 23:00:00,-402.85228141102107,
2023-01-11 23:59:59,-402.8274435593817,c
2023-01-12 00:00:00,-481.50822691857036,
2023-01-12 01:00:00,-512.7663477607182,
2023-01-12 02:30:00,-542.3679312884004,
2023-01-12 03:00:00,-555.0863024314548,
2023-01-12 18:30:00,-555.0863024314548,
2023-01-12 20:00:00,-555.0863024314548,
2023-01-12 23:00:00,-512.1878852327843,
2023-01-12 23:59:59,-512.1848475660081,c
2023-01-13 00:00:00,-454.2827914988451,
2023-01-13 01:00:00,-523.2704456528811,
2023-01-13 02:30:00,-413.9750751328054,
2023-01-13 03:00:00,-408.1574728433098,
2023-01-13 18:30:00,-408.1574728433098,
2023-01-13 20:00:00,-408.1574728433098,
2023-01-13 23:00:00,-408.1574728433098,
2023-01-13 23:59:59,-408.1421238783235,w
2023-01-16 00:00:00,-324.0528979928766,
2023-01-16 01:00:00,-309.6356224842656,
2023-01-16 02:30:00,-369.9575853135841,
2023-01-16 03:00:00,-379.6857739826366,
2023-01-16 18:30:00,-379.6857739826366,
2023-01-16 20:00:00,-379.6857739826366,
2023-01-16 23:00:00,-489.2728341928775,
2023-01-16 23:59:59,-489.2683701194432,c
2023-01-17 00:00:00,-438.30564883232745,
2023-01-17 01:00:00,-435.6265216089007,
2023-01-17 02:30:00,-428.01871894364893,
2023-01-17 03:00:00,-431.3846903300524,
2023-01-17 18:30:00,-431.3846903300524,
2023-01-17 20:00:00,-431.3846903300524,
2023-01-17 23:00:00,-422.5903570544202,
2023-01-17 23:59:59,-422.4992583064097,c
2023-01-18 00:00:00,-448.29665073536006,
2023-01-18 01:00:00,-441.29215800846265,
2023-01-18 02:30:00,-468.6152138409016,
2023-01-18 03:00:00,-480.77169084784106,
2023-01-18 18:30:00,-480.77169084784106,
2023-01-18 20:00:00,-480.77169084784106,
2023-01-18 23:00:00,-452.89549618943954,
2023-01-18 23:59:59,-452.84508383674915,c
2023-01-19 00:00:00,-461.0533137886108,
2023-01-19 01:00:00,-409.0260036634947,
2023-01-19 02:30:00,-365.7514855616853,
2023-01-19 03:00:00,-355.4833842308183,
2023-01-19 18:30:00,-355.4833842308183,
2023-01-19 20:00:00,-355.4833842308183,
2023-01-19 23:00:00,-444.02379384361035,
2023-01-19 23:59:59,-443.9797881228165,c
2023-01-20 00:00:00,-429.3699543826592,
2023-01-20 01:00:00,-464.8536663011103,
2023-01-20 02:30:00,-505.66837486265405,
2023-01-20 03:00:00,-441.5820072297959,
