date,FBT_2022_Q2,meta
2022-04-19 13:30:00,-323.392832002665,
2022-04-19 15:00:00,-340.9499143495069,
2022-04-19 15:30:30,-340.9499143495069,
2022-04-19 23:59:59,-324.38289563722583,c
2022-04-20 00:00:00,-363.0691029627657,
2022-04-20 10:00:00,-367.2271343934462,
2022-04-20 10:30:00,-323.03578657387686,
2022-04-20 12:00:00,-335.51581409288787,
2022-04-20 13:30:00,-323.7370270377592,
2022-04-20 15:00:00,-348.2058501318109,
2022-04-20 15:30:30,-348.2058501318109,
2022-04-20 23:59:59,-382.85372354676093,c
2022-04-21 00:00:00,-310.3426413211963,
2022-04-21 10:00:00,-408.25925829719296,
2022-04-21 10:30:00,-391.6750060247425,
2022-04-21 12:00:00,-424.99822431849555,
2022-04-21 13:30:00,-424.57761307708665,
2022-04-21 15:00:00,-407.33754286942224,
2022-04-21 15:30:30,-407.33754286942224,
2022-04-21 23:59:59,-401.81312352353694,c
2022-04-22 00:00:00,-365.9024450269507,
2022-04-22 10:00:00,-384.1932392982565,
2022-04-22 10:30:00,-369.7426898251302,
2022-04-22 12:00:00,-374.6040865939832,
2022-04-22 13:30:00,-391.15289263428105,
2022-04-22 15:00:00,-371.82062216198415,
2022-04-22 15:30:30,-371.82062216198415,
2022-04-22 23:59:59,-364.2847417079554,w
2022-04-25 00:00:00,-350.77971195963414,
2022-04-25 10:00:00,-319.374286673868,
2022-04-25 10:30:00,-283.2778001102761,
2022-04-25 12:00:00,-320.1471947653222,
2022-04-25 13:30:00,-330.4512077460239,
2022-04-25 15:00:00,-342.46626807396643,
2022-04-25 15:30:30,-342.46626807396643,
2022-04-25 23:59:59,-335.69004366620015,c
2022-04-26 00:00:00,-323.25340201833546,
2022-04-26 10:00:00,-393.32699782762006,
2022-04-26 10:30:00,-389.46338852148926,
2022-04-26 12:00:00,-411.740525207117,
2022-04-26 13:30:00,-405.3735822124912,
2022-04-26 15:00:00,-417.37108814470906,
2022-04-26 15:30:30,-417.37108814470906,
2022-04-26 23:59:59,-408.4925290567775,c
2022-04-27 00:00:00,-437.5505984436058,
2022-04-27 10:00:00,-439.7919576696343,
2022-04-27 10:30:00,-435.3629526308624,
2022-04-27 12:00:00,-458.53649119865855,
2022-04-27 13:30:00,-462.3295679288614,
2022-04-27 15:00:00,-426.26956107807996,
2022-04-27 15:30:30,-426.26956107807996,
2022-04-27 23:59:59,-453.7890205571699,c
2022-04-28 00:00:00,-443.47287618980494,
2022-04-28 10:00:00,-429.5669480879118,
2022-04-28 10:30:00,-444.4811293803227,
2022-04-28 12:00:00,-434.4004113800256,
2022-04-28 13:30:00,-409.4196402515766,
2022-04-28 15:00:00,-427.0539976249828,
2022-04-28 15:30:30,-427.0539976249828,
2022-04-28 23:59:59,-417.6583845802868,c
