date,INTEL_SECT_2021_Q3,meta
2021-08-10 00:00:00,-220.40218956280467,
2021-08-10 10:00:00,-208.69724651044493,
2021-08-10 10:30:00,-204.4368868130069,
2021-08-10 12:00:00,-211.40765105571066,
2021-08-10 13:30:00,-214.60464312619453,
2021-08-10 15:00:00,-207.69710275794571,
2021-08-10 15:30:30,-207.69710275794571,
2021-08-10 23:59:59,-205.39869044878722,c
2021-08-11 00:00:00,-191.19899127359204,
2021-08-11 10:00:00,-191.11380646949587,
2021-08-11 10:30:00,-178.2984616621255,
2021-08-11 12:00:00,-185.63220086649434,
2021-08-11 13:30:00,-188.98675166322482,
2021-08-11 15:00:00,-184.50348674795657,
2021-08-11 15:30:30,-184.50348674795657,
2021-08-11 23:59:59,-182.13708808244454,c
2021-08-12 00:00:00,-162.47350690707188,
2021-08-12 10:00:00,-140.40989122911625,
2021-08-12 10:30:00,-132.61173917215987,
2021-08-12 12:00:00,-143.64465343707354,
2021-08-12 13:30:00,-146.7010243014203,
2021-08-12 15:00:00,-140.3951367875852,
2021-08-12 15:30:30,-140.3951367875852,
2021-08-12 23:59:59,-145.64851486983576,c
2021-08-13 00:00:00,-139.71643040453523,
2021-08-13 10:00:00,-135.00161974559933,
2021-08-13 10:30:00,-142.33115239658446,
2021-08-13 12:00:00,-120.97536906067744,
2021-08-13 13:30:00,-123.83466670763107,
2021-08-13 15:00:00,-131.1767576272882,
2021-08-13 15:30:30,-131.1767576272882,
2021-08-13 23:59:59,-128.51255347767386,w
2021-08-16 00:00:00,-134.70657337331744,
2021-08-16 10:00:00,-144.0240363884156,
2021-08-16 10:30:00,-136.60375796574093,
2021-08-16 12:00:00,-121.25778050094802,
2021-08-16 13:30:00,-116.6829246573833,
2021-08-16 15:00:00,-114.98526261642202,
2021-08-16 15:30:30,-114.98526261642202,
2021-08-16 23:59:59,-102.95095983662162,c
2021-08-17 00:00:00,-112.312606793542,
2021-08-17 10:00:00,-123.00473885961563,
2021-08-17 10:30:00,-130.53542772432544,
2021-08-17 12:00:00,-140.49105361700063,
2021-08-17 13:30:00,-145.84275817257395,
2021-08-17 15:00:00,-141.8715578721665,
2021-08-17 15:30:30,-141.8715578721665,
2021-08-17 23:59:59,-134.4587613428157,c
2021-08-18 00:00:00,-145.93734619947477,
2021-08-18 10:00:00,-131.7218974522237,
2021-08-18 10:30:00,-131.1510054494841,
2021-08-18 12:00:00,-116.84057764331402,
2021-08-18 13:30:00,-114.975426232721,
2021-08-18 15:00:00,-103.10209922079896,
2021-08-18 15:30:30,-103.10209922079896,
2021-08-18 23:59:59,-107.1067159430014,c
2021-08-19 00:00:00,-115.17731818867578,
2021-08-19 10:00:00,-106.70013106684276,
2021-08-19 10:30:00,-104.87103082814102,
2021-08-19 12:00:00,-108.81349656292798,
2021-08-19 13:30:00,-103.79923306807909,
2021-08-19 15:00:00,-96.77474911728982,
2021-08-19 15:30:30,-96.77474911728982,
2021-08-19 23:59:59,-85.98358448173967,c
2021-08-20 00:00:00,-78.59008830459011,
2021-08-20 10:00:00,-78.20721179942609,
2021-08-20 10:30:00,-77.00001535683266,
2021-08-20 12:00:00,-68.69977352124725,
2021-08-20 13:30:00,-71.3547422350496,
2021-08-20 15:00:00,-64.67595601309665,
2021-08-20 15:30:30,-64.67595601309665,s
2021-08-20 23:59:59,-66.80242797957875,w
2021-08-23 00:00:00,-74.38086787588533,
2021-08-23 10:00:00,-52.99424779560276,
2021-08-23 10:30:00,-50.100002079193416,
2021-08-23 12:00:00,-47.105896742164454,
2021-08-23 13:30:00,-37.29412105171278,
2021-08-23 15:00:00,-33.99979747996993,
2021-08-23 15:30:30,-33.99979747996993,
2021-08-23 23:59:59,-30.71699233406487,c
2021-08-24 00:00:00,-30.22684011343948,
2021-08-24 10:00:00,-11.380688262829336,
2021-08-24 10:30:00,-11.200978518856664,
2021-08-24 12:00:00,-4.854600106246846,
2021-08-24 13:30:00,-0.5007986320875721,
2021-08-24 15:00:00,-6.502550261994843,
2021-08-24 15:30:30,-6.502550261994843,
2021-08-24 23:59:59,0.0,a
2021-08-25 00:00:00,69.22458810196834,
2021-08-25 10:00:00,154.0515797341608,
2021-08-25 10:30:00,159.49809382451497,
2021-08-25 12:00:00,153.44201905731077,
2021-08-25 13:30:00,158.10352799953534,
2021-08-25 15:00:00,160.02988671861758,
2021-08-25 15:30:30,160.02988671861758,
2021-08-25 23:59:59,147.13402085368892,c
2021-08-26 00:00:00,137.44205500418033,
2021-08-26 10:00:00,155.11833946704454,
