date,EU_JETS_2022_Q4,meta
2022-11-04 00:00:00,627.7607055095787,
2022-11-04 03:30:00,627.7607055095787,
2022-11-04 04:00:00,627.7607055095787,
2022-11-04 06:00:00,649.9028790709326,
2022-11-04 08:00:00,608.0591646060602,
2022-11-04 10:30:00,485.4892216797407,
2022-11-04 11:00:00,481.5824524299378,
2022-11-04 23:59:59,636.3801716959133,w
2022-11-07 00:00:00,658.2683474906626,
2022-11-07 03:30:00,567.7748831559684,
2022-11-07 04:00:00,516.7296019855839,
2022-11-07 06:00:00,542.1104171583647,
2022-11-07 08:00:00,530.3606270271302,
2022-11-07 10:30:00,504.99321952905666,
2022-11-07 11:00:00,502.6327265994041,
2022-11-07 23:59:59,590.5480898873739,c
2022-11-08 00:00:00,622.260523778813,
2022-11-08 03:30:00,614.6507696401713,
2022-11-08 04:00:00,601.8562486268156,
2022-11-08 06:00:00,554.525968246845,
2022-11-08 08:00:00,552.1373415938951,
2022-11-08 10:30:00,482.4015414316136,
2022-11-08 11:00:00,480.82371259812135,
2022-11-08 23:59:59,516.7252264365079,c
2022-11-09 00:00:00,551.9229561330058,
2022-11-09 03:30:00,551.6493082647712,
2022-11-09 04:00:00,524.6265578126677,
2022-11-09 06:00:00,577.4918711388182,
2022-11-09 08:00:00,545.5372810125009,
2022-11-09 10:30:00,533.8174531514351,
2022-11-09 11:00:00,543.1653382210407,
2022-11-09 23:59:59,485.7875632230871,c
2022-11-10 00:00:00,523.3994018646808,
2022-11-10 03:30:00,478.79298022817966,
2022-11-10 04:00:00,477.197107614792,
2022-11-10 06:00:00,533.860142567798,
2022-11-10 08:00:00,496.83984941327344,
2022-11-10 10:30:00,125.75665113032755,
2022-11-10 11:00:00,118.9726019264217,
2022-11-10 23:59:59,286.16662915929555,c
2022-11-11 00:00:00,250.7764067098051,
2022-11-11 03:30:00,180.59816739213693,
2022-11-11 04:00:00,204.24725261106232,
2022-11-11 06:00:00,149.1079782187171,
2022-11-11 08:00:00,120.98111719000462,
2022-11-11 10:30:00,118.91572858752261,
2022-11-11 11:00:00,85.84614958269958,
2022-11-11 23:59:59,129.573463112838,w
2022-11-14 00:00:00,163.89005673195516,
2022-11-14 03:30:00,114.14345883553233,
2022-11-14 04:00:00,127.96380717300417,
2022-11-14 06:00:00,159.24892012489727,
2022-11-14 08:00:00,109.93166921304692,
2022-11-14 10:30:00,81.23047435603166,
2022-11-14 11:00:00,83.78675438080063,
2022-11-14 23:59:59,59.05769873661029,c
2022-11-15 00:00:00,77.45109837287873,
2022-11-15 03:30:00,69.85616620925339,
2022-11-15 04:00:00,87.15485971839371,
2022-11-15 06:00:00,68.75955988305031,
2022-11-15 08:00:00,56.420442442802596,
2022-11-15 10:30:00,3.640621366119376,
2022-11-15 11:00:00,63.60522256453169,
2022-11-15 23:59:59,65.20836552894161,c
2022-11-16 00:00:00,2.8147825146797913,
2022-11-16 03:30:00,62.726936599656256,
2022-11-16 04:00:00,164.3528428363179,
2022-11-16 06:00:00,161.2627538773504,
2022-11-16 08:00:00,224.60470254965367,
2022-11-16 10:30:00,266.5866373509816,
2022-11-16 11:00:00,313.3512001047038,
2022-11-16 23:59:59,274.16081753617436,c
2022-11-17 00:00:00,256.4373353692863,
2022-11-17 03:30:00,237.70305260544956,
2022-11-17 04:00:00,204.72139218414213,
2022-11-17 06:00:00,296.43247061422426,
2022-11-17 08:00:00,292.2469311466284,
2022-11-17 10:30:00,326.4491995287817,
2022-11-17 11:00:00,347.01829627215193,
2022-11-17 23:59:59,240.14722330429322,c
2022-11-18 00:00:00,185.71001501239607,
2022-11-18 03:30:00,294.3164602837214,
2022-11-18 04:00:00,288.56942446881294,
2022-11-18 06:00:00,236.26982810784375,
2022-11-18 08:00:00,238.56109788650974,
2022-11-18 10:30:00,221.24964969892062,
2022-11-18 11:00:00,215.14343617638497,
2022-11-18 23:59:59,194.58282814750692,w
2022-11-21 00:00:00,196.5555501307208,
2022-11-21 03:30:00,271.77765046259356,
2022-11-21 04:00:00,265.4618748062112,
2022-11-21 06:00:00,258.1972746442798,
2022-11-21 08:00:00,221.83231624049586,
2022-11-21 10:30:00,140.0739438608607,
2022-11-21 11:00:00,136.76787261920344,
2022-11-21 23:59:59,97.84646244096712,c
2022-11-22 00:00:00,112.96866831627267,
2022-11-22 03:30:00,129.97574428902408,
2022-11-22 04:00:00,108.93787424776656,
2022-11-22 06:00:00,106.07598474520364,
2022-11-22 08:00:00,126.10993092060653,
2022-11-22 10:30:00,78.76110311988577,
2022-11-22 11:00:00,73.44428441892978,
2022-11-22 23:59:59,128.64080369450312,c
2022-11-23 00:00:00,101.10091214083513,
2022-11-23 03:30:00,109.9016111151841,
2022-11-23 04:00:00,122.56329393404667,
2022-11-23 06:00:00,150.20210080930065,
2022-11-23 08:00:00,127.3509485609793,
2022-11-23 10:30:00,67.5665120276808,
2022-11-23 11:00:00,42.480175034387685,
2022-11-23 23:59:59,81.3480347045961,c
2022-11-24 00:00:00,64.43258807754592,
2022-11-24 03:30:00,42.499364237708505,
2022-11-24 04:00:00,40.82036787322795,
2022-11-24 06:00:00,15.930970171780245,
2022-11-24 08:00:00,23.50261874077296,
2022-11-24 10:30:00,9.786912997424224,
2022-11-24 11:00:00,-3.3080212174545522,
