date,Q_ILLIQ_HEDGED_2021_Q3,meta
2021-07-30 00:00:00,-363.237175517727,
2021-07-30 10:00:00,-365.53343544702625,
2021-07-30 10:30:00,-356.34007695405626,
2021-07-30 12:00:00,-355.38539337485366,
2021-07-30 13:30:00,-357.5477396495028,
2021-07-30 15:00:00,-359.7014273681566,
2021-07-30 15:30:30,-359.7014273681566,
2021-07-30 23:59:59,-361.8737973103572,w
2021-08-02 00:00:00,-356.1268643343479,
2021-08-02 10:00:00,-361.4666838364227,
2021-08-02 10:30:00,-358.5909144944661,
2021-08-02 12:00:00,-350.7888812956772,
2021-08-02 13:30:00,-344.6721246735385,
2021-08-02 15:00:00,-340.9628904205858,
2021-08-02 15:30:30,-340.9628904205858,
2021-08-02 23:59:59,-341.330476151375,c
2021-08-03 00:00:00,-334.4738150198093,
2021-08-03 10:00:00,-345.2209306415295,
2021-08-03 10:30:00,-352.18865914163746,
2021-08-03 12:00:00,-356.9803340143873,
2021-08-03 13:30:00,-359.8882800280532,
2021-08-03 15:00:00,-357.396899342829,
2021-08-03 15:30:30,-357.396899342829,
2021-08-03 23:59:59,-359.1994971281448,c
2021-08-04 00:00:00,-356.5333472531555,
2021-08-04 10:00:00,-350.9437053559087,
2021-08-04 10:30:00,-357.99173907451825,
2021-08-04 12:00:00,-355.005197216096,
2021-08-04 13:30:00,-353.3167861111898,
2021-08-04 15:00:00,-353.00074296244964,
2021-08-04 15:30:30,-353.00074296244964,
2021-08-04 23:59:59,-350.642484685937,c
2021-08-05 00:00:00,-339.5170743884714,
2021-08-05 10:00:00,-352.76144142905827,
2021-08-05 10:30:00,-351.896884259785,
2021-08-05 12:00:00,-354.99295020880504,
2021-08-05 13:30:00,-347.79786045444615,
2021-08-05 15:00:00,-342.54483288300077,
2021-08-05 15:30:30,-342.54483288300077,
2021-08-05 23:59:59,-344.6254022463492,c
2021-08-06 00:00:00,-346.9132747261778,
2021-08-06 10:00:00,-368.00080895353864,
2021-08-06 10:30:00,-371.65975445454876,
2021-08-06 12:00:00,-370.065510646068,
