date,FVD_2021_Aug,meta
2021-08-30 13:30:00,-58.53981512639571,
2021-08-30 15:00:00,-51.52110838164252,
2021-08-30 15:30:30,-51.52110838164252,
2021-08-30 23:59:59,-51.49231633065129,c
2021-08-31 00:00:00,-44.66349431389749,
2021-08-31 10:00:00,-41.43505854870908,
2021-08-31 10:30:00,-37.55150765773543,
2021-08-31 12:00:00,-26.481643870612714,
2021-08-31 13:30:00,-25.14128811580275,
2021-08-31 15:00:00,-21.647450332918453,
2021-08-31 15:30:30,-21.647450332918453,m
2021-08-31 23:59:59,-16.370647892597987,c
2021-09-01 00:00:00,-10.48896537531759,
2021-09-01 10:00:00,16.7878028259978,
2021-09-01 10:30:00,17.694945884779017,
2021-09-01 12:00:00,8.752200144866151,
2021-09-01 13:30:00,12.903267406192725,
2021-09-01 15:00:00,18.652828269864585,
2021-09-01 15:30:30,18.652828269864585,
2021-09-01 23:59:59,12.762586386261148,c
2021-09-02 00:00:00,26.881368635603394,
2021-09-02 10:00:00,16.593988817127993,
2021-09-02 10:30:00,18.589924842662043,
2021-09-02 12:00:00,15.146156262863087,
2021-09-02 13:30:00,28.651355842556725,
2021-09-02 15:00:00,30.119458224774704,
2021-09-02 15:30:30,30.119458224774704,
2021-09-02 23:59:59,25.02723878390954,c
2021-09-03 00:00:00,19.279610734037163,
2021-09-03 10:00:00,29.687521637407926,
2021-09-03 10:30:00,30.08059077719085,
2021-09-03 12:00:00,42.736114875847605,
2021-09-03 13:30:00,41.3869855992101,
2021-09-03 15:00:00,38.94484318733827,
2021-09-03 15:30:30,38.94484318733827,
2021-09-03 23:59:59,35.572288130157325,w
2021-09-06 00:00:00,35.572288130157325,
2021-09-06 10:00:00,35.572288130157325,
2021-09-06 10:30:00,35.572288130157325,
2021-09-06 12:00:00,35.572288130157325,
2021-09-06 13:30:00,35.572288130157325,
2021-09-06 15:00:00,35.572288130157325,
2021-09-06 15:30:30,35.572288130157325,
2021-09-06 23:59:59,35.572288130157325,c
2021-09-07 00:00:00,22.52515211701352,
2021-09-07 10:00:00,9.776572364326597,
2021-09-07 10:30:00,7.341227225474498,
2021-09-07 12:00:00,21.408901902519872,
2021-09-07 13:30:00,25.278224831465536,
2021-09-07 15:00:00,22.127062025472455,
2021-09-07 15:30:30,22.127062025472455,
2021-09-07 23:59:59,24.228145908386182,c
2021-09-08 00:00:00,22.45911047256577,
2021-09-08 10:00:00,23.342086805998704,
2021-09-08 10:30:00,29.065911184228057,
2021-09-08 12:00:00,40.09177815077414,
2021-09-08 13:30:00,30.88074444523518,
2021-09-08 15:00:00,36.36213033738056,
2021-09-08 15:30:30,36.36213033738056,
2021-09-08 23:59:59,34.91061410287877,c
