date,MTECH_2021_Q2,meta
2021-06-11 13:30:00,0.22663392788172132,
2021-06-11 15:00:00,-3.167352703633469,
2021-06-11 15:30:30,-3.167352703633469,
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,10.483897675605704,
2021-06-14 10:00:00,31.382815911351145,
2021-06-14 10:30:00,34.35337366986414,
2021-06-14 12:00:00,47.03863749071206,
2021-06-14 13:30:00,57.21289892485106,
2021-06-14 15:00:00,55.413385215988455,
2021-06-14 15:30:30,55.413385215988455,
2021-06-14 23:59:59,47.635689097531895,c
2021-06-15 00:00:00,46.434939375079466,
2021-06-15 10:00:00,65.60068737821598,
2021-06-15 10:30:00,39.785421290138174,
2021-06-15 12:00:00,41.88161594211965,
2021-06-15 13:30:00,42.692224269992494,
2021-06-15 15:00:00,34.782644512412844,
2021-06-15 15:30:30,34.782644512412844,
2021-06-15 23:59:59,34.801271460814405,c
2021-06-16 00:00:00,52.528225756904476,
2021-06-16 10:00:00,81.87060745552594,
2021-06-16 10:30:00,79.27054675785848,
2021-06-16 12:00:00,83.57819488843802,
2021-06-16 13:30:00,77.63420587629616,
2021-06-16 15:00:00,78.83267354702616,
2021-06-16 15:30:30,78.83267354702616,
2021-06-16 23:59:59,94.06509003849305,c
2021-06-17 00:00:00,88.53820393969454,
2021-06-17 10:00:00,131.34782456750054,
2021-06-17 10:30:00,142.9608807062025,
2021-06-17 12:00:00,146.2466710942599,
2021-06-17 13:30:00,148.52943430399296,
2021-06-17 15:00:00,153.38950390319815,
2021-06-17 15:30:30,153.38950390319815,
2021-06-17 23:59:59,149.86615926888908,c
2021-06-18 00:00:00,142.50748539588562,
2021-06-18 10:00:00,173.15922532497893,
2021-06-18 10:30:00,171.2164202862125,
2021-06-18 12:00:00,180.1842195382619,
2021-06-18 13:30:00,188.24286891759425,
2021-06-18 15:00:00,172.59936266892078,
2021-06-18 15:30:30,172.59936266892078,
2021-06-18 23:59:59,177.81291166002325,e
2021-06-21 00:00:00,153.45429340054147,
2021-06-21 10:00:00,144.77152477511254,
2021-06-21 10:30:00,114.91899991004902,
2021-06-21 12:00:00,124.56983806604694,
2021-06-21 13:30:00,133.34200461235218,
2021-06-21 15:00:00,126.59844150759022,
2021-06-21 15:30:30,126.59844150759022,
2021-06-21 23:59:59,126.6533573781553,c
2021-06-22 00:00:00,120.29107678764444,
2021-06-22 10:00:00,122.90443825254602,
2021-06-22 10:30:00,127.09096758000555,
2021-06-22 12:00:00,139.30943210603596,
2021-06-22 13:30:00,126.48755899022353,
2021-06-22 15:00:00,126.51355934878484,
2021-06-22 15:30:30,126.51355934878484,
2021-06-22 23:59:59,126.2668593134863,c
2021-06-23 00:00:00,122.72844220782144,
2021-06-23 10:00:00,148.04027637718536,
2021-06-23 10:30:00,155.24878049027166,
2021-06-23 12:00:00,157.75941206791936,
2021-06-23 13:30:00,155.6025907187434,
2021-06-23 15:00:00,163.69607920023896,
2021-06-23 15:30:30,163.69607920023896,
2021-06-23 23:59:59,175.5149275288286,c
2021-06-24 00:00:00,180.61285779124796,
2021-06-24 10:00:00,195.14436745626972,
2021-06-24 10:30:00,194.43742321720447,
2021-06-24 12:00:00,207.48340554504853,
2021-06-24 13:30:00,199.68472963921863,
2021-06-24 15:00:00,195.91598723803304,
2021-06-24 15:30:30,195.91598723803304,
2021-06-24 23:59:59,188.94395975993848,c
2021-06-25 00:00:00,195.04259234663164,
2021-06-25 10:00:00,186.1319791417543,
2021-06-25 10:30:00,190.27678212144338,
2021-06-25 12:00:00,183.0679949931407,
2021-06-25 13:30:00,198.07548055032908,
2021-06-25 15:00:00,201.9838357408603,
2021-06-25 15:30:30,201.9838357408603,
2021-06-25 23:59:59,193.6771608668414,w
2021-06-28 00:00:00,214.5183632530211,
2021-06-28 10:00:00,223.67933992979806,
2021-06-28 10:30:00,237.89621239802977,
2021-06-28 12:00:00,237.453712273282,
2021-06-28 13:30:00,239.53390601410365,
2021-06-28 15:00:00,236.88332813390957,
2021-06-28 15:30:30,236.88332813390957,
2021-06-28 23:59:59,234.30834825172133,c
2021-06-29 00:00:00,235.74786357187918,
2021-06-29 10:00:00,234.91590811217247,
2021-06-29 10:30:00,230.4123563667183,
