date,AMLP_2021_Q2,meta
2021-06-11 13:30:00,21.365392580557454,
2021-06-11 15:00:00,9.240020549480278,
2021-06-11 15:30:30,9.240020549480278,
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,-42.19483942850502,
2021-06-14 10:00:00,7.505748119276859,
2021-06-14 10:30:00,4.612126236979066,
2021-06-14 12:00:00,-10.083266746472418,
2021-06-14 13:30:00,12.45351756143532,
2021-06-14 15:00:00,25.038128815038817,
2021-06-14 15:30:30,25.038128815038817,
2021-06-14 23:59:59,21.32000880015562,c
2021-06-15 00:00:00,2.2319437574853964,
2021-06-15 10:00:00,29.902365431719772,
2021-06-15 10:30:00,57.03757541328014,
2021-06-15 12:00:00,101.19207366393039,
2021-06-15 13:30:00,60.53021474291518,
2021-06-15 15:00:00,45.056531647383736,
2021-06-15 15:30:30,45.056531647383736,
2021-06-15 23:59:59,33.952329594409775,c
2021-06-16 00:00:00,41.6090271554699,
2021-06-16 10:00:00,62.286331384699224,
2021-06-16 10:30:00,53.38803693934392,
2021-06-16 12:00:00,68.18037311718126,
2021-06-16 13:30:00,89.83965303567766,
2021-06-16 15:00:00,89.06933827433522,
2021-06-16 15:30:30,89.06933827433522,
2021-06-16 23:59:59,38.795827768267145,c
2021-06-17 00:00:00,39.109736020714536,
2021-06-17 10:00:00,57.35446485897205,
2021-06-17 10:30:00,63.42618882918964,
2021-06-17 12:00:00,117.35168811516996,
2021-06-17 13:30:00,150.41829987958408,
2021-06-17 15:00:00,170.23069257041357,
2021-06-17 15:30:30,170.23069257041357,
2021-06-17 23:59:59,149.58420864382606,c
2021-06-18 00:00:00,194.112334294304,
2021-06-18 10:00:00,202.55853020482004,
2021-06-18 10:30:00,213.57278286599785,
2021-06-18 12:00:00,152.389039637603,
2021-06-18 13:30:00,171.9214962521296,
2021-06-18 15:00:00,187.1560678930132,
2021-06-18 15:30:30,187.1560678930132,
2021-06-18 23:59:59,133.94757891263157,e
2021-06-21 00:00:00,121.05782024698988,
2021-06-21 10:00:00,74.90141638641785,
2021-06-21 10:30:00,51.89194561625504,
2021-06-21 12:00:00,85.6383510391172,
2021-06-21 13:30:00,74.20807668945213,
2021-06-21 15:00:00,25.55783123568426,
2021-06-21 15:30:30,25.55783123568426,
2021-06-21 23:59:59,9.941429811055059,c
2021-06-22 00:00:00,19.959154931380226,
2021-06-22 10:00:00,28.393699421078054,
2021-06-22 10:30:00,44.08628562854551,
2021-06-22 12:00:00,50.051077974433156,
2021-06-22 13:30:00,36.39211423668121,
2021-06-22 15:00:00,30.680959029675705,
2021-06-22 15:30:30,30.680959029675705,
2021-06-22 23:59:59,14.922160007351295,c
2021-06-23 00:00:00,12.34775953763824,
2021-06-23 10:00:00,-17.15188071439684,
2021-06-23 10:30:00,-3.1585712148912535,
2021-06-23 12:00:00,16.362761544829482,
2021-06-23 13:30:00,14.386614876403428,
2021-06-23 15:00:00,27.522121589513063,
2021-06-23 15:30:30,27.522121589513063,
2021-06-23 23:59:59,53.52354932595381,c
2021-06-24 00:00:00,49.4685416651389,
2021-06-24 10:00:00,49.126383353549954,
2021-06-24 10:30:00,31.363272966179238,
2021-06-24 12:00:00,35.39860054680776,
2021-06-24 13:30:00,39.257735918248954,
2021-06-24 15:00:00,18.655617870181686,
2021-06-24 15:30:30,18.655617870181686,
2021-06-24 23:59:59,26.434253959586158,c
2021-06-25 00:00:00,33.5349459026952,
2021-06-25 10:00:00,42.0301414622802,
2021-06-25 10:30:00,51.10883997711153,
2021-06-25 12:00:00,56.3752435157046,
2021-06-25 13:30:00,65.08910067080933,
2021-06-25 15:00:00,50.92175838558592,
2021-06-25 15:30:30,50.92175838558592,
2021-06-25 23:59:59,84.12091725216715,w
2021-06-28 00:00:00,102.04205986770125,
2021-06-28 10:00:00,101.43135890781309,
2021-06-28 10:30:00,127.40861027192727,
2021-06-28 12:00:00,89.15377861052752,
2021-06-28 13:30:00,64.21943946947272,
2021-06-28 15:00:00,77.53869541996073,
2021-06-28 15:30:30,77.53869541996073,
2021-06-28 23:59:59,74.5486208019422,c
2021-06-29 00:00:00,83.95005562307529,
2021-06-29 10:00:00,42.45701664103922,
2021-06-29 10:30:00,50.28741927332453,
2021-06-29 12:00:00,59.384852859287776,
2021-06-29 13:30:00,28.37106797646652,
2021-06-29 15:00:00,43.248905225002545,
2021-06-29 15:30:30,43.248905225002545,
2021-06-29 23:59:59,45.49696648792269,c
2021-06-30 00:00:00,43.04164670589989,
2021-06-30 10:00:00,32.52237337649217,
2021-06-30 10:30:00,28.732086389887172,
2021-06-30 12:00:00,62.28791498379587,
2021-06-30 13:30:00,73.65059562266401,
2021-06-30 15:00:00,73.33684164246392,
2021-06-30 15:30:30,73.33684164246392,
2021-06-30 23:59:59,74.15353432416623,c
2021-07-01 00:00:00,68.6421871770799,
2021-07-01 10:00:00,49.74433002039291,
2021-07-01 10:30:00,59.444625852369654,
2021-07-01 12:00:00,52.03468621560046,
2021-07-01 13:30:00,52.43480529501721,
2021-07-01 15:00:00,54.00989523165549,
2021-07-01 15:30:30,54.00989523165549,
2021-07-01 23:59:59,43.18919263170801,c
