date,AS_MSCI_FACTOR_2022_Q4,meta
2022-10-14 00:00:00,109.51591811966136,
2022-10-14 01:00:00,109.06934050447694,
2022-10-14 02:30:00,119.18761989727454,
2022-10-14 03:00:00,121.08832554662627,
2022-10-14 18:30:00,121.08832554662627,
2022-10-14 20:00:00,121.08832554662627,
2022-10-14 23:00:00,121.08832554662627,
2022-10-14 23:59:59,133.22474507069114,w
2022-10-17 00:00:00,108.49252279960979,
2022-10-17 01:00:00,100.56769391954731,
2022-10-17 02:30:00,105.57180823714293,
2022-10-17 03:00:00,111.53832529822625,
2022-10-17 18:30:00,111.53832529822625,
2022-10-17 20:00:00,123.0264279859282,
2022-10-17 23:00:00,143.64772579888108,
2022-10-17 23:59:59,129.11084534988322,c
2022-10-18 00:00:00,111.17288500263612,
2022-10-18 01:00:00,88.74859020640997,
2022-10-18 02:30:00,79.36217782854965,
2022-10-18 03:00:00,79.16053081480163,
2022-10-18 18:30:00,79.16053081480163,
2022-10-18 20:00:00,77.84868301605229,
2022-10-18 23:00:00,29.558282724678747,
2022-10-18 23:59:59,48.37461240173093,c
2022-10-19 00:00:00,56.77504051477558,
2022-10-19 01:00:00,67.78341060572961,
2022-10-19 02:30:00,76.15465660474138,
2022-10-19 03:00:00,77.56044776923045,
2022-10-19 18:30:00,77.56044776923045,
2022-10-19 20:00:00,90.07767735552784,
2022-10-19 23:00:00,112.07244878752795,
2022-10-19 23:59:59,126.22165607093939,c
2022-10-20 00:00:00,138.70949246310397,
2022-10-20 01:00:00,139.63471732879998,
2022-10-20 02:30:00,130.9608110897932,
2022-10-20 03:00:00,130.7361169517569,
2022-10-20 18:30:00,130.7361169517569,
2022-10-20 20:00:00,133.01475554207673,
2022-10-20 23:00:00,122.38616549503195,
2022-10-20 23:59:59,138.00554573798559,c
2022-10-21 00:00:00,138.31043667477593,
2022-10-21 01:00:00,144.55032104334737,
2022-10-21 02:30:00,153.08246682520166,
2022-10-21 03:00:00,154.2677482808415,
2022-10-21 18:30:00,154.2677482808415,
2022-10-21 20:00:00,154.2677482808415,
2022-10-21 23:00:00,154.2677482808415,
2022-10-21 23:59:59,156.13798356370626,w
2022-10-24 00:00:00,221.17169282197278,
2022-10-24 01:00:00,218.82261494890554,
2022-10-24 02:30:00,223.2290394764666,
2022-10-24 03:00:00,228.56030554508675,
2022-10-24 18:30:00,228.56030554508675,
2022-10-24 20:00:00,216.24848075549153,
2022-10-24 23:00:00,244.4177194798192,
2022-10-24 23:59:59,221.7231385660068,c
2022-10-25 00:00:00,235.13465373914096,
2022-10-25 01:00:00,247.9722380346891,
2022-10-25 02:30:00,237.43827566027426,
2022-10-25 03:00:00,236.7717654034568,
2022-10-25 18:30:00,236.7717654034568,
2022-10-25 20:00:00,236.3047770279868,
2022-10-25 23:00:00,189.8179026661462,
2022-10-25 23:59:59,185.54315628903373,c
2022-10-26 00:00:00,193.22148050960323,
2022-10-26 01:00:00,199.71747864409303,
2022-10-26 02:30:00,194.97703594314976,
2022-10-26 03:00:00,196.38501752539105,
2022-10-26 18:30:00,196.38501752539105,
2022-10-26 20:00:00,185.46577748400205,
2022-10-26 23:00:00,195.20179528590688,
2022-10-26 23:59:59,218.07387817725203,c
2022-10-27 00:00:00,209.21175241782908,
2022-10-27 01:00:00,214.27427508917117,
2022-10-27 02:30:00,230.3238130745424,
2022-10-27 03:00:00,232.2316424298972,
2022-10-27 18:30:00,232.2316424298972,
2022-10-27 20:00:00,262.4916503776194,
2022-10-27 23:00:00,292.2993516631673,
2022-10-27 23:59:59,287.85264717541804,c
2022-10-28 00:00:00,300.47064118651974,
2022-10-28 01:00:00,295.60408392265003,
2022-10-28 02:30:00,313.10473569281544,
2022-10-28 03:00:00,315.4845155437549,
2022-10-28 18:30:00,315.4845155437549,
2022-10-28 20:00:00,315.4845155437549,
2022-10-28 23:00:00,315.4845155437549,
2022-10-28 23:59:59,318.410343267235,w
2022-10-31 00:00:00,287.78707026469465,
2022-10-31 01:00:00,295.5881085652045,
2022-10-31 02:30:00,297.11516683320133,
2022-10-31 03:00:00,299.73638800734534,
2022-10-31 18:30:00,299.73638800734534,
2022-10-31 20:00:00,309.75493322632906,
2022-10-31 23:00:00,238.76442662038698,
2022-10-31 23:59:59,251.8466239515128,c
2022-11-01 00:00:00,228.34268518013005,
2022-11-01 01:00:00,212.99445311967997,
2022-11-01 02:30:00,203.99276550663603,
2022-11-01 03:00:00,202.5753916217309,
2022-11-01 18:30:00,202.5753916217309,
2022-11-01 20:00:00,215.64073390647104,
2022-11-01 23:00:00,176.15367125427747,
2022-11-01 23:59:59,181.53963096875304,c
2022-11-02 00:00:00,157.24242196099567,
2022-11-02 01:00:00,171.1313366101424,
2022-11-02 02:30:00,171.1313366101424,
2022-11-02 03:00:00,137.31314559525777,
2022-11-02 18:30:00,137.31314559525777,
2022-11-02 20:00:00,151.14026252280814,
2022-11-02 23:00:00,158.69874973973515,
2022-11-02 23:59:59,156.87091203924228,c
2022-11-03 00:00:00,188.2508969391074,
2022-11-03 01:00:00,190.34808952767958,
2022-11-03 02:30:00,190.34808952767844,
2022-11-03 03:00:00,189.96500246162145,
2022-11-03 18:30:00,189.96500246162145,
2022-11-03 20:00:00,173.51135281273378,
2022-11-03 23:00:00,163.41961727364492,
2022-11-03 23:59:59,151.3722048532959,c
2022-11-04 00:00:00,136.91062187105763,
2022-11-04 01:00:00,148.19469109091574,
2022-11-04 02:30:00,136.5040200347048,
2022-11-04 03:00:00,139.9973102452509,
2022-11-04 18:30:00,139.9973102452509,
