date,GDX_2022_Q2,meta
2022-06-10 10:30:00,-7.325503571690092,
2022-06-10 12:00:00,-12.089562872646297,
2022-06-10 13:30:00,-29.993507804841784,
2022-06-10 15:00:00,-15.865630576898866,
2022-06-10 15:30:30,-15.865630576898866,s
2022-06-10 23:59:59,0.0,a
2022-06-13 00:00:00,-12.944666382337118,
2022-06-13 10:00:00,-66.86274550295491,
2022-06-13 10:30:00,-57.09702570619527,
2022-06-13 12:00:00,-100.0679621590682,
2022-06-13 13:30:00,-87.37844346046575,
2022-06-13 15:00:00,-94.92824867097067,
2022-06-13 15:30:30,-94.92824867097067,
2022-06-13 23:59:59,-99.32301431994745,c
2022-06-14 00:00:00,-82.05758269032162,
2022-06-14 10:00:00,-76.20300258307066,
2022-06-14 10:30:00,-72.48444123009256,
2022-06-14 12:00:00,-54.15543854122416,
2022-06-14 13:30:00,-56.06101013323632,
2022-06-14 15:00:00,-61.6554832238603,
2022-06-14 15:30:30,-61.6554832238603,
2022-06-14 23:59:59,-60.386466647151565,c
2022-06-15 00:00:00,-30.503040958028123,
2022-06-15 10:00:00,-10.625517004937592,
2022-06-15 10:30:00,-2.280666869344941,
2022-06-15 12:00:00,8.959919822695838,
2022-06-15 13:30:00,-16.04739925311003,
2022-06-15 15:00:00,2.7816742399169243,
2022-06-15 15:30:30,2.7816742399169243,
2022-06-15 23:59:59,4.094359076399087,c
2022-06-16 00:00:00,11.926979607560156,
2022-06-16 10:00:00,-11.197452309359846,
2022-06-16 10:30:00,4.527824744616964,
2022-06-16 12:00:00,16.285428142894148,
2022-06-16 13:30:00,-6.946527616892126,
2022-06-16 15:00:00,-20.637966533503004,
2022-06-16 15:30:30,-20.637966533503004,
2022-06-16 23:59:59,-23.787777905105827,c
2022-06-17 00:00:00,-8.680262505043174,
2022-06-17 10:00:00,-12.288670016341825,
2022-06-17 10:30:00,-3.0634936106654322,
2022-06-17 12:00:00,25.752628802784898,
2022-06-17 13:30:00,53.860928717205354,
2022-06-17 15:00:00,60.335183448827024,
2022-06-17 15:30:30,60.335183448827024,
2022-06-17 23:59:59,31.47327189674303,e
2022-06-20 00:00:00,29.007114637817722,
2022-06-20 10:00:00,27.918066766661354,
2022-06-20 10:30:00,28.474525376766906,
2022-06-20 12:00:00,28.347145136008805,
2022-06-20 13:30:00,25.870521214163773,
2022-06-20 15:00:00,25.60732280336987,
2022-06-20 15:30:30,25.60732280336987,
2022-06-20 23:59:59,26.75869386395135,c
2022-06-21 00:00:00,19.62404791000398,
2022-06-21 10:00:00,15.053672015276106,
2022-06-21 10:30:00,16.497408331702275,
2022-06-21 12:00:00,-14.576050369243717,
2022-06-21 13:30:00,-29.08075837886929,
2022-06-21 15:00:00,-34.77672862552629,
2022-06-21 15:30:30,-34.77672862552629,
2022-06-21 23:59:59,-25.04463573312512,c
2022-06-22 00:00:00,-34.67567126460847,
2022-06-22 10:00:00,-7.75764166283534,
2022-06-22 10:30:00,-5.227319952094831,
2022-06-22 12:00:00,-45.54349082543183,
2022-06-22 13:30:00,-46.6553310434947,
2022-06-22 15:00:00,-55.92203258097902,
2022-06-22 15:30:30,-55.92203258097902,
2022-06-22 23:59:59,-42.5767675397999,c
2022-06-23 00:00:00,-54.81346762397334,
2022-06-23 10:00:00,-66.34917189974908,
2022-06-23 10:30:00,-42.64105352453805,
2022-06-23 12:00:00,-30.58719357382381,
2022-06-23 13:30:00,-27.43355158671261,
2022-06-23 15:00:00,-19.74057055803462,
2022-06-23 15:30:30,-19.74057055803462,
2022-06-23 23:59:59,-26.554400303042144,c
2022-06-24 00:00:00,-2.2669072143906988,
2022-06-24 10:00:00,16.197765350494194,
2022-06-24 10:30:00,-3.3203655950279654,
2022-06-24 12:00:00,15.695268709457139,
2022-06-24 13:30:00,25.633313625803396,
2022-06-24 15:00:00,32.34002507632539,
2022-06-24 15:30:30,32.34002507632539,
2022-06-24 23:59:59,9.949149205409071,w
2022-06-27 00:00:00,23.798943161585726,
2022-06-27 10:00:00,30.074637820349324,
2022-06-27 10:30:00,21.02104270565178,
2022-06-27 12:00:00,17.872794455641895,
2022-06-27 13:30:00,6.712196898773755,
2022-06-27 15:00:00,16.79724237922926,
2022-06-27 15:30:30,16.79724237922926,
2022-06-27 23:59:59,11.595115352619587,c
2022-06-28 00:00:00,6.937330627533925,
2022-06-28 10:00:00,-5.510256575348308,
2022-06-28 10:30:00,-13.281651999231144,
2022-06-28 12:00:00,-28.799039714403307,
2022-06-28 13:30:00,-26.5664430511124,
2022-06-28 15:00:00,-16.539388055475683,
2022-06-28 15:30:30,-16.539388055475683,
2022-06-28 23:59:59,-7.352904555757391,c
2022-06-29 00:00:00,-7.266661953723201,
2022-06-29 10:00:00,-12.54664538750751,
2022-06-29 10:30:00,-31.761899740996,
2022-06-29 12:00:00,-29.65495869394306,
2022-06-29 13:30:00,-22.757189672422214,
2022-06-29 15:00:00,-20.92930378264964,
2022-06-29 15:30:30,-20.92930378264964,
2022-06-29 23:59:59,-11.831188090055207,c
2022-06-30 00:00:00,11.248623169961945,
2022-06-30 10:00:00,10.077598252317728,
2022-06-30 10:30:00,18.843805016338877,
2022-06-30 12:00:00,22.76631019998416,
2022-06-30 13:30:00,33.870356864825624,
2022-06-30 15:00:00,37.35884706045471,
2022-06-30 15:30:30,37.35884706045471,
2022-06-30 23:59:59,25.295323531382905,c
2022-07-01 00:00:00,25.694060503313608,
2022-07-01 10:00:00,42.88340484357303,
2022-07-01 10:30:00,16.240856017489477,
2022-07-01 12:00:00,17.92991364109662,
2022-07-01 13:30:00,13.276745113620962,
2022-07-01 15:00:00,7.130972823345246,
2022-07-01 15:30:30,7.130972823345246,
2022-07-01 23:59:59,5.291541527869185,w
2022-07-04 00:00:00,7.085110443450958,
2022-07-04 10:00:00,20.29572804850045,
2022-07-04 10:30:00,19.26342260132901,
2022-07-04 12:00:00,15.541210402837237,
2022-07-04 13:30:00,18.978273152093777,
2022-07-04 15:00:00,20.49021363519705,
2022-07-04 15:30:30,20.49021363519705,
2022-07-04 23:59:59,21.49684920513738,c
2022-07-05 00:00:00,-21.21233845280915,
2022-07-05 10:00:00,-38.91113532990278,
2022-07-05 10:30:00,-32.53846469373411,
2022-07-05 12:00:00,-30.31151089256616,
2022-07-05 13:30:00,-30.604797854786625,
2022-07-05 15:00:00,-31.887889438679053,
2022-07-05 15:30:30,-31.887889438679053,
2022-07-05 23:59:59,-35.97251911768694,c
2022-07-06 00:00:00,-19.185094568727663,
2022-07-06 10:00:00,-34.14920127491075,
2022-07-06 10:30:00,-18.591135709773084,
2022-07-06 12:00:00,2.75862302490566,
2022-07-06 13:30:00,19.254545421610942,
2022-07-06 15:00:00,6.572337761473932,
2022-07-06 15:30:30,6.572337761473932,
2022-07-06 23:59:59,-9.13756267541055,c
2022-07-07 00:00:00,-10.630584298340182,
2022-07-07 10:00:00,8.083601669360974,
2022-07-07 10:30:00,18.555169351392863,
2022-07-07 12:00:00,18.146362138378436,
2022-07-07 13:30:00,14.916205166534212,
2022-07-07 15:00:00,5.455570282375106,
2022-07-07 15:30:30,5.455570282375106,
2022-07-07 23:59:59,8.679598100428052,c
2022-07-08 00:00:00,30.261036220438427,
2022-07-08 10:00:00,14.849650876895453,
2022-07-08 10:30:00,22.0482847250928,
2022-07-08 12:00:00,7.766674899080385,
2022-07-08 13:30:00,17.932172389617108,
2022-07-08 15:00:00,21.56348685328652,
2022-07-08 15:30:30,21.56348685328652,
2022-07-08 23:59:59,22.53103829709164,w
