date,EU_MSCI_EM_STAY_2021_Q4,meta
2021-10-21 10:30:00,49.536551537091555,
2021-10-21 11:00:00,46.8597762637437,
2021-10-21 23:59:59,38.74395644375687,c
2021-10-22 00:00:00,36.592087672839114,
2021-10-22 03:30:00,32.84494674960456,
2021-10-22 04:00:00,29.447350845114727,
2021-10-22 06:00:00,26.1248306991925,
2021-10-22 08:00:00,26.772173940060327,
2021-10-22 10:30:00,28.288435607790916,
2021-10-22 11:00:00,31.552831346627215,
2021-10-22 23:59:59,25.190243654957726,w
2021-10-25 00:00:00,35.132571953142985,
2021-10-25 03:30:00,36.26385276577946,
2021-10-25 04:00:00,32.16028721693084,
2021-10-25 06:00:00,27.776851202506975,
2021-10-25 08:00:00,27.718905806930195,
2021-10-25 10:30:00,27.383576423813338,
2021-10-25 11:00:00,31.89428444627771,
2021-10-25 23:59:59,38.06845983839622,c
2021-10-26 00:00:00,37.367731953229566,
2021-10-26 03:30:00,38.65355082814381,
2021-10-26 04:00:00,32.56038184327548,
2021-10-26 06:00:00,29.03974640837066,
2021-10-26 08:00:00,34.489654282821846,
2021-10-26 10:30:00,39.74513906324415,
2021-10-26 11:00:00,44.90118558771553,
2021-10-26 23:59:59,35.075472224546104,c
2021-10-27 00:00:00,33.473739107584834,
2021-10-27 03:30:00,40.1281464996668,
2021-10-27 04:00:00,49.70873239234072,
2021-10-27 06:00:00,52.80352348305399,
2021-10-27 08:00:00,57.693459613257005,
2021-10-27 10:30:00,59.733254946248564,
2021-10-27 11:00:00,58.584021997489174,
2021-10-27 23:59:59,44.65780957107171,c
2021-10-28 00:00:00,54.121399535777414,
2021-10-28 03:30:00,57.567049425047344,
2021-10-28 04:00:00,59.34193278043364,
2021-10-28 06:00:00,56.65720039724107,
2021-10-28 08:00:00,57.73431755595874,
2021-10-28 10:30:00,55.03905978692694,
2021-10-28 11:00:00,57.40983815768476,
2021-10-28 23:59:59,60.964495645714464,c
2021-10-29 00:00:00,60.964495645714464,
2021-10-29 03:30:00,62.29817985149862,
2021-10-29 04:00:00,65.00810115098591,
2021-10-29 06:00:00,66.46661747057203,
2021-10-29 08:00:00,57.58402962621125,
2021-10-29 10:30:00,68.98304468669562,
2021-10-29 11:00:00,60.331870297649914,
2021-10-29 23:59:59,57.611865743151725,w
2021-11-01 00:00:00,63.924025518038036,
2021-11-01 03:30:00,63.094008304266026,
2021-11-01 04:00:00,62.606188104999546,
2021-11-01 06:00:00,55.146584088960765,
2021-11-01 08:00:00,59.34525069952372,
2021-11-01 10:30:00,58.53962126339172,
2021-11-01 11:00:00,58.950005066904566,
2021-11-01 23:59:59,58.89145057265904,c
2021-11-02 00:00:00,53.51224767024701,
2021-11-02 03:30:00,47.24810635172628,
2021-11-02 04:00:00,39.26294627254015,
2021-11-02 06:00:00,46.70076490276307,
2021-11-02 08:00:00,44.010661189234554,
2021-11-02 10:30:00,45.319115351092876,
2021-11-02 11:00:00,44.04668709225075,
2021-11-02 23:59:59,41.00795131723402,c
2021-11-03 00:00:00,40.20004283960611,
2021-11-03 03:30:00,33.752500394685626,
2021-11-03 04:00:00,35.21302682967445,
2021-11-03 06:00:00,43.53580049846306,
2021-11-03 08:00:00,44.35658378564426,
2021-11-03 10:30:00,47.413100288447424,
2021-11-03 11:00:00,44.84353332975081,
2021-11-03 23:59:59,44.96763953155016,c
2021-11-04 00:00:00,32.395429735948596,
2021-11-04 03:30:00,27.09090783239128,
2021-11-04 04:00:00,22.15809560324982,
2021-11-04 06:00:00,24.078644473381758,
2021-11-04 08:00:00,14.8072804122952,
2021-11-04 10:30:00,17.86682819179481,
2021-11-04 11:00:00,17.436569479985565,
2021-11-04 23:59:59,27.35467305156385,c
2021-11-05 00:00:00,1085.438897932352,
2021-11-05 03:30:00,1085.4604389412966,
2021-11-05 04:00:00,1085.4141566733754,
2021-11-05 06:00:00,1087.1905916696044,
2021-11-05 08:00:00,1086.5021866368818,
2021-11-05 10:30:00,1084.9549277460387,
2021-11-05 11:00:00,25.58190292019742,
2021-11-05 23:59:59,31.102375170754044,w
2021-11-08 00:00:00,14.28073549614112,
2021-11-08 03:30:00,14.655531615759458,
2021-11-08 04:00:00,16.351865796439597,
2021-11-08 06:00:00,26.64986020755157,
2021-11-08 08:00:00,27.376246680866643,
2021-11-08 10:30:00,20.545713433594017,
2021-11-08 11:00:00,20.556449028152997,
2021-11-08 23:59:59,21.025121366780695,c
2021-11-09 00:00:00,17.296463285961238,
2021-11-09 03:30:00,30.182726671725845,
2021-11-09 04:00:00,27.10078379474038,
2021-11-09 06:00:00,27.063197625223438,
2021-11-09 08:00:00,34.7629900376395,
2021-11-09 10:30:00,36.120307003450534,
2021-11-09 11:00:00,37.09849459558433,
2021-11-09 23:59:59,30.366717913992375,c
2021-11-10 00:00:00,23.50974562413859,
2021-11-10 03:30:00,13.286873832504796,
2021-11-10 04:00:00,20.48661347199436,
2021-11-10 06:00:00,19.378404081912663,
2021-11-10 08:00:00,33.174490696624446,
2021-11-10 10:30:00,27.13730100325671,
2021-11-10 11:00:00,28.839886399217562,
2021-11-10 23:59:59,16.16885489784363,c
2021-11-11 00:00:00,15.686023459062199,
2021-11-11 03:30:00,17.714832098645672,
2021-11-11 04:00:00,9.077908425558235,
2021-11-11 06:00:00,1.399259797138484,
2021-11-11 08:00:00,-8.91079644268683,
2021-11-11 10:30:00,-9.348202650186863,
2021-11-11 11:00:00,-9.459155549164223,
2021-11-11 23:59:59,0.0,a
2021-11-12 00:00:00,1.5009646448253307,
2021-11-12 03:30:00,6.871384243040495,
2021-11-12 04:00:00,2.2304813602312947,
2021-11-12 06:00:00,7.9943665592654725,
2021-11-12 08:00:00,4.9263188089190635,
2021-11-12 10:30:00,14.835379938676681,
2021-11-12 11:00:00,17.204510613914465,
2021-11-12 23:59:59,17.47322180306719,w
2021-11-15 00:00:00,16.41389519687499,
2021-11-15 03:30:00,10.906646934162211,
2021-11-15 04:00:00,9.984609554298856,
2021-11-15 06:00:00,6.871072920460676,
2021-11-15 08:00:00,16.760890561942574,
2021-11-15 10:30:00,21.445548428363907,
2021-11-15 11:00:00,23.05705425007193,
2021-11-15 23:59:59,23.35528098053379,c
2021-11-16 00:00:00,15.091789697151853,
2021-11-16 03:30:00,11.965576372173985,
2021-11-16 04:00:00,14.66506100527613,
2021-11-16 06:00:00,17.06093962720348,
2021-11-16 08:00:00,12.732766413820855,
2021-11-16 10:30:00,22.28813189670899,
2021-11-16 11:00:00,21.82600367278019,
2021-11-16 23:59:59,11.71882498585262,c
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
0,11.71882498585262,
2021-11-17 00:00:00,14.288003977202948,
2021-11-17 03:30:00,3.671557397137974,
2021-11-17 04:00:00,3.3702155039645163,
2021-11-17 06:00:00,14.409009684266607,
2021-11-17 08:00:00,12.171359337739148,
