date,LOCK_2022_Q2,meta
2022-05-20 00:00:00,156.55694807667305,
2022-05-20 10:00:00,157.28074944940045,
2022-05-20 10:30:00,147.02971812025658,
2022-05-20 12:00:00,63.47517409141278,
2022-05-20 13:30:00,-33.065230200401174,
2022-05-20 15:00:00,23.503919316810425,
2022-05-20 15:30:30,23.503919316810425,
2022-05-20 23:59:59,69.83370510725217,w
2022-05-23 00:00:00,74.45803380099619,
2022-05-23 10:00:00,66.21463330258689,
2022-05-23 10:30:00,47.761694580683525,
2022-05-23 12:00:00,69.44882485719336,
2022-05-23 13:30:00,59.11405198184457,
2022-05-23 15:00:00,51.81503489218767,
2022-05-23 15:30:30,51.81503489218767,
2022-05-23 23:59:59,81.38039264087752,c
2022-05-24 00:00:00,10.114591235911575,
2022-05-24 10:00:00,-163.83971405751026,
2022-05-24 10:30:00,-126.69944900863015,
2022-05-24 12:00:00,-98.97155424204857,
2022-05-24 13:30:00,-138.0941235054138,
2022-05-24 15:00:00,-184.87655162211445,
2022-05-24 15:30:30,-184.87655162211445,
2022-05-24 23:59:59,-163.52451681913362,c
2022-05-25 00:00:00,-164.4712779471963,
2022-05-25 10:00:00,-131.40085789878367,
2022-05-25 10:30:00,-52.41138168940688,
2022-05-25 12:00:00,-74.33226112742727,
2022-05-25 13:30:00,-29.33073072557727,
2022-05-25 15:00:00,-7.54042038591524,
2022-05-25 15:30:30,-7.54042038591524,
2022-05-25 23:59:59,-11.064302395604273,c
2022-05-26 00:00:00,-396.02951496697915,
2022-05-26 10:00:00,-260.2620677284956,
2022-05-26 10:30:00,-223.72733862488508,
2022-05-26 12:00:00,-180.26221809316303,
2022-05-26 13:30:00,-149.5823087957683,
2022-05-26 15:00:00,-171.3869266502047,
2022-05-26 15:30:30,-171.3869266502047,
2022-05-26 23:59:59,-169.58226835404798,c
2022-05-27 00:00:00,-150.16810620773254,
2022-05-27 10:00:00,-29.63332500582942,
2022-05-27 10:30:00,-6.055776877775088,
2022-05-27 12:00:00,-31.109314996173453,
2022-05-27 13:30:00,-6.900143962791617,
2022-05-27 15:00:00,-5.187275850549668,
2022-05-27 15:30:30,-5.187275850549668,
2022-05-27 23:59:59,9.762414808971926,w
2022-05-30 00:00:00,9.762414808971926,
2022-05-30 10:00:00,9.967807688480661,
2022-05-30 10:30:00,9.915460932892074,
2022-05-30 12:00:00,9.796445793779412,
2022-05-30 13:30:00,9.802801838431606,
2022-05-30 15:00:00,9.73519966922322,
2022-05-30 15:30:30,9.73519966922322,
2022-05-30 23:59:59,9.73519966922322,c
2022-05-31 00:00:00,-1.6307956370505963,
2022-05-31 10:00:00,-57.82688279109516,
2022-05-31 10:30:00,-41.97568992041761,
