date,ROBO_2022_Q4,meta
2022-12-22 13:30:00,-43.095070681393736,
2022-12-22 15:00:00,-24.188060409738682,
2022-12-22 15:30:30,-24.188060409738682,
2022-12-22 23:59:59,24.0615357308252,c
2022-12-23 00:00:00,0.6332117682068201,
2022-12-23 10:00:00,-30.69490175969122,
2022-12-23 10:30:00,10.296287574387861,
2022-12-23 12:00:00,9.556866080450618,
2022-12-23 13:30:00,-10.432683837213062,
2022-12-23 15:00:00,11.295354326872257,
2022-12-23 15:30:30,11.295354326872257,
2022-12-23 23:59:59,29.81792143635812,w
2022-12-26 00:00:00,29.81792143635812,
2022-12-26 10:00:00,29.81792143635812,
2022-12-26 10:30:00,29.81792143635812,
2022-12-26 12:00:00,29.81792143635812,
2022-12-26 13:30:00,29.81792143635812,
2022-12-26 15:00:00,29.81792143635812,
2022-12-26 15:30:30,29.81792143635812,
2022-12-26 23:59:59,29.81792143635812,c
2022-12-27 00:00:00,1.6259698038311399,
2022-12-27 10:00:00,-44.6839057477755,
2022-12-27 10:30:00,-24.45765303653161,
2022-12-27 12:00:00,-63.41435305079267,
2022-12-27 13:30:00,-64.83361254684723,
2022-12-27 15:00:00,-69.48319924848693,
2022-12-27 15:30:30,-69.48319924848693,
2022-12-27 23:59:59,-77.92122413027892,c
2022-12-28 00:00:00,-60.80188219203956,
2022-12-28 10:00:00,-41.8931200977745,
2022-12-28 10:30:00,-64.11944305303996,
2022-12-28 12:00:00,-96.88315785170698,
2022-12-28 13:30:00,-74.9777200680769,
2022-12-28 15:00:00,-102.06811565769203,
2022-12-28 15:30:30,-102.06811565769203,
2022-12-28 23:59:59,-86.32545405947167,c
2022-12-29 00:00:00,-29.81445580689615,
2022-12-29 10:00:00,3.5128550977433406,
2022-12-29 10:30:00,24.177067140212785,
2022-12-29 12:00:00,69.93697796426659,
2022-12-29 13:30:00,63.07052939622099,
2022-12-29 15:00:00,62.03634091133699,
2022-12-29 15:30:30,62.03634091133699,
2022-12-29 23:59:59,67.70584356550626,c
2022-12-30 00:00:00,41.300899434892926,
2022-12-30 10:00:00,57.53488148019278,
2022-12-30 10:30:00,66.71605029774491,
2022-12-30 12:00:00,78.05092301605782,
2022-12-30 13:30:00,66.66953678556001,
2022-12-30 15:00:00,85.93114287288972,
2022-12-30 15:30:30,85.93114287288972,
2022-12-30 23:59:59,115.31719696157052,w
