date,ICF_2021_Q1,meta
2021-02-19 15:00:00,43.208284447664994,
2021-02-19 15:30:30,43.208284447664994,
2021-02-19 23:59:59,48.45135819510324,e
2021-02-22 00:00:00,26.38514118815411,
2021-02-22 10:00:00,-9.264483962301284,
2021-02-22 10:30:00,-38.14526329512813,
2021-02-22 12:00:00,-69.92342768215724,
2021-02-22 13:30:00,-65.03880775916356,
2021-02-22 15:00:00,-46.68381992896863,
2021-02-22 15:30:30,-46.68381992896863,
2021-02-22 23:59:59,-50.21369593615675,c
2021-02-23 00:00:00,-63.23435278829072,
2021-02-23 10:00:00,-116.70007879279544,
2021-02-23 10:30:00,-150.2129566401709,
2021-02-23 12:00:00,-172.38096282536898,
2021-02-23 13:30:00,-172.1755523822427,
2021-02-23 15:00:00,-193.71771332641552,
2021-02-23 15:30:30,-193.71771332641552,
2021-02-23 23:59:59,-215.50252127854154,c
2021-02-24 00:00:00,-238.9710021769068,
2021-02-24 10:00:00,-277.5053080810334,
2021-02-24 10:30:00,-282.79346078622666,
2021-02-24 12:00:00,-288.7403612757353,
2021-02-24 13:30:00,-291.33249648186984,
2021-02-24 15:00:00,-309.3893169696846,
2021-02-24 15:30:30,-309.3893169696846,
2021-02-24 23:59:59,-310.7203163859025,c
2021-02-25 00:00:00,-317.07657562524525,
2021-02-25 10:00:00,-339.5740217082257,
2021-02-25 10:30:00,-340.662415829348,
2021-02-25 12:00:00,-307.50394868539126,
2021-02-25 13:30:00,-306.5387479352421,
2021-02-25 15:00:00,-291.2474878525662,
2021-02-25 15:30:30,-291.2474878525662,
2021-02-25 23:59:59,-268.0383236834959,c
2021-02-26 00:00:00,-241.51013004468572,
2021-02-26 10:00:00,-270.1605976289661,
2021-02-26 10:30:00,-229.57083756745754,
2021-02-26 12:00:00,-248.89326664576518,
2021-02-26 13:30:00,-283.3166771499091,
2021-02-26 15:00:00,-265.2652717608115,
2021-02-26 15:30:30,-265.2652717608115,m
2021-02-26 23:59:59,-250.09369353908187,w
2021-03-01 00:00:00,-284.9281516948202,
2021-03-01 10:00:00,-273.5263918670348,
2021-03-01 10:30:00,-299.6181292498676,
2021-03-01 12:00:00,-314.9071736918065,
2021-03-01 13:30:00,-311.9925926724568,
2021-03-01 15:00:00,-316.4404186585472,
2021-03-01 15:30:30,-316.4404186585472,
2021-03-01 23:59:59,-301.621816984641,c
2021-03-02 00:00:00,-290.2304692290424,
2021-03-02 10:00:00,-295.97839741614814,
2021-03-02 10:30:00,-315.8232867131087,
2021-03-02 12:00:00,-306.3392279962493,
2021-03-02 13:30:00,-318.1768461906916,
2021-03-02 15:00:00,-321.67618385588,
2021-03-02 15:30:30,-321.67618385588,
2021-03-02 23:59:59,-326.96494607354947,c
2021-03-03 00:00:00,-328.26422135230723,
2021-03-03 10:00:00,-363.16559828383333,
2021-03-03 10:30:00,-375.2475686616474,
2021-03-03 12:00:00,-377.8808450568367,
2021-03-03 13:30:00,-436.01924315041657,
2021-03-03 15:00:00,-436.947567503385,
2021-03-03 15:30:30,-436.947567503385,
2021-03-03 23:59:59,-440.33341186109305,c
2021-03-04 00:00:00,-438.2824016491838,
2021-03-04 10:00:00,-427.56755962444475,
2021-03-04 10:30:00,-422.77917848048054,
2021-03-04 12:00:00,-369.87375970301457,
2021-03-04 13:30:00,-375.53172770222955,
2021-03-04 15:00:00,-407.05458109197076,
2021-03-04 15:30:30,-407.05458109197076,
2021-03-04 23:59:59,-403.54921271591684,c
2021-03-05 00:00:00,-384.9842436094996,
2021-03-05 10:00:00,-440.3398898902398,
2021-03-05 10:30:00,-439.5475002049714,
2021-03-05 12:00:00,-411.2757363855365,
2021-03-05 13:30:00,-419.0095880375966,
2021-03-05 15:00:00,-413.16039303125115,
2021-03-05 15:30:30,-413.16039303125115,
2021-03-05 23:59:59,-423.2419476437292,w
