date,AS_MSCI_DM_AD_2023_Q1,meta
2023-01-19 20:00:00,5.089275386395457,
2023-01-19 23:00:00,134.50487993793286,
2023-01-19 23:59:59,129.335474472422,c
2023-01-20 00:00:00,129.335474472422,
2023-01-20 01:00:00,166.70142666069478,
2023-01-20 02:30:00,148.61602492823658,
2023-01-20 03:00:00,147.73561810771025,
2023-01-20 18:30:00,147.73561810771025,
2023-01-20 20:00:00,147.73561810771025,
2023-01-20 23:00:00,147.73561810771025,
2023-01-20 23:59:59,148.55313907109303,w
2023-01-23 00:00:00,148.55313907109303,
2023-01-23 01:00:00,148.55313907109303,
2023-01-23 02:30:00,148.55313907109303,
2023-01-23 03:00:00,148.55313907109303,
2023-01-23 18:30:00,148.55313907109303,
2023-01-23 20:00:00,148.55313907109303,
2023-01-23 23:00:00,148.55313907109303,
2023-01-23 23:59:59,148.55313907109303,c
2023-01-24 00:00:00,148.55313907109303,
2023-01-24 01:00:00,148.55313907109303,
2023-01-24 02:30:00,148.55313907109303,
2023-01-24 03:00:00,148.55313907109303,
2023-01-24 18:30:00,148.55313907109303,
2023-01-24 20:00:00,148.55313907109303,
2023-01-24 23:00:00,148.55313907109303,
2023-01-24 23:59:59,148.55313907109303,c
2023-01-25 00:00:00,148.55313907109303,
2023-01-25 01:00:00,148.55313907109303,
2023-01-25 02:30:00,148.55313907109303,
2023-01-25 03:00:00,148.55313907109303,
2023-01-25 18:30:00,148.55313907109303,
2023-01-25 20:00:00,148.55313907109303,
2023-01-25 23:00:00,92.85348745073316,
2023-01-25 23:59:59,92.85348745073316,c
2023-01-26 00:00:00,92.85348745073316,
2023-01-26 01:00:00,114.02922044260413,
2023-01-26 02:30:00,113.46119057478245,
2023-01-26 03:00:00,132.48588659504458,
2023-01-26 18:30:00,132.48588659504458,
2023-01-26 20:00:00,132.48588659504458,
2023-01-26 23:00:00,114.21861934414483,
2023-01-26 23:59:59,111.69356391571273,c
2023-01-27 00:00:00,111.69356391571273,
2023-01-27 01:00:00,129.83944859956318,
2023-01-27 02:30:00,-0.5949529966510454,
2023-01-27 03:00:00,0.17130761526823335,
2023-01-27 18:30:00,0.17130761526823335,
2023-01-27 20:00:00,0.17130761526823335,
2023-01-27 23:00:00,0.17130761526823335,
2023-01-27 23:59:59,-0.14795540762315795,w
2023-01-30 00:00:00,-203.11347538268092,
2023-01-30 01:00:00,-146.7109462286735,
2023-01-30 02:30:00,-88.89872513273258,
2023-01-30 03:00:00,-125.73541615171234,
2023-01-30 18:30:00,-125.73541615171234,
2023-01-30 20:00:00,-125.73541615171234,
2023-01-30 23:00:00,-88.51238779973028,
2023-01-30 23:59:59,-93.02174167784324,c
2023-01-31 00:00:00,-93.02174167784324,
2023-01-31 01:00:00,-37.06706299926918,
2023-01-31 02:30:00,2.1485062751962687,
2023-01-31 03:00:00,-71.02859426258146,
2023-01-31 18:30:00,-71.02859426258146,
2023-01-31 20:00:00,-71.02859426258146,
2023-01-31 23:00:00,-162.31464182321542,
2023-01-31 23:59:59,-165.81600399014496,c
2023-02-01 00:00:00,-165.81600399014496,
2023-02-01 01:00:00,-147.23133452245565,
2023-02-01 02:30:00,-128.06547889632202,
2023-02-01 03:00:00,-202.13972540934083,
2023-02-01 18:30:00,-202.13972540934083,
2023-02-01 20:00:00,-202.13972540934083,
2023-02-01 23:00:00,-219.15647278605866,
2023-02-01 23:59:59,-221.6328279856898,c
2023-02-02 00:00:00,-258.8701060475669,
2023-02-02 01:00:00,-240.08930842403788,
2023-02-02 02:30:00,-238.45723857540725,
2023-02-02 03:00:00,-201.29404611389327,
2023-02-02 18:30:00,-201.29404611389327,
2023-02-02 20:00:00,-201.29404611389327,
2023-02-02 23:00:00,-88.00411253521816,
2023-02-02 23:59:59,-91.28517984761493,c
2023-02-03 00:00:00,-91.28517984761493,
2023-02-03 01:00:00,-72.63666678710251,
2023-02-03 02:30:00,-72.57248411135697,
2023-02-03 03:00:00,-90.7707399499177,
2023-02-03 18:30:00,-90.7707399499177,
2023-02-03 20:00:00,-90.7707399499177,
2023-02-03 23:00:00,-90.7707399499177,
2023-02-03 23:59:59,-93.08614001564638,w
2023-02-06 00:00:00,-37.579047503417314,
2023-02-06 01:00:00,-37.00351902385955,
2023-02-06 02:30:00,-37.067453052746714,
2023-02-06 03:00:00,-18.352641945313735,
2023-02-06 18:30:00,-18.352641945313735,
2023-02-06 20:00:00,-18.352641945313735,
2023-02-06 23:00:00,-54.954888486921845,
2023-02-06 23:59:59,-55.33925138977065,c
2023-02-07 00:00:00,-36.683705468822154,
2023-02-07 01:00:00,-17.586641272011548,
2023-02-07 02:30:00,1.5721767887389433,
2023-02-07 03:00:00,38.677589776671084,
2023-02-07 18:30:00,38.677589776671084,
2023-02-07 20:00:00,38.677589776671084,
2023-02-07 23:00:00,1.7740401036589901,
2023-02-07 23:59:59,0.11764261546341004,c
2023-02-08 00:00:00,-37.1953512553755,
2023-02-08 01:00:00,-18.22503669570324,
2023-02-08 02:30:00,-17.714514870345738,
2023-02-08 03:00:00,-54.88600219611726,
2023-02-08 18:30:00,-54.88600219611726,
2023-02-08 20:00:00,-54.88600219611726,
2023-02-08 23:00:00,-54.62980717474784,
2023-02-08 23:59:59,-55.65466560250934,c
2023-02-09 00:00:00,-92.82898968976588,
2023-02-09 01:00:00,-92.31468903099085,
2023-02-09 02:30:00,-92.31468903099267,
2023-02-09 03:00:00,-73.60014393062374,
2023-02-09 18:30:00,-73.60014393062374,
2023-02-09 20:00:00,-73.60014393062374,
2023-02-09 23:00:00,0.8917400308419019,
2023-02-09 23:59:59,0.0,a
2023-02-10 00:00:00,36.900369003691594,
2023-02-10 01:00:00,92.66398634135476,
2023-02-10 02:30:00,74.20256120193335,
2023-02-10 03:00:00,18.439659102015867,
2023-02-10 18:30:00,18.439659102015867,
2023-02-10 20:00:00,18.439659102015867,
2023-02-10 23:00:00,18.439659102015867,
2023-02-10 23:59:59,18.439659102015867,w
2023-02-13 00:00:00,315.96519840925066,
2023-02-13 01:00:00,278.666558119834,
2023-02-13 02:30:00,278.7904007064062,
2023-02-13 03:00:00,223.0282104985854,
2023-02-13 18:30:00,223.0282104985854,
2023-02-13 20:00:00,223.0282104985854,
2023-02-13 23:00:00,371.44523643609136,
2023-02-13 23:59:59,371.32258046879906,c
2023-02-14 00:00:00,353.0171100894622,
2023-02-14 01:00:00,353.0171100894604,
2023-02-14 02:30:00,353.01710695834845,
2023-02-14 03:00:00,334.36790443778045,
2023-02-14 18:30:00,334.36790443778045,
2023-02-14 20:00:00,334.36790443778045,
2023-02-14 23:00:00,559.7070132609588,
2023-02-14 23:59:59,559.7671448136589,c
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
0,559.7671448136589,
2023-02-15 00:00:00,559.7671448136589,
2023-02-15 01:00:00,615.7556953010553,
2023-02-15 02:30:00,615.9948315459242,
2023-02-15 03:00:00,597.7720348703879,
2023-02-15 18:30:00,597.7720348703879,
2023-02-15 20:00:00,597.7720348703879,
2023-02-15 23:00:00,654.0523639731728,
2023-02-15 23:59:59,650.9553415909068,c
2023-02-16 00:00:00,650.9553415909068,
2023-02-16 01:00:00,651.1340176220856,
2023-02-16 02:30:00,688.4843989611527,
2023-02-16 03:00:00,632.9058304759583,
2023-02-16 18:30:00,632.9058304759583,
2023-02-16 20:00:00,632.9058304759583,
2023-02-16 23:00:00,596.0480601673171,
2023-02-16 23:59:59,594.9696627175999,c
2023-02-17 00:00:00,576.3088882388638,
2023-02-17 01:00:00,520.4266242417525,
2023-02-17 02:30:00,465.2718398993202,
2023-02-17 03:00:00,428.2213571155662,
2023-02-17 18:30:00,428.2213571155662,
2023-02-17 20:00:00,428.2213571155662,
2023-02-17 23:00:00,428.2213571155662,
2023-02-17 23:59:59,427.36766502587125,w
2023-02-20 00:00:00,349.705521010952,
2023-02-20 01:00:00,355.18967356032226,
2023-02-20 02:30:00,395.00419505327955,
2023-02-20 03:00:00,359.0679452840177,
2023-02-20 18:30:00,359.0679452840177,
2023-02-20 20:00:00,359.0679452840177,
2023-02-20 23:00:00,360.42067884061544,
2023-02-20 23:59:59,372.95573271787725,c
2023-02-21 00:00:00,372.95573271787725,
2023-02-21 01:00:00,411.4100242733748,
2023-02-21 02:30:00,412.81616725236927,
2023-02-21 03:00:00,375.2269632094667,
2023-02-21 18:30:00,375.2269632094667,
2023-02-21 20:00:00,375.2269632094667,
2023-02-21 23:00:00,302.1602767675995,
2023-02-21 23:59:59,298.51057372563264,c
2023-02-22 00:00:00,279.7818296594651,
2023-02-22 01:00:00,298.61465786309054,
2023-02-22 02:30:00,352.4636702131538,
2023-02-22 03:00:00,333.9365829983981,
2023-02-22 18:30:00,333.9365829983981,
2023-02-22 20:00:00,333.9365829983981,
2023-02-22 23:00:00,369.98926209215824,
2023-02-22 23:59:59,370.4803292311208,c
2023-02-23 00:00:00,333.4437151127804,
2023-02-23 01:00:00,335.0454949160412,
2023-02-23 02:30:00,314.29853330550395,
2023-02-23 03:00:00,370.56139917528526,
2023-02-23 18:30:00,370.56139917528526,
2023-02-23 20:00:00,370.56139917528526,
2023-02-23 23:00:00,520.0034557648978,
2023-02-23 23:59:59,521.0306272375947,c
2023-02-24 00:00:00,521.0306272375947,
2023-02-24 01:00:00,539.7373922176685,
2023-02-24 02:30:00,558.0225817891933,
2023-02-24 03:00:00,576.3089387338077,
2023-02-24 18:30:00,576.3089387338077,
2023-02-24 20:00:00,576.3089387338077,
2023-02-24 23:00:00,576.3089387338077,
2023-02-24 23:59:59,576.0687513728062,w
2023-02-27 00:00:00,369.88688566012206,
2023-02-27 01:00:00,407.191041578395,
2023-02-27 02:30:00,387.43655140066585,
2023-02-27 03:00:00,406.0295205691182,
2023-02-27 18:30:00,406.0295205691182,
2023-02-27 20:00:00,406.0295205691182,
2023-02-27 23:00:00,444.8707818508483,
2023-02-27 23:59:59,447.61016456039215,c
2023-02-28 00:00:00,466.12254796240813,
2023-02-28 01:00:00,429.8680515431479,
2023-02-28 02:30:00,392.76369369147505,
2023-02-28 03:00:00,671.6819073922397,
2023-02-28 18:30:00,671.6819073922397,
2023-02-28 20:00:00,671.6819073922397,
2023-02-28 23:00:00,653.4381508431816,
2023-02-28 23:59:59,650.757951889309,e
2023-03-01 00:00:00,539.0140230274246,
2023-03-01 01:00:00,613.3636181313359,
2023-03-01 02:30:00,557.6014218033997,
2023-03-01 03:00:00,594.8960379918553,
2023-03-01 18:30:00,594.8960379918553,
2023-03-01 20:00:00,594.8960379918553,
2023-03-01 23:00:00,743.8307089197788,
2023-03-01 23:59:59,743.594863421953,c
2023-03-02 00:00:00,725.3015726382,
2023-03-02 01:00:00,725.3015726382,
2023-03-02 02:30:00,743.8881426329153,
2023-03-02 03:00:00,818.0589625684715,
2023-03-02 18:30:00,818.0589625684715,
2023-03-02 20:00:00,818.0589625684715,
2023-03-02 23:00:00,688.5937437447374,
2023-03-02 23:59:59,688.2378575553412,c
2023-03-03 00:00:00,650.5384156830969,
2023-03-03 01:00:00,650.5384126483932,
2023-03-03 02:30:00,613.3636242244447,
2023-03-03 03:00:00,613.3636242244447,
2023-03-03 18:30:00,613.3636242244447,
2023-03-03 20:00:00,613.3636242244447,
2023-03-03 23:00:00,613.3636242244447,
2023-03-03 23:59:59,613.2440423837434,w
2023-03-06 00:00:00,650.5384187175987,
2023-03-06 01:00:00,631.9510199476535,
2023-03-06 02:30:00,650.5384187175969,
2023-03-06 03:00:00,650.5384187175969,
2023-03-06 18:30:00,650.5384187175969,
