date,AS_NAREIT_2022_Q1,meta
2022-03-02 00:00:00,-43.51417033803591,
2022-03-02 01:00:00,-48.764516666430154,
2022-03-02 02:30:00,-44.83288666527778,
2022-03-02 03:00:00,-47.036317937016975,
2022-03-02 18:30:00,-43.89430302046867,
2022-03-02 20:00:00,-12.971700530208636,
2022-03-02 23:00:00,-4.867338152579123,
2022-03-02 23:59:59,0.0,a
2022-03-03 00:00:00,-11.758571562500492,
2022-03-03 01:00:00,-20.820585083536116,
2022-03-03 02:30:00,-15.710511476065676,
2022-03-03 03:00:00,-14.540396266038897,
2022-03-03 18:30:00,-4.787554664863819,
2022-03-03 20:00:00,1.8244499677571184,
2022-03-03 23:00:00,-2.715798678390456,
2022-03-03 23:59:59,2.7168350702081625,c
2022-03-04 00:00:00,13.700599463976005,
2022-03-04 01:00:00,5.252175916637043,
2022-03-04 02:30:00,9.590840633417429,
2022-03-04 03:00:00,7.8493438359046195,
2022-03-04 18:30:00,7.8493438359046195,
2022-03-04 20:00:00,7.8493438359046195,
2022-03-04 23:00:00,7.8493438359046195,
2022-03-04 23:59:59,2.046730168346585,w
2022-03-07 00:00:00,15.621933481010728,
2022-03-07 01:00:00,18.594382766638546,
2022-03-07 02:30:00,19.686930908755585,
2022-03-07 03:00:00,21.08859523092451,
2022-03-07 18:30:00,30.574357411454685,
2022-03-07 20:00:00,42.926107207011455,
2022-03-07 23:00:00,32.766444554879854,
2022-03-07 23:59:59,35.50939073028712,c
2022-03-08 00:00:00,8.350415991676073,
2022-03-08 01:00:00,12.340547346962467,
2022-03-08 02:30:00,23.045741580635195,
2022-03-08 03:00:00,23.00153784418262,
2022-03-08 18:30:00,16.835766810707128,
2022-03-08 20:00:00,10.809291705708347,
2022-03-08 23:00:00,13.046990936646353,
2022-03-08 23:59:59,19.99572193102972,c
2022-03-09 00:00:00,20.298627965331207,
2022-03-09 01:00:00,33.38756319353229,
2022-03-09 02:30:00,16.395699126551563,
2022-03-09 03:00:00,19.688226799339418,
2022-03-09 18:30:00,6.031172108473584,
2022-03-09 20:00:00,16.312790538059062,
2022-03-09 23:00:00,-0.7591654689581446,
2022-03-09 23:59:59,1.6479699600290587,c
2022-03-10 00:00:00,-9.755414332300916,
2022-03-10 01:00:00,-7.884881296657568,
2022-03-10 02:30:00,-8.488061207634928,
2022-03-10 03:00:00,-13.80115548337335,
2022-03-10 18:30:00,-16.049058856106058,
2022-03-10 20:00:00,-36.963549106496885,
2022-03-10 23:00:00,-42.13621148481707,
2022-03-10 23:59:59,-30.726456054032496,c
2022-03-11 00:00:00,-12.940286501730043,
2022-03-11 01:00:00,-21.768740240070656,
2022-03-11 02:30:00,-19.516390755458815,
2022-03-11 03:00:00,-19.225710848927974,
2022-03-11 18:30:00,-19.225710848927974,
2022-03-11 20:00:00,-19.225710848927974,
2022-03-11 23:00:00,-19.225710848927974,
2022-03-11 23:59:59,-17.749025877652457,w
2022-03-14 00:00:00,31.45134002773807,
2022-03-14 01:00:00,33.4667613286631,
2022-03-14 02:30:00,25.137413122772614,
2022-03-14 03:00:00,29.83832688566963,
2022-03-14 18:30:00,19.232756240653316,
2022-03-14 20:00:00,12.184568874292609,
2022-03-14 23:00:00,31.057859612925768,
2022-03-14 23:59:59,41.14444591408369,c
2022-03-15 00:00:00,49.98960457847011,
2022-03-15 01:00:00,58.10116772071592,
2022-03-15 02:30:00,68.57962544864131,
2022-03-15 03:00:00,73.35960971430313,
2022-03-15 18:30:00,61.506858348417836,
2022-03-15 20:00:00,63.080331247783306,
2022-03-15 23:00:00,74.45175104028158,
2022-03-15 23:59:59,69.00536074750198,c
2022-03-16 00:00:00,63.27524632570044,
2022-03-16 01:00:00,54.683184494070474,
2022-03-16 02:30:00,43.00544856084889,
2022-03-16 03:00:00,43.78093939268592,
2022-03-16 18:30:00,45.67515101109984,
2022-03-16 20:00:00,49.50254964549822,
2022-03-16 23:00:00,19.551543803682534,
2022-03-16 23:59:59,16.511098894711495,c
2022-03-17 00:00:00,3.643996317537585,
2022-03-17 01:00:00,7.243890095872757,
2022-03-17 02:30:00,-3.179697318576018,
2022-03-17 03:00:00,-7.951988510249976,
2022-03-17 18:30:00,-13.70113828223748,
2022-03-17 20:00:00,-17.521773174762075,
2022-03-17 23:00:00,-41.02071675702564,
