date,INTEL_STY_2021_Q4,meta
2021-11-29 13:30:00,-41.622402417425185,
2021-11-29 15:00:00,-46.392461043457274,
2021-11-29 15:30:30,-46.392461043457274,
2021-11-29 23:59:59,-44.291442902903384,c
2021-11-30 00:00:00,-33.34518891604086,
2021-11-30 10:00:00,-49.784542650226456,
2021-11-30 10:30:00,-50.98828922884062,
2021-11-30 12:00:00,-63.77673268556247,
2021-11-30 13:30:00,-60.697725715542894,
2021-11-30 15:00:00,-62.714936144041744,
2021-11-30 15:30:30,-62.714936144041744,
2021-11-30 23:59:59,-70.81019741905706,e
2021-12-01 00:00:00,-82.5020875716694,
2021-12-01 10:00:00,-103.57645958991881,
2021-12-01 10:30:00,-109.19373221027328,
2021-12-01 12:00:00,-111.07220354629845,
2021-12-01 13:30:00,-117.78193992564016,
2021-12-01 15:00:00,-120.90277126701828,
2021-12-01 15:30:30,-120.90277126701828,
2021-12-01 23:59:59,-117.66777914718111,c
2021-12-02 00:00:00,-115.82044292061566,
2021-12-02 10:00:00,-102.85533261498732,
2021-12-02 10:30:00,-107.9453967228097,
2021-12-02 12:00:00,-106.83158025111331,
2021-12-02 13:30:00,-99.75995495466711,
2021-12-02 15:00:00,-99.72808262332809,
2021-12-02 15:30:30,-99.72808262332809,
2021-12-02 23:59:59,-92.08589635767183,c
2021-12-03 00:00:00,-100.5997918707235,
2021-12-03 10:00:00,-123.55131550803263,
2021-12-03 10:30:00,-131.10362383679322,
2021-12-03 12:00:00,-144.2316418236216,
2021-12-03 13:30:00,-136.06551126934238,
2021-12-03 15:00:00,-137.5305085909069,
2021-12-03 15:30:30,-137.5305085909069,
2021-12-03 23:59:59,-130.1615848064318,w
2021-12-06 00:00:00,-138.86984932599566,
2021-12-06 10:00:00,-161.7217417341647,
2021-12-06 10:30:00,-156.52813958426864,
2021-12-06 12:00:00,-174.9120646271938,
2021-12-06 13:30:00,-172.78260524986038,
2021-12-06 15:00:00,-168.38552869975493,
2021-12-06 15:30:30,-168.38552869975493,
2021-12-06 23:59:59,-168.2528153427814,c
2021-12-07 00:00:00,-159.05693296721492,
2021-12-07 10:00:00,-146.8073274412747,
2021-12-07 10:30:00,-146.7431705077439,
2021-12-07 12:00:00,-138.1644073040396,
2021-12-07 13:30:00,-132.36160941315103,
2021-12-07 15:00:00,-134.2001316480437,
2021-12-07 15:30:30,-134.2001316480437,
2021-12-07 23:59:59,-130.92517464126055,c
2021-12-08 00:00:00,-131.20887021148417,
2021-12-08 10:00:00,-135.15433554026177,
2021-12-08 10:30:00,-132.41853172741972,
2021-12-08 12:00:00,-123.48557856239651,
2021-12-08 13:30:00,-124.63845323275326,
2021-12-08 15:00:00,-123.12143466038034,
2021-12-08 15:30:30,-123.12143466038034,
2021-12-08 23:59:59,-124.50790622560734,c
2021-12-09 00:00:00,-108.70547661810363,
2021-12-09 10:00:00,-109.9642632958293,
2021-12-09 10:30:00,-115.79907591656246,
2021-12-09 12:00:00,-118.79091573158145,
2021-12-09 13:30:00,-123.00750585247016,
2021-12-09 15:00:00,-126.70259069817048,
2021-12-09 15:30:30,-126.70259069817048,
2021-12-09 23:59:59,-126.52923995119433,c
2021-12-10 00:00:00,-107.82741936985141,
2021-12-10 10:00:00,-120.87000044552808,
2021-12-10 10:30:00,-115.93440889858067,
2021-12-10 12:00:00,-134.78669853947298,
2021-12-10 13:30:00,-139.4579397222304,
2021-12-10 15:00:00,-145.3870954091707,
2021-12-10 15:30:30,-145.3870954091707,
2021-12-10 23:59:59,-149.50510001499902,w
2021-12-13 00:00:00,-132.00225085383266,
2021-12-13 10:00:00,-120.72997886224906,
2021-12-13 10:30:00,-112.60345154426501,
2021-12-13 12:00:00,-125.8950598965203,
2021-12-13 13:30:00,-123.84438124286385,
2021-12-13 15:00:00,-120.1177538231368,
2021-12-13 15:30:30,-120.1177538231368,
2021-12-13 23:59:59,-122.06501066542627,c
2021-12-14 00:00:00,-133.65104158648484,
2021-12-14 10:00:00,-131.8166930294422,
2021-12-14 10:30:00,-124.80621195672468,
2021-12-14 12:00:00,-125.57542555214147,
2021-12-14 13:30:00,-126.22154907698675,
2021-12-14 15:00:00,-124.31736313067829,
2021-12-14 15:30:30,-124.31736313067829,
2021-12-14 23:59:59,-122.95425541954265,c
