date,CRSP_AD_HEDGED_2021_Q4,meta
2021-11-12 00:00:00,-117.16554590421384,
2021-11-12 10:00:00,-125.89096580922013,
2021-11-12 10:30:00,-126.27066621863253,
2021-11-12 12:00:00,-105.53016477542702,
2021-11-12 13:30:00,-121.67607482543913,
2021-11-12 15:00:00,-131.26956646122437,
2021-11-12 15:30:30,-131.26956646122437,
2021-11-12 23:59:59,-126.36397391440727,w
2021-11-15 00:00:00,-114.21154395479377,
2021-11-15 10:00:00,-143.37910486884874,
2021-11-15 10:30:00,-128.07143905800524,
2021-11-15 12:00:00,-106.80706909094353,
2021-11-15 13:30:00,-100.91553055573337,
2021-11-15 15:00:00,-105.52972748194473,
2021-11-15 15:30:30,-105.52972748194473,
2021-11-15 23:59:59,-114.89795142368044,c
2021-11-16 00:00:00,-105.46153282229736,
2021-11-16 10:00:00,-117.8418810244539,
2021-11-16 10:30:00,-88.79071075401802,
2021-11-16 12:00:00,-62.16881530281459,
2021-11-16 13:30:00,-49.521857458409706,
2021-11-16 15:00:00,-49.78003065675792,
2021-11-16 15:30:30,-49.78003065675792,
2021-11-16 23:59:59,-36.50204153917096,c
2021-11-17 00:00:00,-19.206514651677395,
2021-11-17 10:00:00,-24.20280414235947,
2021-11-17 10:30:00,-28.938914803884998,
2021-11-17 12:00:00,5.036129518218559,
2021-11-17 13:30:00,14.000999464616925,
2021-11-17 15:00:00,11.798989416616962,
2021-11-17 15:30:30,11.798989416616962,
2021-11-17 23:59:59,20.322931628458576,c
2021-11-18 00:00:00,77.65433272675476,
2021-11-18 10:00:00,49.51758299963309,
2021-11-18 10:30:00,43.33272912483757,
2021-11-18 12:00:00,30.853359570947006,
2021-11-18 13:30:00,27.667834093150518,
2021-11-18 15:00:00,17.916325381576428,
2021-11-18 15:30:30,17.916325381576428,
2021-11-18 23:59:59,10.499801703106058,c
2021-11-19 00:00:00,24.22027798598002,
2021-11-19 10:00:00,54.46513576174017,
2021-11-19 10:30:00,51.37220729270193,
2021-11-19 12:00:00,100.0374393767449,
2021-11-19 13:30:00,89.01757738092984,
2021-11-19 15:00:00,105.67751196097267,
2021-11-19 15:30:30,105.67751196097267,
2021-11-19 23:59:59,102.268900484713,w
2021-11-22 00:00:00,57.51781516480209,
2021-11-22 10:00:00,44.10631299508562,
2021-11-22 10:30:00,39.2303874945912,
2021-11-22 12:00:00,-7.13164558545553,
2021-11-22 13:30:00,0.5013309127824073,
2021-11-22 15:00:00,6.989337942651005,
2021-11-22 15:30:30,6.989337942651005,u
2021-11-22 23:59:59,14.433183425110172,c
2021-11-23 00:00:00,20.41807966198307,
2021-11-23 10:00:00,31.041545866105807,
2021-11-23 10:30:00,20.658473626636052,
2021-11-23 12:00:00,-15.000597358823413,
2021-11-23 13:30:00,-28.089920659261182,
2021-11-23 15:00:00,-61.62574175736869,
2021-11-23 15:30:30,-61.62574175736869,
2021-11-23 23:59:59,-58.89090458084805,c
2021-11-24 00:00:00,-43.55349029418265,
2021-11-24 10:00:00,-70.82124392953368,
2021-11-24 10:30:00,-72.76922715066092,
2021-11-24 12:00:00,-46.65792122483726,
2021-11-24 13:30:00,-41.267911259475326,
2021-11-24 15:00:00,-33.08808467473487,
2021-11-24 15:30:30,-33.08808467473487,
2021-11-24 23:59:59,-33.437552223547854,c
2021-11-25 00:00:00,-33.437552223547854,
2021-11-25 10:00:00,-33.437552223547854,
2021-11-25 10:30:00,-33.437552223547854,
2021-11-25 12:00:00,-33.437552223547854,
2021-11-25 13:30:00,-33.437552223547854,
2021-11-25 15:00:00,-33.437552223547854,
2021-11-25 15:30:30,-33.437552223547854,
2021-11-25 23:59:59,-33.437552223547854,c
2021-11-26 00:00:00,-40.180457928505874,
2021-11-26 10:00:00,-24.200829462909468,
2021-11-26 10:30:00,-25.099843524835492,
2021-11-26 12:00:00,-9.038945591247312,
2021-11-26 13:30:00,-9.038945591247312,
2021-11-26 15:00:00,-9.038945591247312,
2021-11-26 15:30:30,-9.038945591247312,
2021-11-26 23:59:59,11.325658256760917,w
2021-11-29 00:00:00,24.411920774411442,
2021-11-29 10:00:00,5.068500006191201,
2021-11-29 10:30:00,-1.1702541967677575,
2021-11-29 12:00:00,7.932805801466543,
2021-11-29 13:30:00,22.002526775743107,
2021-11-29 15:00:00,46.806339127626146,
2021-11-29 15:30:30,46.806339127626146,
2021-11-29 23:59:59,46.50040025568599,c
2021-11-30 00:00:00,61.7809922665334,
2021-11-30 10:00:00,40.87772219606261,
2021-11-30 10:30:00,39.678297285004405,
2021-11-30 12:00:00,48.82133803924653,
2021-11-30 13:30:00,50.81050968663705,
2021-11-30 15:00:00,56.310318430931275,
2021-11-30 15:30:30,56.310318430931275,m
2021-11-30 23:59:59,75.9235087489403,c
2021-12-01 00:00:00,60.14577419378794,
2021-12-01 10:00:00,71.28183156065718,
2021-12-01 10:30:00,60.57529421499579,
2021-12-01 12:00:00,68.08660775517471,
2021-12-01 13:30:00,65.1173359298647,
2021-12-01 15:00:00,70.15741648684694,
2021-12-01 15:30:30,70.15741648684694,
2021-12-01 23:59:59,60.24657922537729,c
