date,SDY_HEDGED_2022_Q4,meta
2022-09-19 00:00:00,376.36627958069107,
2022-09-19 10:00:00,379.7686772251375,
2022-09-19 10:30:00,384.70093571433597,
2022-09-19 12:00:00,382.5845956476678,
2022-09-19 13:30:00,376.8533039850132,
2022-09-19 15:00:00,370.14760401616604,
2022-09-19 15:30:30,370.14760401616604,
2022-09-19 23:59:59,371.04454967026584,c
2022-09-20 00:00:00,365.1567528274428,
2022-09-20 10:00:00,334.42356270013374,
2022-09-20 10:30:00,339.52558223618405,
2022-09-20 12:00:00,325.34966277810815,
2022-09-20 13:30:00,319.8557148872844,
2022-09-20 15:00:00,316.9666231047854,
2022-09-20 15:30:30,316.9666231047854,
2022-09-20 23:59:59,319.77214615420735,c
2022-09-21 00:00:00,322.29555542411026,
2022-09-21 10:00:00,317.0051954969646,
2022-09-21 10:30:00,317.163190827677,
2022-09-21 12:00:00,314.28784860331257,
2022-09-21 13:30:00,304.2668702913842,
2022-09-21 15:00:00,293.69972301159544,
2022-09-21 15:30:30,293.69972301159544,
2022-09-21 23:59:59,284.6072086112256,c
2022-09-22 00:00:00,274.3139396010689,
2022-09-22 10:00:00,275.2566976396263,
2022-09-22 10:30:00,277.1987589280084,
2022-09-22 12:00:00,264.4436303098191,
2022-09-22 13:30:00,265.06268046529283,
2022-09-22 15:00:00,270.41492345912434,
2022-09-22 15:30:30,270.41492345912434,
2022-09-22 23:59:59,272.6377114311831,c
2022-09-23 00:00:00,274.3550457050644,
2022-09-23 10:00:00,283.34728569503034,
2022-09-23 10:30:00,292.38451404863304,
2022-09-23 12:00:00,274.40056001505843,
2022-09-23 13:30:00,267.352976123081,
2022-09-23 15:00:00,268.02646619441236,
2022-09-23 15:30:30,268.02646619441236,
2022-09-23 23:59:59,275.7715076892572,w
2022-09-26 00:00:00,285.98306319138646,
2022-09-26 10:00:00,273.1025748462025,
2022-09-26 10:30:00,273.347554196381,
2022-09-26 12:00:00,256.0197283999719,
2022-09-26 13:30:00,255.73462590376144,
2022-09-26 15:00:00,258.0543693958531,
2022-09-26 15:30:30,258.0543693958531,
2022-09-26 23:59:59,255.61584307013928,c
2022-09-27 00:00:00,254.55049090656533,
2022-09-27 10:00:00,253.80927253573626,
2022-09-27 10:30:00,244.71608028588483,
2022-09-27 12:00:00,255.21319324106227,
2022-09-27 13:30:00,256.41442220165186,
2022-09-27 15:00:00,264.6795922560606,
2022-09-27 15:30:30,264.6795922560606,
2022-09-27 23:59:59,254.5978662660963,c
2022-09-28 00:00:00,243.15268211862437,
2022-09-28 10:00:00,254.0556406716956,
2022-09-28 10:30:00,254.90481706444078,
2022-09-28 12:00:00,234.48545847990445,
