date,EU_SBX_2022_Q2,meta
2022-04-22 00:00:00,-253.04440894964398,
2022-04-22 03:30:00,-259.5007149919886,
2022-04-22 04:00:00,-260.10829378832517,
2022-04-22 06:00:00,-248.24998630254316,
2022-04-22 08:00:00,-254.36380012700096,
2022-04-22 10:30:00,-234.13089241731763,
2022-04-22 11:00:00,-239.43854384355313,
2022-04-22 23:59:59,-231.2385281160639,w
2022-04-25 00:00:00,-195.48816315327252,
2022-04-25 03:30:00,-268.50520280510267,
2022-04-25 04:00:00,-267.48737830436437,
2022-04-25 06:00:00,-250.7477892171476,
2022-04-25 08:00:00,-267.04541267047796,
2022-04-25 10:30:00,-285.06946152000813,
2022-04-25 11:00:00,-281.2811299139607,
2022-04-25 23:59:59,-260.12369849865223,c
2022-04-26 00:00:00,-275.325745138876,
2022-04-26 03:30:00,-282.203381427581,
2022-04-26 04:00:00,-297.82897246585316,
2022-04-26 06:00:00,-235.2865287943485,
2022-04-26 08:00:00,-207.2253462799933,
2022-04-26 10:30:00,-185.49486343341817,
2022-04-26 11:00:00,-177.89080934203702,
2022-04-26 23:59:59,-167.86736844336485,c
2022-04-27 00:00:00,-151.59679464917303,
2022-04-27 03:30:00,-143.41873597789535,
2022-04-27 04:00:00,-146.66061280825807,
2022-04-27 06:00:00,-172.09377249943128,
2022-04-27 08:00:00,-175.61864527778647,
2022-04-27 10:30:00,-175.5299516633994,
2022-04-27 11:00:00,-177.3829121102563,
2022-04-27 23:59:59,-177.42308036177823,c
2022-04-28 00:00:00,-161.31633960024215,
2022-04-28 03:30:00,-172.0979350907165,
2022-04-28 04:00:00,-136.85309685460913,
2022-04-28 06:00:00,-147.14626468873865,
2022-04-28 08:00:00,-127.96312877238917,
2022-04-28 10:30:00,-147.2986114986222,
2022-04-28 11:00:00,-129.80220399203284,
2022-04-28 23:59:59,-116.70517214508253,c
2022-04-29 00:00:00,-88.6986586961716,
2022-04-29 03:30:00,-102.65966017167469,
2022-04-29 04:00:00,-88.69122328985797,
2022-04-29 06:00:00,-61.1884531710793,
2022-04-29 08:00:00,-45.35328883862568,
2022-04-29 10:30:00,-56.66618386198672,
