date,AS_RBOT_2022_Q2,meta
2022-05-20 00:00:00,175.6091705965042,
2022-05-20 01:00:00,181.37003596382215,
2022-05-20 02:30:00,181.37003596382215,
2022-05-20 03:00:00,181.37003596382215,
2022-05-20 18:30:00,181.37003596382215,
2022-05-20 20:00:00,181.37003596382215,
2022-05-20 23:00:00,181.37003596382215,
2022-05-20 23:59:59,168.32529965145102,w
2022-05-23 00:00:00,235.76536513431665,
2022-05-23 01:00:00,231.30692835899333,
2022-05-23 02:30:00,231.30692835899333,
2022-05-23 03:00:00,231.30692835899333,
2022-05-23 18:30:00,231.30692835899333,
2022-05-23 20:00:00,231.30692835899333,
2022-05-23 23:00:00,215.4095614986503,
2022-05-23 23:59:59,205.38695774690348,c
2022-05-24 00:00:00,204.2735530581425,
2022-05-24 01:00:00,216.7812338901008,
2022-05-24 02:30:00,216.7812338901008,
2022-05-24 03:00:00,216.7812338901008,
2022-05-24 18:30:00,216.7812338901008,
2022-05-24 20:00:00,216.7812338901008,
2022-05-24 23:00:00,165.30190331890026,
2022-05-24 23:59:59,167.51098544695367,c
2022-05-25 00:00:00,169.79226704639552,
2022-05-25 01:00:00,162.80199913716854,
2022-05-25 02:30:00,162.80199913716854,
2022-05-25 03:00:00,162.80199913716854,
2022-05-25 18:30:00,162.80199913716854,
2022-05-25 20:00:00,162.80199913716854,
2022-05-25 23:00:00,161.82261897761362,
2022-05-25 23:59:59,165.7786138911532,c
2022-05-26 00:00:00,171.24905115310514,
2022-05-26 01:00:00,156.65760923364735,
2022-05-26 02:30:00,156.65760923364735,
2022-05-26 03:00:00,156.65760923364735,
2022-05-26 18:30:00,156.65760923364735,
2022-05-26 20:00:00,156.65760923364735,
2022-05-26 23:00:00,70.90991450387094,
2022-05-26 23:59:59,85.1359362981625,c
2022-05-27 00:00:00,88.96004118318547,
2022-05-27 01:00:00,72.92049819506792,
2022-05-27 02:30:00,72.92049819506792,
2022-05-27 03:00:00,72.92049819506792,
2022-05-27 18:30:00,72.92049819506792,
2022-05-27 20:00:00,72.92049819506792,
2022-05-27 23:00:00,72.92049819506792,
2022-05-27 23:59:59,76.18736694978725,w
2022-05-30 00:00:00,109.40072145005888,
2022-05-30 01:00:00,99.6246840396326,
2022-05-30 02:30:00,99.6246840396326,
2022-05-30 03:00:00,99.6246840396326,
2022-05-30 18:30:00,99.6246840396326,
2022-05-30 20:00:00,99.6246840396326,
2022-05-30 23:00:00,49.43784186295625,
2022-05-30 23:59:59,50.861606950516034,c
2022-05-31 00:00:00,56.33562859096514,
2022-05-31 01:00:00,48.483056518249214,
2022-05-31 02:30:00,48.483056518249214,
2022-05-31 03:00:00,48.483056518249214,
2022-05-31 18:30:00,48.483056518249214,
