date,SP46_AD_2022_Q3,meta
2022-08-19 13:30:00,45.10884997678477,
2022-08-19 15:00:00,76.96139710988746,
2022-08-19 15:30:30,76.96139710988746,
2022-08-19 23:59:59,76.90923803920532,w
2022-08-22 00:00:00,38.32703152047998,
2022-08-22 10:00:00,0.8991034524424322,
2022-08-22 10:30:00,-39.63744408712955,
2022-08-22 12:00:00,-27.90253669931826,
2022-08-22 13:30:00,-18.26899220901737,
2022-08-22 15:00:00,-19.635698612642045,
2022-08-22 15:30:30,-19.635698612642045,
2022-08-22 23:59:59,-37.89126636358196,c
2022-08-23 00:00:00,-32.420597016050124,
2022-08-23 10:00:00,-9.715181646993187,
2022-08-23 10:30:00,-7.998277905519899,
2022-08-23 12:00:00,12.46513127764706,
2022-08-23 13:30:00,12.14434271514142,
2022-08-23 15:00:00,18.172978631731894,
2022-08-23 15:30:30,18.172978631731894,
2022-08-23 23:59:59,8.865268009527881,c
2022-08-24 00:00:00,29.0022764325131,
2022-08-24 10:00:00,47.753904230747594,
2022-08-24 10:30:00,76.20609625683119,
2022-08-24 12:00:00,64.44901926130296,
2022-08-24 13:30:00,51.19908346501052,
2022-08-24 15:00:00,38.55502253800046,
2022-08-24 15:30:30,38.55502253800046,
2022-08-24 23:59:59,53.363111764065025,c
2022-08-25 00:00:00,66.38598414380158,
2022-08-25 10:00:00,79.57825039352997,
2022-08-25 10:30:00,83.56325238045633,
2022-08-25 12:00:00,85.07847851222505,
2022-08-25 13:30:00,83.2882201064399,
2022-08-25 15:00:00,54.7783462038517,
2022-08-25 15:30:30,54.7783462038517,
2022-08-25 23:59:59,68.60231473534441,c
2022-08-26 00:00:00,78.04673790986067,
2022-08-26 10:00:00,53.70019096925466,
2022-08-26 10:30:00,36.25831406668908,
2022-08-26 12:00:00,21.638690903256474,
2022-08-26 13:30:00,46.99505504420972,
2022-08-26 15:00:00,44.40247885017175,
2022-08-26 15:30:30,44.40247885017175,
2022-08-26 23:59:59,46.86567878593655,w
2022-08-29 00:00:00,9.793722740763542,
2022-08-29 10:00:00,77.37606033319571,
2022-08-29 10:30:00,87.40276780179533,
2022-08-29 12:00:00,84.02930812816612,
2022-08-29 13:30:00,115.06019630992046,
2022-08-29 15:00:00,118.06605622493203,
2022-08-29 15:30:30,118.06605622493203,
2022-08-29 23:59:59,82.08997119154924,c
2022-08-30 00:00:00,116.63908053286673,
2022-08-30 10:00:00,103.66004690078239,
2022-08-30 10:30:00,94.42284643999619,
2022-08-30 12:00:00,50.026632440768026,
2022-08-30 13:30:00,35.25507527276386,
2022-08-30 15:00:00,49.725445678729784,
2022-08-30 15:30:30,49.725445678729784,
2022-08-30 23:59:59,47.776220593604876,c
2022-08-31 00:00:00,58.60206223801515,
2022-08-31 10:00:00,84.04695313754064,
2022-08-31 10:30:00,76.0070227044539,
2022-08-31 12:00:00,88.02908854749535,
2022-08-31 13:30:00,61.032817385532326,
2022-08-31 15:00:00,45.8052157213433,
2022-08-31 15:30:30,45.8052157213433,m
2022-08-31 23:59:59,56.79472623254901,c
2022-09-01 00:00:00,17.03937693770763,
2022-09-01 10:00:00,-67.48891611444469,
2022-09-01 10:30:00,-51.804856615299286,
2022-09-01 12:00:00,-90.40452138506726,
2022-09-01 13:30:00,-100.26929245524843,
2022-09-01 15:00:00,-74.14417486676439,
2022-09-01 15:30:30,-74.14417486676439,
2022-09-01 23:59:59,-48.76619946207984,c
2022-09-02 00:00:00,-6.188677195414812,
2022-09-02 10:00:00,-30.117942217788595,
2022-09-02 10:30:00,-11.797663092143466,
2022-09-02 12:00:00,-7.591491995153319,
2022-09-02 13:30:00,-18.101813078365467,
2022-09-02 15:00:00,10.088686285988842,
2022-09-02 15:30:30,10.088686285988842,
2022-09-02 23:59:59,0.0,a
2022-09-05 00:00:00,0.0,
2022-09-05 10:00:00,0.0,
2022-09-05 10:30:00,0.0,
2022-09-05 12:00:00,0.0,
2022-09-05 13:30:00,0.0,
2022-09-05 15:00:00,0.0,
2022-09-05 15:30:30,0.0,
2022-09-05 23:59:59,0.0,c
2022-09-06 00:00:00,473.21928872734134,
2022-09-06 10:00:00,386.65987628555195,
2022-09-06 10:30:00,349.41116885727297,
2022-09-06 12:00:00,278.6039872960687,
2022-09-06 13:30:00,259.6543132027282,
