date,AS_HTWO_2021_Q4,meta
2021-11-17 01:00:00,19.869962460096758,
2021-11-17 02:30:00,33.46234018839135,
2021-11-17 03:00:00,29.485079155811434,
2021-11-17 18:30:00,29.485079155811434,
2021-11-17 20:00:00,30.280385933627713,
2021-11-17 23:00:00,87.22791603904608,
2021-11-17 23:59:59,83.44238089202241,c
2021-11-18 00:00:00,100.31267508173693,
2021-11-18 01:00:00,89.26880009602343,
2021-11-18 02:30:00,111.55196382757259,
2021-11-18 03:00:00,115.47472588784092,
2021-11-18 18:30:00,115.47472588784092,
2021-11-18 20:00:00,63.07003821997091,
2021-11-18 23:00:00,175.25642358499056,
2021-11-18 23:59:59,175.89971178350106,c
2021-11-19 00:00:00,230.6059095901386,
2021-11-19 01:00:00,209.04601727401885,
2021-11-19 02:30:00,194.69707932286073,
2021-11-19 03:00:00,202.77669246869317,
2021-11-19 18:30:00,202.77669246869317,
2021-11-19 20:00:00,202.77669246869317,
2021-11-19 23:00:00,202.77669246869317,
2021-11-19 23:59:59,199.98612125624732,e
2021-11-22 00:00:00,272.8443455682252,
2021-11-22 01:00:00,265.4498190940187,
2021-11-22 02:30:00,262.40772982341053,
2021-11-22 03:00:00,254.34780116432574,
2021-11-22 18:30:00,254.34780116432574,
2021-11-22 20:00:00,208.88866338039023,
2021-11-22 23:00:00,259.08340634514593,
2021-11-22 23:59:59,236.58021766740265,c
2021-11-23 00:00:00,255.55607293556307,
2021-11-23 01:00:00,227.02856778923646,
2021-11-23 02:30:00,237.50676063048144,
2021-11-23 03:00:00,241.31291627691712,
2021-11-23 18:30:00,241.31291627691712,
2021-11-23 20:00:00,243.64841244772492,
2021-11-23 23:00:00,223.91983391723878,
2021-11-23 23:59:59,231.0718709693657,c
2021-11-24 00:00:00,232.31446664650295,
2021-11-24 01:00:00,252.33117315238482,
2021-11-24 02:30:00,234.4565501544054,
2021-11-24 03:00:00,238.2457409949591,
2021-11-24 18:30:00,238.2457409949591,
2021-11-24 20:00:00,296.4876329570342,
2021-11-24 23:00:00,251.76547228786666,
2021-11-24 23:59:59,265.4858121350221,c
2021-11-25 00:00:00,279.8268865063261,
2021-11-25 01:00:00,275.4704101734132,
2021-11-25 02:30:00,278.32733002594637,
2021-11-25 03:00:00,278.1265714782764,
2021-11-25 18:30:00,278.1265714782764,
2021-11-25 20:00:00,273.59127717174545,
2021-11-25 23:00:00,258.83919275387194,
2021-11-25 23:59:59,270.6423618065383,c
2021-11-26 00:00:00,259.01952087279574,
2021-11-26 01:00:00,250.12405136897033,
2021-11-26 02:30:00,263.3947620769494,
2021-11-26 03:00:00,263.5906570929501,
2021-11-26 18:30:00,263.5906570929501,
2021-11-26 20:00:00,263.5906570929501,
2021-11-26 23:00:00,263.5906570929501,
2021-11-26 23:59:59,265.6185066096633,w
2021-11-29 00:00:00,222.47409918933806,
2021-11-29 01:00:00,237.14747800896745,
2021-11-29 02:30:00,240.7995509431233,
2021-11-29 03:00:00,252.7293308817835,
2021-11-29 18:30:00,252.7293308817835,
2021-11-29 20:00:00,259.58456869851307,
2021-11-29 23:00:00,322.06551599566717,
2021-11-29 23:59:59,291.6746939406445,c
2021-11-30 00:00:00,244.00815610810594,
2021-11-30 01:00:00,266.95617944354484,
2021-11-30 02:30:00,273.7502216699578,
2021-11-30 03:00:00,266.21140269861246,
2021-11-30 18:30:00,266.21140269861246,
2021-11-30 20:00:00,250.32919982696188,
2021-11-30 23:00:00,485.3534032615165,
2021-11-30 23:59:59,482.94396628738934,c
2021-12-01 00:00:00,491.3658822323131,
2021-12-01 01:00:00,509.17165844811575,
2021-12-01 02:30:00,495.09958186254863,
2021-12-01 03:00:00,474.9807261982297,
2021-12-01 18:30:00,474.9807261982297,
2021-12-01 20:00:00,547.7544245156441,
2021-12-01 23:00:00,720.0326262263294,
2021-12-01 23:59:59,729.0817710543774,c
2021-12-02 00:00:00,729.7048802954095,
2021-12-02 01:00:00,798.9912098636601,
2021-12-02 02:30:00,792.3943705949766,
2021-12-02 03:00:00,780.2132808328346,
2021-12-02 18:30:00,780.2132808328346,
2021-12-02 20:00:00,740.5423007096913,
2021-12-02 23:00:00,682.6567383492693,
2021-12-02 23:59:59,681.0674094785668,c
2021-12-03 00:00:00,712.5318187980753,
2021-12-03 01:00:00,755.5677525643615,
2021-12-03 02:30:00,694.3621785633482,
2021-12-03 03:00:00,690.4997574371432,
2021-12-03 18:30:00,690.4997574371432,
2021-12-03 20:00:00,690.4997574371432,
2021-12-03 23:00:00,690.4997574371432,
2021-12-03 23:59:59,684.9354361017736,w
