date,SPYD_2022_Q1,meta
2022-01-03 00:00:00,-274.6817061265977,
2022-01-03 10:00:00,-259.5472449050635,
2022-01-03 10:30:00,-248.79947159555894,
2022-01-03 12:00:00,-231.61881764579024,
2022-01-03 13:30:00,-218.57027139265458,
2022-01-03 15:00:00,-215.3841781746866,
2022-01-03 15:30:30,-215.3841781746866,
2022-01-03 23:59:59,-216.09052846691984,c
2022-01-04 00:00:00,-211.07830779669533,
2022-01-04 10:00:00,-212.61349467412376,
2022-01-04 10:30:00,-222.2455151914047,
2022-01-04 12:00:00,-213.21656536107128,
2022-01-04 13:30:00,-215.89108411533653,
2022-01-04 15:00:00,-206.20697795719406,
2022-01-04 15:30:30,-206.20697795719406,
2022-01-04 23:59:59,-214.44825373250893,c
2022-01-05 00:00:00,-228.24604670047265,
2022-01-05 10:00:00,-211.87485151689438,
2022-01-05 10:30:00,-220.06325456431458,
2022-01-05 12:00:00,-208.09092767901151,
2022-01-05 13:30:00,-213.4784894256779,
2022-01-05 15:00:00,-216.1431013843305,
2022-01-05 15:30:30,-216.1431013843305,
2022-01-05 23:59:59,-213.27645013717952,c
2022-01-06 00:00:00,-216.76769131349008,
2022-01-06 10:00:00,-222.65810110772566,
2022-01-06 10:30:00,-218.08173740854505,
2022-01-06 12:00:00,-206.32967577640005,
2022-01-06 13:30:00,-206.3150620395561,
2022-01-06 15:00:00,-200.515285910964,
2022-01-06 15:30:30,-200.515285910964,
2022-01-06 23:59:59,-204.67092991634846,c
2022-01-07 00:00:00,-200.92954097746107,
2022-01-07 10:00:00,-167.44196093516425,
2022-01-07 10:30:00,-140.37278318075994,
2022-01-07 12:00:00,-138.56127309428317,
2022-01-07 13:30:00,-137.46336257182386,
2022-01-07 15:00:00,-141.2871189034426,
2022-01-07 15:30:30,-141.2871189034426,
2022-01-07 23:59:59,-126.59170863032602,w
2022-01-10 00:00:00,-125.46932247602547,
2022-01-10 10:00:00,-115.91493107081129,
2022-01-10 10:30:00,-134.15497874928926,
2022-01-10 12:00:00,-123.46043668199334,
2022-01-10 13:30:00,-118.80501147265772,
2022-01-10 15:00:00,-127.78599381013865,
2022-01-10 15:30:30,-127.78599381013865,
2022-01-10 23:59:59,-145.8962155194276,c
2022-01-11 00:00:00,-153.01074473848632,
2022-01-11 10:00:00,-130.99205182129083,
2022-01-11 10:30:00,-127.96838369005485,
2022-01-11 12:00:00,-131.41111124337044,
2022-01-11 13:30:00,-125.36391369658665,
2022-01-11 15:00:00,-121.09065035089642,
2022-01-11 15:30:30,-121.09065035089642,
2022-01-11 23:59:59,-121.33894988033126,c
2022-01-12 00:00:00,-126.24102174807157,
2022-01-12 10:00:00,-143.3035174488819,
2022-01-12 10:30:00,-148.23017032303616,
2022-01-12 12:00:00,-135.9894492009556,
2022-01-12 13:30:00,-140.76182633537505,
2022-01-12 15:00:00,-144.25291081225814,
2022-01-12 15:30:30,-144.25291081225814,
2022-01-12 23:59:59,-146.24798797949902,c
2022-01-13 00:00:00,-158.0216673687625,
2022-01-13 10:00:00,-155.4332053379466,
2022-01-13 10:30:00,-145.294474810941,
2022-01-13 12:00:00,-121.26610039708888,
2022-01-13 13:30:00,-100.39118936529695,
2022-01-13 15:00:00,-91.99155487097568,
2022-01-13 15:30:30,-91.99155487097568,
2022-01-13 23:59:59,-98.1266404028766,c
2022-01-14 00:00:00,-101.68005597964873,
2022-01-14 10:00:00,-98.04212275121654,
2022-01-14 10:30:00,-100.80007962086694,
