date,AS_FTSE_EM_STAY_2022_Q3,meta
2022-07-08 00:00:00,371.04242699152485,
2022-07-08 01:00:00,353.71289176776816,
2022-07-08 02:30:00,360.84868559837753,
2022-07-08 03:00:00,370.7209441719888,
2022-07-08 18:30:00,370.7209441719888,
2022-07-08 20:00:00,370.7209441719888,
2022-07-08 23:00:00,370.7209441719888,
2022-07-08 23:59:59,372.03429112742424,w
2022-07-11 00:00:00,370.45930809157744,
2022-07-11 01:00:00,387.00498585958564,
2022-07-11 02:30:00,369.6840148143309,
2022-07-11 03:00:00,347.2520566735259,
2022-07-11 18:30:00,347.2520566735259,
2022-07-11 20:00:00,347.2520566735259,
2022-07-11 23:00:00,441.2866796042066,
2022-07-11 23:59:59,446.7685716196071,c
2022-07-12 00:00:00,443.5039368697011,
2022-07-12 01:00:00,446.68624830462454,
2022-07-12 02:30:00,450.89453919091466,
2022-07-12 03:00:00,443.72479145244415,
2022-07-12 18:30:00,443.72479145244415,
2022-07-12 20:00:00,443.72479145244415,
2022-07-12 23:00:00,515.6510992231043,
2022-07-12 23:59:59,486.6584708865945,c
2022-07-13 00:00:00,381.54426397370503,
2022-07-13 01:00:00,380.52680737093795,
2022-07-13 02:30:00,379.88561555167996,
2022-07-13 03:00:00,393.82531263214264,
2022-07-13 18:30:00,393.82531263214264,
2022-07-13 20:00:00,393.82531263214264,
2022-07-13 23:00:00,362.5189024407431,
2022-07-13 23:59:59,361.3097469152425,c
2022-07-14 00:00:00,382.85482032203845,
2022-07-14 01:00:00,382.93107266091874,
2022-07-14 02:30:00,354.74222759179463,
2022-07-14 03:00:00,369.6070284793684,
2022-07-14 18:30:00,369.6070284793684,
2022-07-14 20:00:00,369.6070284793684,
2022-07-14 23:00:00,379.17197775695706,
2022-07-14 23:59:59,320.5221078804253,c
2022-07-15 00:00:00,279.71849694150694,
2022-07-15 01:00:00,274.8248410024245,
2022-07-15 02:30:00,238.95950252247053,
2022-07-15 03:00:00,230.46709507780827,
2022-07-15 18:30:00,230.46709507780827,
2022-07-15 20:00:00,230.46709507780827,
2022-07-15 23:00:00,230.46709507780827,
2022-07-15 23:59:59,218.8957934252544,w
2022-07-18 00:00:00,298.98129607480837,
2022-07-18 01:00:00,293.37439634297857,
2022-07-18 02:30:00,265.0190392660652,
2022-07-18 03:00:00,270.37478046548756,
2022-07-18 18:30:00,270.37478046548756,
2022-07-18 20:00:00,270.37478046548756,
2022-07-18 23:00:00,259.874641056035,
2022-07-18 23:59:59,258.377088138035,c
2022-07-19 00:00:00,276.8442222598866,
2022-07-19 01:00:00,248.84831397554024,
2022-07-19 02:30:00,251.56539999881284,
2022-07-19 03:00:00,249.59684657281048,
2022-07-19 18:30:00,249.59684657281048,
2022-07-19 20:00:00,249.59684657281048,
2022-07-19 23:00:00,411.4555470972658,
2022-07-19 23:59:59,408.28152264983123,c
2022-07-20 00:00:00,428.6536876123438,
2022-07-20 01:00:00,434.786505088749,
