date,AS_MSCI_EM_HK_STAY_2023_Q1,meta
2022-12-29 00:00:00,-386.43994760434657,
2022-12-29 01:00:00,-368.02667780207753,
2022-12-29 02:30:00,-320.3247089818815,
2022-12-29 03:00:00,-327.1737750037212,
2022-12-29 18:30:00,-327.1737750037212,
2022-12-29 20:00:00,-327.1737750037212,
2022-12-29 23:00:00,-512.1343054161741,
2022-12-29 23:59:59,-511.79325009230683,c
2022-12-30 00:00:00,-483.8695203870004,
2022-12-30 01:00:00,-415.23340758034306,
2022-12-30 02:30:00,-363.65836611588975,
2022-12-30 03:00:00,-377.42940512186215,
2022-12-30 18:30:00,-377.42940512186215,
2022-12-30 20:00:00,-377.42940512186215,
2022-12-30 23:00:00,-377.42940512186215,
2022-12-30 23:59:59,-377.45384489906655,w
2023-01-02 00:00:00,-377.45384489906655,
2023-01-02 01:00:00,-377.45384489906655,
2023-01-02 02:30:00,-377.45384489906655,
2023-01-02 03:00:00,-377.45384489906655,
2023-01-02 18:30:00,-377.45384489906655,
2023-01-02 20:00:00,-377.45384489906655,
2023-01-02 23:00:00,-586.0993215580766,
2023-01-02 23:59:59,-586.0993215580766,c
2023-01-03 00:00:00,-654.5108066026801,
2023-01-03 01:00:00,-611.7472051163102,
2023-01-03 02:30:00,-450.6940942894448,
2023-01-03 03:00:00,-491.8015880417911,
2023-01-03 18:30:00,-491.8015880417911,
2023-01-03 20:00:00,-491.8015880417911,
2023-01-03 23:00:00,-516.889203417805,
2023-01-03 23:59:59,-516.5045544475231,c
2023-01-04 00:00:00,-516.8257314250318,
2023-01-04 01:00:00,-495.8475492831999,
2023-01-04 02:30:00,-544.6961189510735,
2023-01-04 03:00:00,-508.9662822360151,
2023-01-04 18:30:00,-508.9662822360151,
2023-01-04 20:00:00,-508.9662822360151,
2023-01-04 23:00:00,-556.322711592896,
2023-01-04 23:59:59,-555.2836323387262,c
2023-01-05 00:00:00,-584.8881629761613,
2023-01-05 01:00:00,-554.8894258348284,
2023-01-05 02:30:00,-414.4484709950232,
2023-01-05 03:00:00,-439.81423483507206,
2023-01-05 18:30:00,-439.81423483507206,
2023-01-05 20:00:00,-439.81423483507206,
2023-01-05 23:00:00,-552.4869629335992,
2023-01-05 23:59:59,-553.3061378757211,c
2023-01-06 00:00:00,-526.9173524598682,
2023-01-06 01:00:00,-587.9366285950273,
2023-01-06 02:30:00,-659.9617296605124,
2023-01-06 03:00:00,-661.9484220540867,
2023-01-06 18:30:00,-661.9484220540867,
2023-01-06 20:00:00,-661.9484220540867,
2023-01-06 23:00:00,-661.9484220540867,
2023-01-06 23:59:59,-661.7199911803739,w
2023-01-09 00:00:00,-242.928047249756,
2023-01-09 01:00:00,-253.00323464535973,
2023-01-09 02:30:00,-115.83138032812349,
2023-01-09 03:00:00,-137.06329355811977,
2023-01-09 18:30:00,-137.06329355811977,
2023-01-09 20:00:00,-137.06329355811977,
2023-01-09 23:00:00,-35.777460720241834,
2023-01-09 23:59:59,-36.02219301556124,c
2023-01-10 00:00:00,-37.414077357653696,
2023-01-10 01:00:00,-38.945198826208525,
2023-01-10 02:30:00,-77.0881427897657,
2023-01-10 03:00:00,-79.5894518260734,
2023-01-10 18:30:00,-79.5894518260734,
2023-01-10 20:00:00,-79.5894518260734,
2023-01-10 23:00:00,247.9930390663926,
2023-01-10 23:59:59,247.6526009343761,c
2023-01-11 00:00:00,192.31771331479376,
2023-01-11 01:00:00,183.43199817503455,
2023-01-11 02:30:00,137.62882880709594,
2023-01-11 03:00:00,157.28694149242438,
2023-01-11 18:30:00,157.28694149242438,
2023-01-11 20:00:00,157.28694149242438,
