date,EU_IDVY_2023_Q1,meta
2023-02-20 00:00:00,-235.4155240313514,
2023-02-20 03:30:00,-225.17616339342138,
2023-02-20 04:00:00,-215.64777682505266,
2023-02-20 06:00:00,-191.67087218870387,
2023-02-20 08:00:00,-205.37621038079638,
2023-02-20 10:30:00,-187.7611595062655,
2023-02-20 11:00:00,-188.41765125778284,
2023-02-20 23:59:59,-183.59981390116667,c
2023-02-21 00:00:00,-117.08085780147118,
2023-02-21 03:30:00,-113.91524511608606,
2023-02-21 04:00:00,-121.33996329450596,
2023-02-21 06:00:00,-132.85545169950984,
2023-02-21 08:00:00,-104.1473153147642,
2023-02-21 10:30:00,-71.26433445010332,
2023-02-21 11:00:00,-82.00617648171735,
2023-02-21 23:59:59,-78.78618021605035,c
2023-02-22 00:00:00,-78.76954998670519,
2023-02-22 03:30:00,-82.06061896678727,
2023-02-22 04:00:00,-80.61908006299072,
2023-02-22 06:00:00,-81.17466464951752,
2023-02-22 08:00:00,-87.86136661062181,
2023-02-22 10:30:00,-103.56341147035269,
2023-02-22 11:00:00,-91.99733132394749,
2023-02-22 23:59:59,-91.19861502059672,c
2023-02-23 00:00:00,-59.23952478648875,
2023-02-23 03:30:00,-20.268055266673436,
2023-02-23 04:00:00,-14.335763959582074,
2023-02-23 06:00:00,31.58058450102807,
2023-02-23 08:00:00,22.638620621058006,
2023-02-23 10:30:00,31.728324221167558,
2023-02-23 11:00:00,29.088360782891968,
2023-02-23 23:59:59,40.23189455749554,c
2023-02-24 00:00:00,27.760555002882107,
2023-02-24 03:30:00,40.03760766537773,
2023-02-24 04:00:00,24.735808801429787,
2023-02-24 06:00:00,10.8954622907236,
2023-02-24 08:00:00,31.214994992154438,
2023-02-24 10:30:00,18.940007528158894,
2023-02-24 11:00:00,2.610851824678953,
2023-02-24 23:59:59,-8.945329281527442,w
2023-02-27 00:00:00,-6.310212981312887,
2023-02-27 03:30:00,-41.70849709949059,
2023-02-27 04:00:00,-50.82311613437114,
2023-02-27 06:00:00,-33.49954026332636,
2023-02-27 08:00:00,-27.587258422364506,
2023-02-27 10:30:00,-38.61935753932551,
2023-02-27 11:00:00,-35.58273194378069,
2023-02-27 23:59:59,-42.36172717292704,c
2023-02-28 00:00:00,-42.55815749603605,
2023-02-28 03:30:00,-49.99107713055644,
2023-02-28 04:00:00,-39.44984938791665,
2023-02-28 06:00:00,-11.541251773621,
2023-02-28 08:00:00,-6.277652402248997,
2023-02-28 10:30:00,-39.39208958217714,
2023-02-28 11:00:00,-38.62155377625846,
2023-02-28 23:59:59,-51.393612093287125,c
2023-03-01 00:00:00,-97.65184507210827,
2023-03-01 03:30:00,-133.45322525193566,
