date,MSCI_US_SC_AD_2023_Q1,meta
2023-01-05 00:00:00,-354.78653982331457,
2023-01-05 10:00:00,-394.39575685862405,
2023-01-05 10:30:00,-380.54278028176327,
2023-01-05 12:00:00,-382.56591948292976,
2023-01-05 13:30:00,-422.90523224717845,
2023-01-05 15:00:00,-422.9791393986152,
2023-01-05 15:30:30,-422.9791393986152,
2023-01-05 23:59:59,-431.6481656924186,c
2023-01-06 00:00:00,-436.3297003484513,
2023-01-06 10:00:00,-376.20942064735505,
2023-01-06 10:30:00,-344.50579345119627,
2023-01-06 12:00:00,-342.37689293732933,
2023-01-06 13:30:00,-369.0016551816657,
2023-01-06 15:00:00,-366.7701042967344,
2023-01-06 15:30:30,-366.7701042967344,
2023-01-06 23:59:59,-373.4836511183569,w
2023-01-09 00:00:00,-352.3372928222657,
2023-01-09 10:00:00,-294.4409612905704,
2023-01-09 10:30:00,-297.4279964050452,
2023-01-09 12:00:00,-293.3341489237853,
2023-01-09 13:30:00,-312.79633205669893,
2023-01-09 15:00:00,-306.7997865471284,
2023-01-09 15:30:30,-306.7997865471284,
2023-01-09 23:59:59,-288.56294217668824,c
2023-01-10 00:00:00,-277.4515290661668,
2023-01-10 10:00:00,-340.9564350404137,
2023-01-10 10:30:00,-304.13111668319584,
2023-01-10 12:00:00,-260.25706980785526,
2023-01-10 13:30:00,-265.45637800431655,
2023-01-10 15:00:00,-255.98425899727317,
2023-01-10 15:30:30,-255.98425899727317,
2023-01-10 23:59:59,-244.92676256617483,c
2023-01-11 00:00:00,-237.48502511422475,
2023-01-11 10:00:00,-267.67297703023337,
2023-01-11 10:30:00,-260.50534013055085,
2023-01-11 12:00:00,-241.98915762531624,
2023-01-11 13:30:00,-254.77356330325892,
2023-01-11 15:00:00,-278.7477860435961,
2023-01-11 15:30:30,-278.7477860435961,
2023-01-11 23:59:59,-271.04882585152563,c
2023-01-12 00:00:00,-288.278523549016,
2023-01-12 10:00:00,-315.55075723057143,
2023-01-12 10:30:00,-299.89623280755313,
2023-01-12 12:00:00,-281.860560303528,
2023-01-12 13:30:00,-268.7172313987114,
2023-01-12 15:00:00,-258.8572465156658,
2023-01-12 15:30:30,-258.8572465156658,
2023-01-12 23:59:59,-260.7285471468481,c
2023-01-13 00:00:00,-223.10903849202873,
2023-01-13 10:00:00,-211.36329574063393,
2023-01-13 10:30:00,-208.4374217417685,
2023-01-13 12:00:00,-138.89322776352333,
2023-01-13 13:30:00,-154.7231236874809,
2023-01-13 15:00:00,-155.9628444292232,
2023-01-13 15:30:30,-155.9628444292232,
2023-01-13 23:59:59,-137.16582282405375,w
2023-01-16 00:00:00,-137.16582282405375,
2023-01-16 10:00:00,-137.16582282405375,
2023-01-16 10:30:00,-137.16582282405375,
2023-01-16 12:00:00,-137.16582282405375,
2023-01-16 13:30:00,-137.16582282405375,
2023-01-16 15:00:00,-137.16582282405375,
2023-01-16 15:30:30,-137.16582282405375,
2023-01-16 23:59:59,-137.16582282405375,c
2023-01-17 00:00:00,-134.1868949719517,
2023-01-17 10:00:00,-166.02519374968233,
2023-01-17 10:30:00,-161.68308389935692,
2023-01-17 12:00:00,-111.91719638934478,
2023-01-17 13:30:00,-94.03621984409347,
2023-01-17 15:00:00,-96.81980452119524,
2023-01-17 15:30:30,-96.81980452119524,
2023-01-17 23:59:59,-133.06022947996075,c
2023-01-18 00:00:00,-114.85659193601191,
2023-01-18 10:00:00,-97.81984602787816,
2023-01-18 10:30:00,-77.8220405252282,
2023-01-18 12:00:00,-97.67181778270492,
2023-01-18 13:30:00,-121.08332375148143,
2023-01-18 15:00:00,-107.79874958873324,
2023-01-18 15:30:30,-107.79874958873324,s
2023-01-18 23:59:59,-133.47774634709072,c
2023-01-19 00:00:00,-137.38128821540454,
2023-01-19 10:00:00,-151.27877860901367,
2023-01-19 10:30:00,-127.68301164378249,
2023-01-19 12:00:00,-161.8948157605755,
2023-01-19 13:30:00,-140.2637249647389,
2023-01-19 15:00:00,-118.1967134807303,
2023-01-19 15:30:30,-118.1967134807303,
2023-01-19 23:59:59,-135.54432003030092,c
2023-01-20 00:00:00,-120.1573221879446,
2023-01-20 10:00:00,-106.22175027501635,
2023-01-20 10:30:00,-97.02047750730117,
2023-01-20 12:00:00,-91.88876840102989,
2023-01-20 13:30:00,-67.14999846462774,
2023-01-20 15:00:00,-89.96584775324823,
2023-01-20 15:30:30,-89.96584775324823,
2023-01-20 23:59:59,-108.63657519761887,w
2023-01-23 00:00:00,-117.55041377100929,
2023-01-23 10:00:00,-137.30091697439138,
2023-01-23 10:30:00,-154.57509723651378,
