date,EU_FTSE_DM_AD_2022_Q3,meta
2022-07-08 00:00:00,6.385274556170629,
2022-07-08 03:30:00,-62.03854892601019,
2022-07-08 04:00:00,-101.94947186226108,
2022-07-08 06:00:00,-129.7171995175453,
2022-07-08 08:00:00,-162.48489972215546,
2022-07-08 10:30:00,-185.2966900481519,
2022-07-08 11:00:00,-173.16304606739254,
2022-07-08 23:59:59,-174.9715868579165,w
2022-07-11 00:00:00,-155.41252248358188,
2022-07-11 03:30:00,-116.1007345072294,
2022-07-11 04:00:00,-115.48510917009895,
2022-07-11 06:00:00,-148.38837403511872,
2022-07-11 08:00:00,-128.7732504214118,
2022-07-11 10:30:00,-120.4430585606842,
2022-07-11 11:00:00,-117.48788912952811,
2022-07-11 23:59:59,-125.29318641235729,c
2022-07-12 00:00:00,-101.16013045852081,
2022-07-12 03:30:00,-126.00425082807641,
2022-07-12 04:00:00,-130.07115950499758,
2022-07-12 06:00:00,-128.45251015729542,
2022-07-12 08:00:00,-124.05026696203029,
2022-07-12 10:30:00,-132.1410723223038,
2022-07-12 11:00:00,-145.00956274671265,
2022-07-12 23:59:59,-132.02460773049623,c
2022-07-13 00:00:00,-93.16602818213502,
2022-07-13 03:30:00,-110.8679438582831,
2022-07-13 04:00:00,-106.14691441947068,
2022-07-13 06:00:00,-120.37929197647989,
2022-07-13 08:00:00,-127.83190031805592,
2022-07-13 10:30:00,-126.71332373275098,
2022-07-13 11:00:00,-131.61009322770082,
2022-07-13 23:59:59,-139.43755176646798,c
2022-07-14 00:00:00,-126.3284444467046,
2022-07-14 03:30:00,-164.69087240471183,
2022-07-14 04:00:00,-150.8967025906744,
2022-07-14 06:00:00,-146.17543181105893,
2022-07-14 08:00:00,-138.53165614665244,
2022-07-14 10:30:00,-105.2893405431442,
2022-07-14 11:00:00,-105.67719248260605,
2022-07-14 23:59:59,-115.86857490858254,c
2022-07-15 00:00:00,-98.84579072046672,
2022-07-15 03:30:00,-119.6705506661826,
2022-07-15 04:00:00,-126.11050340423391,
2022-07-15 06:00:00,-192.8037594204868,
2022-07-15 08:00:00,-206.8493857470632,
2022-07-15 10:30:00,-219.44178523082888,
2022-07-15 11:00:00,-214.2932037836436,
2022-07-15 23:59:59,-227.30872547104434,w
2022-07-18 00:00:00,-217.81823268586066,
2022-07-18 03:30:00,-204.36583511698882,
2022-07-18 04:00:00,-220.8452547240355,
2022-07-18 06:00:00,-248.63433052935568,
2022-07-18 08:00:00,-291.65871992818876,
2022-07-18 10:30:00,-275.9600657125136,
2022-07-18 11:00:00,-284.5233519100094,
2022-07-18 23:59:59,-270.8967312705174,c
2022-07-19 00:00:00,-248.9462983534065,
2022-07-19 03:30:00,-269.70248835464685,
2022-07-19 04:00:00,-285.6951429376286,
2022-07-19 06:00:00,-265.2217583524964,
2022-07-19 08:00:00,-269.9678147866167,
2022-07-19 10:30:00,-299.8636640155021,
2022-07-19 11:00:00,-283.64383654212486,
2022-07-19 23:59:59,-272.3963521112484,c
2022-07-20 00:00:00,-303.61860882643816,
2022-07-20 03:30:00,-265.23369200091247,
2022-07-20 04:00:00,-265.5953024083683,
2022-07-20 06:00:00,-258.70254650865996,
2022-07-20 08:00:00,-197.9822811793617,
2022-07-20 10:30:00,-208.78745062529185,
2022-07-20 11:00:00,-214.12629187195205,
2022-07-20 23:59:59,-223.00807439698164,c
2022-07-21 00:00:00,-231.07086672494495,
2022-07-21 03:30:00,-254.31085626920049,
2022-07-21 04:00:00,-231.1905131155422,
2022-07-21 06:00:00,-244.26324461647613,
2022-07-21 08:00:00,-221.3265253117313,
2022-07-21 10:30:00,-170.70615225552922,
2022-07-21 11:00:00,-213.32730868523356,
2022-07-21 23:59:59,-153.7649840067374,c
2022-07-22 00:00:00,-155.17065966736422,
2022-07-22 03:30:00,-140.63243419526484,
2022-07-22 04:00:00,-114.09317233645598,
2022-07-22 06:00:00,-93.47439000920694,
2022-07-22 08:00:00,-124.13764647271475,
2022-07-22 10:30:00,-140.4679861217998,
2022-07-22 11:00:00,-140.45261999661912,
