date,MSCI_FACT_VLUE_HEDGED_2020_Q4,meta
2020-11-04 12:00:00,-27.246570713471698,
2020-11-04 13:30:00,-15.193258523967444,
2020-11-04 15:00:00,-11.822649819449254,
2020-11-04 15:30:30,-11.822649819449254,
2020-11-04 23:59:59,-1.7430095769950356,c
2020-11-05 00:00:00,-15.503753420888074,
2020-11-05 10:00:00,-49.029571020232595,
2020-11-05 10:30:00,-45.87424868965738,
2020-11-05 12:00:00,-45.265403035756606,
2020-11-05 13:30:00,-56.60111060468506,
2020-11-05 15:00:00,-55.240932013407075,
2020-11-05 15:30:30,-55.240932013407075,
2020-11-05 23:59:59,-52.39768092709116,c
2020-11-06 00:00:00,-45.50440569000821,
2020-11-06 10:00:00,-64.0835819832212,
2020-11-06 10:30:00,-67.87037320696001,
2020-11-06 12:00:00,-56.78650329524615,
2020-11-06 13:30:00,-49.361205674560495,
2020-11-06 15:00:00,-47.470061749028474,
2020-11-06 15:30:30,-47.470061749028474,
2020-11-06 23:59:59,-45.729241512799746,w
2020-11-09 00:00:00,-36.52345651611844,
2020-11-09 10:00:00,-89.16044806551764,
2020-11-09 10:30:00,-82.46921228198667,
2020-11-09 12:00:00,-82.0717271438561,
2020-11-09 13:30:00,-92.86013599973192,
2020-11-09 15:00:00,-85.16228412839665,
2020-11-09 15:30:30,-85.16228412839665,x
2020-11-09 23:59:59,-89.61118416861373,c
2020-11-10 00:00:00,-85.46654588382943,
2020-11-10 10:00:00,-81.69728745739621,
2020-11-10 10:30:00,-63.90949839070002,
2020-11-10 12:00:00,-57.35672211360773,
2020-11-10 13:30:00,-36.08021416410844,
2020-11-10 15:00:00,-40.26637876386789,
2020-11-10 15:30:30,-40.26637876386789,
2020-11-10 23:59:59,-36.31898534509759,c
2020-11-11 00:00:00,-46.58213845931314,
2020-11-11 10:00:00,-24.59929210887904,
2020-11-11 10:30:00,-30.818010789418025,
2020-11-11 12:00:00,-25.55688323885417,
2020-11-11 13:30:00,-26.139116343618298,
2020-11-11 15:00:00,-22.645643696160136,
2020-11-11 15:30:30,-22.645643696160136,
2020-11-11 23:59:59,-18.48717135652697,c
2020-11-12 00:00:00,-17.726246474611145,
2020-11-12 10:00:00,4.035837120321588,
2020-11-12 10:30:00,-5.287308964242783,
2020-11-12 12:00:00,-19.120218286169376,
2020-11-12 13:30:00,-20.965511799496767,
2020-11-12 15:00:00,-10.862930549525117,
2020-11-12 15:30:30,-10.862930549525117,
2020-11-12 23:59:59,-11.793762484147493,c
2020-11-13 00:00:00,25.92640362821095,
2020-11-13 10:00:00,6.03581746341564,
2020-11-13 10:30:00,8.879138600808886,
2020-11-13 12:00:00,9.435738425531895,
2020-11-13 13:30:00,-1.616613980904873,
2020-11-13 15:00:00,6.7293027915097525,
2020-11-13 15:30:30,6.7293027915097525,
2020-11-13 23:59:59,9.402190234868755,w
2020-11-16 00:00:00,-7.307695490676849,
2020-11-16 10:00:00,10.068817431242337,
2020-11-16 10:30:00,10.207081357110667,
2020-11-16 12:00:00,2.574806771779123,
2020-11-16 13:30:00,5.011296093554904,
2020-11-16 15:00:00,4.949557873358145,
2020-11-16 15:30:30,4.949557873358145,
2020-11-16 23:59:59,5.178162539582871,c
2020-11-17 00:00:00,-6.652681115823015,
2020-11-17 10:00:00,22.14176156718267,
2020-11-17 10:30:00,10.9938986501856,
2020-11-17 12:00:00,12.48616470122883,
2020-11-17 13:30:00,8.36352420209272,
2020-11-17 15:00:00,4.455961280938368,
2020-11-17 15:30:30,4.455961280938368,
2020-11-17 23:59:59,-2.8016099912349546,c
2020-11-18 00:00:00,4.9899840089937015,
2020-11-18 10:00:00,2.550743743451477,
2020-11-18 10:30:00,-1.2950206361543621,
2020-11-18 12:00:00,-0.6317011564341612,
2020-11-18 13:30:00,-1.472802148391736,
2020-11-18 15:00:00,-1.6943444581937683,
2020-11-18 15:30:30,-1.6943444581937683,
2020-11-18 23:59:59,0.0,a
2020-11-19 00:00:00,1.1437092417157544,
2020-11-19 10:00:00,40.857485363539524,
2020-11-19 10:30:00,28.067364243284914,
2020-11-19 12:00:00,31.36294461769313,
