date,AS_MSCI_AS_EM_REST_STAY_2022_Q1,meta
2022-01-05 00:00:00,1675.7664912201471,
2022-01-05 01:00:00,1581.5073697179832,
2022-01-05 02:30:00,1581.5073697179832,
2022-01-05 03:00:00,1581.5073697179832,
2022-01-05 18:30:00,1581.5073697179832,
2022-01-05 20:00:00,1336.205938672685,
2022-01-05 23:00:00,1210.4441938462223,
2022-01-05 23:59:59,1161.8411990557179,c
2022-01-06 00:00:00,1025.8302742872183,
2022-01-06 01:00:00,1020.1577272724753,
2022-01-06 02:30:00,1020.1577272724753,
2022-01-06 03:00:00,1020.1577272724753,
2022-01-06 18:30:00,1020.1577272724753,
2022-01-06 20:00:00,968.8033536091407,
2022-01-06 23:00:00,773.3296355114635,
2022-01-06 23:59:59,849.7238384607172,c
2022-01-07 00:00:00,932.5684099561568,
2022-01-07 01:00:00,878.4890340025177,
2022-01-07 02:30:00,878.4890340025177,
2022-01-07 03:00:00,878.4890340025177,
2022-01-07 18:30:00,878.4890340025177,
2022-01-07 20:00:00,878.4890340025177,
2022-01-07 23:00:00,878.4890340025177,
2022-01-07 23:59:59,822.8151122580548,w
2022-01-10 00:00:00,556.2851509973261,
2022-01-10 01:00:00,468.01808084162076,
2022-01-10 02:30:00,468.01808084162076,
2022-01-10 03:00:00,468.01808084162076,
2022-01-10 18:30:00,468.01808084162076,
2022-01-10 20:00:00,511.46805447982297,
2022-01-10 23:00:00,434.87680389114576,
2022-01-10 23:59:59,274.0167410573031,c
2022-01-11 00:00:00,314.18980328844555,
2022-01-11 01:00:00,312.04270433284,
2022-01-11 02:30:00,312.04270433284,
2022-01-11 03:00:00,312.04270433284,
2022-01-11 18:30:00,312.04270433284,
2022-01-11 20:00:00,625.5069223995051,
2022-01-11 23:00:00,562.1307216341593,
2022-01-11 23:59:59,506.83104180736336,c
2022-01-12 00:00:00,563.3778011953145,
2022-01-12 01:00:00,491.3953108663427,
2022-01-12 02:30:00,491.3953108663427,
2022-01-12 03:00:00,491.3953108663427,
