date,WOOD_2022_Q3,meta
2022-09-30 10:30:00,29.318481001922464,
2022-09-30 12:00:00,-1.0898481673903007,
2022-09-30 13:30:00,-12.436805177318547,
2022-09-30 15:00:00,-3.9818365556243407,
2022-09-30 15:30:30,-3.9818365556243407,
2022-09-30 23:59:59,-21.693662235809825,e
2022-10-03 00:00:00,16.28096734074552,
2022-10-03 10:00:00,-21.41652430612021,
2022-10-03 10:30:00,-35.5444932820069,
2022-10-03 12:00:00,-43.868631688183086,
2022-10-03 13:30:00,-46.50260749515019,
2022-10-03 15:00:00,-69.98232055260132,
2022-10-03 15:30:30,-69.98232055260132,
2022-10-03 23:59:59,-66.16485730266322,c
2022-10-04 00:00:00,-72.58610249019057,
2022-10-04 10:00:00,-69.38029029971676,
2022-10-04 10:30:00,-81.38968796060453,
2022-10-04 12:00:00,-77.07465152289979,
2022-10-04 13:30:00,-24.80156780964171,
2022-10-04 15:00:00,-17.18641150433723,
2022-10-04 15:30:30,-17.18641150433723,
2022-10-04 23:59:59,-7.966536831622761,c
2022-10-05 00:00:00,13.509888614629745,
2022-10-05 10:00:00,14.959681844809438,
2022-10-05 10:30:00,14.471728927429012,
2022-10-05 12:00:00,31.866002557874253,
2022-10-05 13:30:00,21.736248105204595,
2022-10-05 15:00:00,27.99736837033106,
2022-10-05 15:30:30,27.99736837033106,
2022-10-05 23:59:59,30.233769826308617,c
2022-10-06 00:00:00,18.69982043576738,
2022-10-06 10:00:00,69.84191466370748,
2022-10-06 10:30:00,104.19107141264931,
2022-10-06 12:00:00,156.78050574267445,
2022-10-06 13:30:00,163.47119812977962,
2022-10-06 15:00:00,190.06021258157807,
2022-10-06 15:30:30,190.06021258157807,
2022-10-06 23:59:59,169.4810058373846,c
2022-10-07 00:00:00,135.76046164554054,
2022-10-07 10:00:00,156.48127352111487,
2022-10-07 10:30:00,170.8913558159743,
2022-10-07 12:00:00,120.75567047032519,
2022-10-07 13:30:00,104.17154522473857,
2022-10-07 15:00:00,136.3412126084895,
2022-10-07 15:30:30,136.3412126084895,
2022-10-07 23:59:59,129.61983479985838,w
2022-10-10 00:00:00,139.06231316092726,
2022-10-10 10:00:00,110.40228796994143,
2022-10-10 10:30:00,124.91443082434944,
2022-10-10 12:00:00,127.89613479695709,
2022-10-10 13:30:00,107.29153614254483,
2022-10-10 15:00:00,115.3677990684082,
2022-10-10 15:30:30,115.3677990684082,
2022-10-10 23:59:59,112.02912845397941,c
2022-10-11 00:00:00,90.59788337971713,
2022-10-11 10:00:00,48.75278569687771,
2022-10-11 10:30:00,43.11570441586855,
2022-10-11 12:00:00,-3.409516382815582,
2022-10-11 13:30:00,-43.94851436054432,
2022-10-11 15:00:00,-34.41388647099666,
2022-10-11 15:30:30,-34.41388647099666,
2022-10-11 23:59:59,-29.75157349044366,c
2022-10-12 00:00:00,-19.761800700758158,
2022-10-12 10:00:00,1.0990021978941513,
2022-10-12 10:30:00,8.603294942049615,
2022-10-12 12:00:00,24.613315603133287,
2022-10-12 13:30:00,15.838711914254418,
2022-10-12 15:00:00,6.884404878472196,
2022-10-12 15:30:30,6.884404878472196,
2022-10-12 23:59:59,1.1397981107238593,c
2022-10-13 00:00:00,64.63527655030748,
2022-10-13 10:00:00,57.87632027995278,
2022-10-13 10:30:00,36.88058965010396,
2022-10-13 12:00:00,-16.152240910207183,
2022-10-13 13:30:00,2.3042742507668663,
2022-10-13 15:00:00,-2.3395781668709787,
2022-10-13 15:30:30,-2.3395781668709787,
2022-10-13 23:59:59,24.616979915910633,c
2022-10-14 00:00:00,2.900388503715021,
2022-10-14 10:00:00,65.58847814431283,
2022-10-14 10:30:00,114.1822439527964,
2022-10-14 12:00:00,140.81883028449874,
2022-10-14 13:30:00,132.6789988839082,
2022-10-14 15:00:00,129.92186851747192,
2022-10-14 15:30:30,129.92186851747192,
2022-10-14 23:59:59,112.05416517632648,w
