date,PAR_MIGRATION_20210614,meta
2021-04-02 00:00:00,-188.49507352138912,
2021-04-02 10:00:00,-188.49507352138912,
2021-04-02 10:30:00,-188.49507352138912,
2021-04-02 12:00:00,-188.49507352138912,
2021-04-02 13:30:00,-188.49507352138912,
2021-04-02 15:00:00,-188.49507352138912,
2021-04-02 15:30:30,-188.49507352138912,
2021-04-02 23:59:59,-188.49507352138912,w
2021-04-05 00:00:00,-188.49507352138912,
2021-04-05 10:00:00,-192.0680684313796,
2021-04-05 10:30:00,-198.1683150469,
2021-04-05 12:00:00,-164.85397985985097,
2021-04-05 13:30:00,-162.30936252211538,
2021-04-05 15:00:00,-158.85868450115825,
2021-04-05 15:30:30,-158.85868450115825,
2021-04-05 23:59:59,-144.87714832776882,c
2021-04-06 00:00:00,-159.80403834463274,
2021-04-06 10:00:00,-176.06008783127803,
2021-04-06 10:30:00,-176.27814708524673,
2021-04-06 12:00:00,-143.67285956824153,
2021-04-06 13:30:00,-131.3695466566725,
2021-04-06 15:00:00,-138.98641195368472,
2021-04-06 15:30:30,-138.98641195368472,
2021-04-06 23:59:59,-123.06470303406988,c
2021-04-07 00:00:00,-123.58876420611634,
2021-04-07 10:00:00,-101.22846416422291,
2021-04-07 10:30:00,-94.80704110694663,
2021-04-07 12:00:00,-68.07906584481461,
2021-04-07 13:30:00,-66.12024157201998,
2021-04-07 15:00:00,-52.98345985680757,
2021-04-07 15:30:30,-52.98345985680757,
2021-04-07 23:59:59,-41.83606440113954,c
2021-04-08 00:00:00,-65.4913870931492,
2021-04-08 10:00:00,-43.835923076066166,
2021-04-08 10:30:00,-32.86038758908455,
2021-04-08 12:00:00,-70.14193752717048,
2021-04-08 13:30:00,-67.97556168742906,
2021-04-08 15:00:00,-65.11409918802596,
2021-04-08 15:30:30,-65.11409918802596,
2021-04-08 23:59:59,-73.73622336349561,c
2021-04-09 00:00:00,-64.43049670969421,
2021-04-09 10:00:00,-81.37168397959525,
2021-04-09 10:30:00,-85.09864849056854,
2021-04-09 12:00:00,-98.31144011146935,
2021-04-09 13:30:00,-105.84772566523631,
2021-04-09 15:00:00,-103.10821084546407,
2021-04-09 15:30:30,-103.10821084546407,
2021-04-09 23:59:59,-96.77511417044391,w
