date,SPHB_2022_Q2,meta
2022-05-20 10:30:00,-130.04474333983435,
2022-05-20 12:00:00,-134.39926060736485,
2022-05-20 13:30:00,-115.8483876456274,
2022-05-20 15:00:00,-118.13544443008436,
2022-05-20 15:30:30,-118.13544443008436,
2022-05-20 23:59:59,-110.79628150616747,e
2022-05-23 00:00:00,-114.60337654103512,
2022-05-23 10:00:00,-181.56324353934454,
2022-05-23 10:30:00,-183.6935731689683,
2022-05-23 12:00:00,-163.39258836186397,
2022-05-23 13:30:00,-168.06174774336804,
2022-05-23 15:00:00,-182.32258914917367,
2022-05-23 15:30:30,-182.32258914917367,
2022-05-23 23:59:59,-183.72502129817107,c
2022-05-24 00:00:00,-203.25234757510765,
2022-05-24 10:00:00,-281.2926164789761,
2022-05-24 10:30:00,-284.3921503032716,
2022-05-24 12:00:00,-254.81150194085373,
2022-05-24 13:30:00,-273.66328883432186,
2022-05-24 15:00:00,-284.67735426052343,
2022-05-24 15:30:30,-284.67735426052343,
2022-05-24 23:59:59,-278.8845363073066,c
2022-05-25 00:00:00,-305.6588647229538,
2022-05-25 10:00:00,-291.75357890203793,
2022-05-25 10:30:00,-241.6518812433903,
2022-05-25 12:00:00,-240.85298451682584,
2022-05-25 13:30:00,-250.03560991899667,
2022-05-25 15:00:00,-248.8532107091005,
2022-05-25 15:30:30,-248.8532107091005,
2022-05-25 23:59:59,-245.16682369097268,c
2022-05-26 00:00:00,-236.9809373983944,
2022-05-26 10:00:00,-200.15377925435715,
2022-05-26 10:30:00,-195.61964919326576,
2022-05-26 12:00:00,-196.93505547734182,
2022-05-26 13:30:00,-174.2429410568821,
2022-05-26 15:00:00,-182.54216239763358,
2022-05-26 15:30:30,-182.54216239763358,
2022-05-26 23:59:59,-189.6324575564359,c
2022-05-27 00:00:00,-166.56200499817749,
2022-05-27 10:00:00,-149.31088503342892,
2022-05-27 10:30:00,-173.8065176521027,
2022-05-27 12:00:00,-187.79382518653478,
2022-05-27 13:30:00,-195.57482895006086,
2022-05-27 15:00:00,-191.10967630340605,
2022-05-27 15:30:30,-191.10967630340605,
2022-05-27 23:59:59,-187.86718720547634,w
