date,DWFACT_2022_Q1,meta
2021-12-27 00:00:00,129.91958771732334,
2021-12-27 10:00:00,183.2530307189263,
2021-12-27 10:30:00,156.6179860271186,
2021-12-27 12:00:00,134.8415898309977,
2021-12-27 13:30:00,113.96200280943776,
2021-12-27 15:00:00,107.04496214440587,
2021-12-27 15:30:30,107.04496214440587,
2021-12-27 23:59:59,88.9570000447302,c
2021-12-28 00:00:00,99.37968139274199,
2021-12-28 10:00:00,94.78991844045413,
2021-12-28 10:30:00,141.44573622173993,
2021-12-28 12:00:00,194.31374957082835,
2021-12-28 13:30:00,200.1804339487844,
2021-12-28 15:00:00,202.71839607786387,
2021-12-28 15:30:30,202.71839607786387,
2021-12-28 23:59:59,213.38030860804838,c
2021-12-29 00:00:00,181.78854913295663,
2021-12-29 10:00:00,259.8616339284049,
2021-12-29 10:30:00,194.59909525654894,
2021-12-29 12:00:00,247.05313123683845,
2021-12-29 13:30:00,221.38575077109545,
2021-12-29 15:00:00,239.88150045039356,
2021-12-29 15:30:30,239.88150045039356,
2021-12-29 23:59:59,236.8006351327772,c
2021-12-30 00:00:00,259.8678216291037,
2021-12-30 10:00:00,291.4784697712007,
2021-12-30 10:30:00,258.10791202114797,
2021-12-30 12:00:00,293.09555933746606,
2021-12-30 13:30:00,294.7073705693838,
2021-12-30 15:00:00,268.860578042259,
2021-12-30 15:30:30,268.860578042259,
2021-12-30 23:59:59,293.44757836611143,c
2021-12-31 00:00:00,269.5548518992068,
2021-12-31 10:00:00,291.70159224317786,
2021-12-31 10:30:00,322.9884173125529,
2021-12-31 12:00:00,285.7196797666925,
2021-12-31 13:30:00,307.8553112367017,
2021-12-31 15:00:00,267.73139144378774,
2021-12-31 15:30:30,267.73139144378774,
2021-12-31 23:59:59,267.2090142898537,w
2022-01-03 00:00:00,140.06781480623886,
2022-01-03 10:00:00,29.040986897943185,
2022-01-03 10:30:00,35.21706848974736,
2022-01-03 12:00:00,110.995780230739,
2022-01-03 13:30:00,98.39489433845665,
2022-01-03 15:00:00,87.56114628703563,
2022-01-03 15:30:30,87.56114628703563,
2022-01-03 23:59:59,67.00430868223339,c
2022-01-04 00:00:00,75.17329602093469,
2022-01-04 10:00:00,76.47145476871265,
2022-01-04 10:30:00,19.198712503642128,
2022-01-04 12:00:00,-7.617961824685153,
2022-01-04 13:30:00,46.544200611284396,
2022-01-04 15:00:00,-20.771730970320277,
2022-01-04 15:30:30,-20.771730970320277,
2022-01-04 23:59:59,-25.701581528398492,c
2022-01-05 00:00:00,-266.95740570513135,
2022-01-05 10:00:00,-370.67226164587737,
2022-01-05 10:30:00,-538.6555675911859,
2022-01-05 12:00:00,-456.9111099168249,
2022-01-05 13:30:00,-426.5441077550722,
2022-01-05 15:00:00,-220.5872778543735,
2022-01-05 15:30:30,-220.5872778543735,
2022-01-05 23:59:59,-149.88704971500738,c
2022-01-06 00:00:00,-223.69844953725533,
2022-01-06 10:00:00,-3.1571855324627904,
2022-01-06 10:30:00,36.82754041465978,
2022-01-06 12:00:00,24.140238356038026,
2022-01-06 13:30:00,108.53595820115424,
2022-01-06 15:00:00,74.44055720754477,
2022-01-06 15:30:30,74.44055720754477,
2022-01-06 23:59:59,107.3766422116496,c
2022-01-07 00:00:00,27.96072756594458,
2022-01-07 10:00:00,3.417968576392923,
2022-01-07 10:30:00,58.629294462712096,
2022-01-07 12:00:00,129.67816962517009,
2022-01-07 13:30:00,-63.17036662231567,
2022-01-07 15:00:00,-123.37218585752817,
2022-01-07 15:30:30,-123.37218585752817,
2022-01-07 23:59:59,-143.72206569409718,w
2022-01-10 00:00:00,-91.09111109631885,
2022-01-10 10:00:00,-40.20385877476929,
2022-01-10 10:30:00,-47.2756903225245,
2022-01-10 12:00:00,-40.693585661579164,
2022-01-10 13:30:00,-27.50025393287524,
2022-01-10 15:00:00,-55.64623779145495,
2022-01-10 15:30:30,-55.64623779145495,
2022-01-10 23:59:59,-90.80889315644254,c
2022-01-11 00:00:00,-127.86404686297374,
2022-01-11 10:00:00,35.012315803949605,
2022-01-11 10:30:00,-32.479594687956705,
2022-01-11 12:00:00,-100.83967585525261,
2022-01-11 13:30:00,-141.39195348166686,
2022-01-11 15:00:00,-173.092305016512,
2022-01-11 15:30:30,-173.092305016512,
2022-01-11 23:59:59,-123.92020265702104,c
2022-01-12 00:00:00,-197.0283883539023,
2022-01-12 10:00:00,-337.2796545808451,
2022-01-12 10:30:00,-263.24069413596044,
2022-01-12 12:00:00,-240.83700949641934,
2022-01-12 13:30:00,-233.81148072518226,
2022-01-12 15:00:00,-243.0775080389476,
2022-01-12 15:30:30,-243.0775080389476,
2022-01-12 23:59:59,-214.02823392492792,c
2022-01-13 00:00:00,-243.32880408355322,
2022-01-13 10:00:00,-301.19956284671025,
2022-01-13 10:30:00,-209.47202458745141,
2022-01-13 12:00:00,-203.46032659764114,
2022-01-13 13:30:00,-98.96019411674479,
2022-01-13 15:00:00,-62.17797351127774,
2022-01-13 15:30:30,-62.17797351127774,
