date,NRJ_2022_Q2,meta
2022-05-10 00:00:00,182.94685644071888,
2022-05-10 10:00:00,157.35888926665666,
2022-05-10 10:30:00,159.75278557640104,
2022-05-10 12:00:00,255.16811985013692,
2022-05-10 13:30:00,256.2871674523026,
2022-05-10 15:00:00,199.51851778194396,
2022-05-10 15:30:30,199.51851778194396,u
2022-05-10 23:59:59,208.704238612042,c
2022-05-11 00:00:00,256.59638215355517,
2022-05-11 10:00:00,228.48286815037045,
2022-05-11 10:30:00,187.0882665576537,
2022-05-11 12:00:00,220.4691154613247,
2022-05-11 13:30:00,269.5159777601125,
2022-05-11 15:00:00,304.4498214984719,
2022-05-11 15:30:30,304.4498214984719,
2022-05-11 23:59:59,343.2954477012722,c
2022-05-12 00:00:00,390.4805451604186,
2022-05-12 10:00:00,437.3479733719216,
2022-05-12 10:30:00,372.32286683949724,
2022-05-12 12:00:00,396.8868456376249,
2022-05-12 13:30:00,427.0330443371722,
2022-05-12 15:00:00,462.224161299833,
2022-05-12 15:30:30,462.224161299833,
2022-05-12 23:59:59,438.7328143200609,c
2022-05-13 00:00:00,369.39707720558204,
2022-05-13 10:00:00,309.76660911309546,
2022-05-13 10:30:00,238.81837851764067,
2022-05-13 12:00:00,199.71787133495536,
2022-05-13 13:30:00,192.0120987776786,
2022-05-13 15:00:00,212.48093657601385,
2022-05-13 15:30:30,212.48093657601385,
2022-05-13 23:59:59,221.54791402245473,w
2022-05-16 00:00:00,236.61566119753843,
2022-05-16 10:00:00,203.9936409458769,
2022-05-16 10:30:00,189.91627146913106,
2022-05-16 12:00:00,236.68254226991485,
2022-05-16 13:30:00,293.21996119520736,
2022-05-16 15:00:00,267.77867920126346,
2022-05-16 15:30:30,267.77867920126346,
2022-05-16 23:59:59,299.5994104985266,c
2022-05-17 00:00:00,227.20843375085133,
2022-05-17 10:00:00,249.82003556584323,
2022-05-17 10:30:00,258.0977334023987,
2022-05-17 12:00:00,179.4487684485066,
2022-05-17 13:30:00,200.03707005184833,
2022-05-17 15:00:00,188.64417598263526,
2022-05-17 15:30:30,188.64417598263526,
2022-05-17 23:59:59,171.38400457620492,c
2022-05-18 00:00:00,194.2523819739322,
2022-05-18 10:00:00,128.00202969255042,
2022-05-18 10:30:00,89.31969542125307,
2022-05-18 12:00:00,84.59721314144099,
2022-05-18 13:30:00,103.03906211077128,
2022-05-18 15:00:00,91.47292592894746,
2022-05-18 15:30:30,91.47292592894746,
2022-05-18 23:59:59,111.63858558225047,c
2022-05-19 00:00:00,112.89956766093201,
2022-05-19 10:00:00,72.51617232153058,
2022-05-19 10:30:00,61.972672005443656,
2022-05-19 12:00:00,-17.801223223686065,
2022-05-19 13:30:00,42.66354053868508,
2022-05-19 15:00:00,41.61121720130586,
2022-05-19 15:30:30,41.61121720130586,
2022-05-19 23:59:59,67.20473365167481,c
2022-05-20 00:00:00,17.19252335966985,
2022-05-20 10:00:00,-25.4103055366395,
2022-05-20 10:30:00,-27.2490398542991,
2022-05-20 12:00:00,47.299313118629925,
2022-05-20 13:30:00,100.31072831606298,
2022-05-20 15:00:00,92.80029379048392,
2022-05-20 15:30:30,92.80029379048392,
2022-05-20 23:59:59,22.497706609392026,w
2022-05-23 00:00:00,41.721779129673905,
2022-05-23 10:00:00,98.3707314901335,
2022-05-23 10:30:00,43.81059074986524,
2022-05-23 12:00:00,3.8784420067690917,
2022-05-23 13:30:00,50.21660739367371,
2022-05-23 15:00:00,26.34816348769391,
2022-05-23 15:30:30,26.34816348769391,
2022-05-23 23:59:59,27.88766599712062,c
2022-05-24 00:00:00,31.256447505017604,
2022-05-24 10:00:00,20.232134668899562,
2022-05-24 10:30:00,-1.7471282247679483,
2022-05-24 12:00:00,-34.24726882764753,
2022-05-24 13:30:00,-28.577716229649013,
2022-05-24 15:00:00,-6.179556799092097,
2022-05-24 15:30:30,-6.179556799092097,
2022-05-24 23:59:59,0.0,a
2022-05-25 00:00:00,8.087852360361467,
2022-05-25 10:00:00,68.75220039144733,
2022-05-25 10:30:00,100.69582849773406,
2022-05-25 12:00:00,98.04226219977,
2022-05-25 13:30:00,99.93359107961396,
2022-05-25 15:00:00,79.03097698059764,
2022-05-25 15:30:30,79.03097698059764,
2022-05-25 23:59:59,65.14525562226117,c
2022-05-26 00:00:00,79.09942732558511,
2022-05-26 10:00:00,117.25888601303586,
2022-05-26 10:30:00,25.473975322956903,
2022-05-26 12:00:00,-58.516266834219095,
2022-05-26 13:30:00,-128.23400215003494,
2022-05-26 15:00:00,-81.07244447299217,
2022-05-26 15:30:30,-81.07244447299217,
2022-05-26 23:59:59,-70.80120470032307,c
2022-05-27 00:00:00,-72.12040887925059,
2022-05-27 10:00:00,-166.95927370281743,
2022-05-27 10:30:00,-190.7010425955241,
2022-05-27 12:00:00,-216.21471751118315,
2022-05-27 13:30:00,-241.57856368217153,
2022-05-27 15:00:00,-258.6998103585179,
2022-05-27 15:30:30,-258.6998103585179,
2022-05-27 23:59:59,-207.77255204905214,w
2022-05-30 00:00:00,-207.77255204905214,
2022-05-30 10:00:00,-206.1217338602355,
2022-05-30 10:30:00,-206.52428388324324,
2022-05-30 12:00:00,-206.4993048978149,
2022-05-30 13:30:00,-206.89465615445397,
2022-05-30 15:00:00,-206.93992547563175,
2022-05-30 15:30:30,-206.93992547563175,
2022-05-30 23:59:59,-206.93992547563175,c
2022-05-31 00:00:00,-184.80622805052963,
2022-05-31 10:00:00,-158.4838886870507,
2022-05-31 10:30:00,-157.957989387603,
2022-05-31 12:00:00,-194.26612133640356,
2022-05-31 13:30:00,-191.11057604760572,
2022-05-31 15:00:00,-143.268939567688,
2022-05-31 15:30:30,-143.268939567688,
2022-05-31 23:59:59,-188.1513403902254,e
2022-06-01 00:00:00,-118.57741525694428,
2022-06-01 10:00:00,-35.80388326693446,
2022-06-01 10:30:00,-19.17206466146854,
2022-06-01 12:00:00,17.720803414523743,
2022-06-01 13:30:00,2.6367983762265794,
2022-06-01 15:00:00,-26.768314025400286,
2022-06-01 15:30:30,-26.768314025400286,
2022-06-01 23:59:59,-28.004103350463993,c
2022-06-02 00:00:00,32.45056264955156,
2022-06-02 10:00:00,-68.33436132597262,
2022-06-02 10:30:00,-108.58430705516093,
