date,CDC_2022_Q3,meta
2022-09-22 10:00:00,-204.84253860081566,
2022-09-22 10:30:00,-203.3894191116819,
2022-09-22 12:00:00,-220.12873593509468,
2022-09-22 13:30:00,-226.01215283599421,
2022-09-22 15:00:00,-224.79640147305844,
2022-09-22 15:30:30,-224.79640147305844,
2022-09-22 23:59:59,-230.1369844493395,c
2022-09-23 00:00:00,-244.655304966437,
2022-09-23 10:00:00,-266.78776643648547,
2022-09-23 10:30:00,-275.7089079877696,
2022-09-23 12:00:00,-282.7652007454382,
2022-09-23 13:30:00,-284.2263781167299,
2022-09-23 15:00:00,-277.6199264076272,
2022-09-23 15:30:30,-277.6199264076272,
2022-09-23 23:59:59,-269.7104277607812,w
2022-09-26 00:00:00,-279.07998093759846,
2022-09-26 10:00:00,-253.06306820387408,
2022-09-26 10:30:00,-262.5960184446246,
2022-09-26 12:00:00,-283.7247461486784,
2022-09-26 13:30:00,-272.4911260562588,
2022-09-26 15:00:00,-268.2954178323555,
2022-09-26 15:30:30,-268.2954178323555,
2022-09-26 23:59:59,-271.60155430105647,c
2022-09-27 00:00:00,-253.9631752618089,
2022-09-27 10:00:00,-254.5613116603931,
2022-09-27 10:30:00,-249.4774713288559,
2022-09-27 12:00:00,-248.1510891147575,
2022-09-27 13:30:00,-255.42828402587622,
2022-09-27 15:00:00,-249.23972281663018,
2022-09-27 15:30:30,-249.23972281663018,
2022-09-27 23:59:59,-246.32539664810065,c
2022-09-28 00:00:00,-254.63553719641473,
2022-09-28 10:00:00,-229.13843217985155,
2022-09-28 10:30:00,-230.13368989612044,
2022-09-28 12:00:00,-231.7726144928227,
2022-09-28 13:30:00,-244.83023813934884,
2022-09-28 15:00:00,-239.28398608657037,
2022-09-28 15:30:30,-239.28398608657037,
2022-09-28 23:59:59,-235.48333562291478,c
2022-09-29 00:00:00,-254.80848057676164,
2022-09-29 10:00:00,-250.4013401345175,
2022-09-29 10:30:00,-252.87045189345218,
2022-09-29 12:00:00,-226.180563925607,
2022-09-29 13:30:00,-215.238122491197,
2022-09-29 15:00:00,-217.60694837868292,
2022-09-29 15:30:30,-217.60694837868292,
2022-09-29 23:59:59,-214.4843623443141,c
2022-09-30 00:00:00,-223.60379613132997,
2022-09-30 10:00:00,-208.5385993430639,
2022-09-30 10:30:00,-199.58396820607925,
2022-09-30 12:00:00,-193.1735672378449,
2022-09-30 13:30:00,-197.70958531745495,
2022-09-30 15:00:00,-204.49774993575096,
2022-09-30 15:30:30,-204.49774993575096,
2022-09-30 23:59:59,-212.40882930919062,w
