date,MXN_FTSE_2022_Q2,meta
2022-04-29 00:00:00,-101.77868593858057,
2022-04-29 10:00:00,-35.90878433924627,
2022-04-29 10:30:00,-5.809998553401783,
2022-04-29 12:00:00,-2.8669024092087056,
2022-04-29 13:30:00,26.21140979330903,
2022-04-29 15:00:00,62.946202255910976,
2022-04-29 15:30:30,62.946202255910976,
2022-04-29 23:59:59,113.32339165451776,w
2022-05-02 00:00:00,118.32047908102686,
2022-05-02 10:00:00,106.5838634474876,
2022-05-02 10:30:00,75.9438213192725,
2022-05-02 12:00:00,62.76971066230635,
2022-05-02 13:30:00,65.08853127281782,
2022-05-02 15:00:00,86.9516251394216,
2022-05-02 15:30:30,86.9516251394216,
2022-05-02 23:59:59,-2.825357657929999,c
2022-05-03 00:00:00,-10.877815227520841,
2022-05-03 10:00:00,83.34245459710019,
2022-05-03 10:30:00,111.15660378272969,
2022-05-03 12:00:00,147.66433025940205,
2022-05-03 13:30:00,155.15033417126506,
2022-05-03 15:00:00,134.34165776392638,
2022-05-03 15:30:30,134.34165776392638,
2022-05-03 23:59:59,185.7759570921562,c
2022-05-04 00:00:00,180.3595641809734,
2022-05-04 10:00:00,240.53300512380883,
2022-05-04 10:30:00,222.60672320658978,
2022-05-04 12:00:00,206.73590928008707,
2022-05-04 13:30:00,186.37646350646355,
2022-05-04 15:00:00,84.71308163948652,
2022-05-04 15:30:30,84.71308163948652,
2022-05-04 23:59:59,111.46404669807816,c
2022-05-05 00:00:00,151.07518069271646,
2022-05-05 10:00:00,226.47332969274703,
2022-05-05 10:30:00,234.90113185938117,
2022-05-05 12:00:00,276.0028582980394,
2022-05-05 13:30:00,222.31826036946404,
2022-05-05 15:00:00,258.87081963585933,
2022-05-05 15:30:30,258.87081963585933,
2022-05-05 23:59:59,217.65230309253093,c
2022-05-06 00:00:00,239.8621704149391,
2022-05-06 10:00:00,316.1195001600172,
2022-05-06 10:30:00,265.7581275922157,
2022-05-06 12:00:00,246.7184657826656,
2022-05-06 13:30:00,235.7671539844141,
2022-05-06 15:00:00,341.4445696076591,
2022-05-06 15:30:30,341.4445696076591,
2022-05-06 23:59:59,378.41090674818497,w
2022-05-09 00:00:00,428.2206774866818,
2022-05-09 10:00:00,476.93867665605376,
2022-05-09 10:30:00,522.6803965173003,
2022-05-09 12:00:00,397.27958666004906,
2022-05-09 13:30:00,380.21804487178997,
2022-05-09 15:00:00,412.7668652754028,
2022-05-09 15:30:30,412.7668652754028,
2022-05-09 23:59:59,416.0497153694914,c
2022-05-10 00:00:00,381.2868515755654,
2022-05-10 10:00:00,382.38471219895564,
2022-05-10 10:30:00,367.2661707025982,
2022-05-10 12:00:00,456.1897853024766,
2022-05-10 13:30:00,440.3857484572163,
2022-05-10 15:00:00,391.7103292814527,
2022-05-10 15:30:30,391.7103292814527,u
2022-05-10 23:59:59,375.5429708277752,c
2022-05-11 00:00:00,388.0131168291764,
2022-05-11 10:00:00,313.64857796630895,
2022-05-11 10:30:00,341.8989134928479,
2022-05-11 12:00:00,295.2769724443806,
2022-05-11 13:30:00,332.17972402679607,
2022-05-11 15:00:00,297.09234278562326,
2022-05-11 15:30:30,297.09234278562326,
2022-05-11 23:59:59,348.073234292744,c
2022-05-12 00:00:00,383.8550740238388,
2022-05-12 10:00:00,387.9445411204497,
2022-05-12 10:30:00,291.1675701704644,
2022-05-12 12:00:00,288.36695922756735,
2022-05-12 13:30:00,235.16521724835275,
2022-05-12 15:00:00,256.03272607463805,
2022-05-12 15:30:30,256.03272607463805,
2022-05-12 23:59:59,286.4743407215483,c
2022-05-13 00:00:00,255.63432601371733,
2022-05-13 10:00:00,362.5734439358557,
2022-05-13 10:30:00,241.7796978919141,
2022-05-13 12:00:00,298.71896300868866,
2022-05-13 13:30:00,273.51474948152554,
2022-05-13 15:00:00,279.06987658126764,
2022-05-13 15:30:30,279.06987658126764,
2022-05-13 23:59:59,330.72030237132185,w
2022-05-16 00:00:00,346.36787272316997,
2022-05-16 10:00:00,333.15235733006375,
2022-05-16 10:30:00,325.9007470647575,
2022-05-16 12:00:00,258.09493616603777,
2022-05-16 13:30:00,199.4779084411657,
2022-05-16 15:00:00,197.86308977325916,
2022-05-16 15:30:30,197.86308977325916,
2022-05-16 23:59:59,230.08202432503185,c
2022-05-17 00:00:00,188.72515716989074,
2022-05-17 10:00:00,189.21828471370827,
2022-05-17 10:30:00,148.65298460376107,
2022-05-17 12:00:00,106.30302883962304,
2022-05-17 13:30:00,98.57008025579944,
2022-05-17 15:00:00,68.33284313130025,
2022-05-17 15:30:30,68.33284313130025,
2022-05-17 23:59:59,52.6863704621328,c
2022-05-18 00:00:00,60.939434896893545,
2022-05-18 10:00:00,120.65513219305103,
2022-05-18 10:30:00,180.10794329809687,
2022-05-18 12:00:00,291.50692585804063,
2022-05-18 13:30:00,286.36048072379435,
2022-05-18 15:00:00,259.7955815797377,
2022-05-18 15:30:30,259.7955815797377,
2022-05-18 23:59:59,147.27776595187152,c
2022-05-19 00:00:00,198.19263242394936,
2022-05-19 10:00:00,166.86704961626856,
2022-05-19 10:30:00,145.33990514954348,
2022-05-19 12:00:00,98.96986499511877,
2022-05-19 13:30:00,74.3363607292431,
2022-05-19 15:00:00,5.34756184424441,
2022-05-19 15:30:30,5.34756184424441,
2022-05-19 23:59:59,15.688323309214866,c
2022-05-20 00:00:00,-16.55453274660431,
2022-05-20 10:00:00,-41.87244598282632,
2022-05-20 10:30:00,-35.98329570598435,
2022-05-20 12:00:00,9.882565566193989,
2022-05-20 13:30:00,29.28888214196286,
2022-05-20 15:00:00,-8.863448292971043,
2022-05-20 15:30:30,-8.863448292971043,
2022-05-20 23:59:59,0.0,a
2022-05-23 00:00:00,-55.75204040400786,
2022-05-23 10:00:00,-48.642169439061036,
2022-05-23 10:30:00,-60.45888119198298,
2022-05-23 12:00:00,-102.65645541624235,
2022-05-23 13:30:00,-35.16476625112227,
2022-05-23 15:00:00,-6.8945224077788225,
2022-05-23 15:30:30,-6.8945224077788225,
2022-05-23 23:59:59,13.895137377649917,c
2022-05-24 00:00:00,49.16036620058367,
2022-05-24 10:00:00,14.73585767057466,
2022-05-24 10:30:00,72.25310679767063,
2022-05-24 12:00:00,24.56595646300684,
2022-05-24 13:30:00,46.56278918332828,
2022-05-24 15:00:00,41.7935491946555,
2022-05-24 15:30:30,41.7935491946555,
2022-05-24 23:59:59,-34.08034991792829,c
2022-05-25 00:00:00,-10.59290862335456,
2022-05-25 10:00:00,-78.84319571490414,
2022-05-25 10:30:00,-81.52577416202712,
2022-05-25 12:00:00,-128.5848677867407,
2022-05-25 13:30:00,-145.53717785542904,
2022-05-25 15:00:00,-204.56408593920787,
2022-05-25 15:30:30,-204.56408593920787,
2022-05-25 23:59:59,-136.40537478558417,c
2022-05-26 00:00:00,-110.81049517040174,
2022-05-26 10:00:00,-124.15894095029125,
2022-05-26 10:30:00,-159.96936294626357,
2022-05-26 12:00:00,-182.1897473772524,
2022-05-26 13:30:00,-185.58610636935282,
2022-05-26 15:00:00,-205.07471860881924,
2022-05-26 15:30:30,-205.07471860881924,
2022-05-26 23:59:59,-202.87828875818923,c
2022-05-27 00:00:00,-180.8646882706862,
2022-05-27 10:00:00,-246.56844637339782,
2022-05-27 10:30:00,-256.4260651429704,
2022-05-27 12:00:00,-181.5559404119249,
2022-05-27 13:30:00,-212.8864864698062,
2022-05-27 15:00:00,-276.69159010261683,
2022-05-27 15:30:30,-276.69159010261683,
2022-05-27 23:59:59,-281.84779910082943,w
2022-05-30 00:00:00,-283.33626552809983,
2022-05-30 10:00:00,-214.07602010162645,
2022-05-30 10:30:00,-264.2484926134657,
2022-05-30 12:00:00,-185.82791928445658,
2022-05-30 13:30:00,-78.59966669540427,
2022-05-30 15:00:00,-154.55129688908164,
2022-05-30 15:30:30,-154.55129688908164,
2022-05-30 23:59:59,-141.49030967479302,c
2022-05-31 00:00:00,-147.11708383898167,
2022-05-31 10:00:00,-92.42629332222168,
2022-05-31 10:30:00,-73.79563714295273,
2022-05-31 12:00:00,-55.618045504320435,
2022-05-31 13:30:00,-77.52779593179821,
2022-05-31 15:00:00,23.860500543968556,
2022-05-31 15:30:30,23.860500543968556,m
2022-05-31 23:59:59,-37.13661018623225,c
2022-06-01 00:00:00,-30.189022641490737,
2022-06-01 10:00:00,6.0638824720026605,
2022-06-01 10:30:00,25.464828511810083,
2022-06-01 12:00:00,32.6304758067663,
2022-06-01 13:30:00,-14.90443980033615,
2022-06-01 15:00:00,-34.492909793951185,
2022-06-01 15:30:30,-34.492909793951185,
2022-06-01 23:59:59,-43.7294809416544,c
2022-06-02 00:00:00,-47.061806258359866,
2022-06-02 10:00:00,26.474627700414203,
2022-06-02 10:30:00,28.67716172735618,
2022-06-02 12:00:00,31.184405928582237,
2022-06-02 13:30:00,25.776552429851108,
2022-06-02 15:00:00,15.514494767060569,
2022-06-02 15:30:30,15.514494767060569,
2022-06-02 23:59:59,11.439315546538637,c
2022-06-03 00:00:00,43.36535571697823,
2022-06-03 10:00:00,78.76498884845387,
2022-06-03 10:30:00,86.89584847663627,
2022-06-03 12:00:00,111.7729630385511,
2022-06-03 13:30:00,115.13583465230477,
2022-06-03 15:00:00,90.06212157496702,
2022-06-03 15:30:30,90.06212157496702,
2022-06-03 23:59:59,77.4014505934756,w
2022-06-06 00:00:00,69.4013978948442,
2022-06-06 10:00:00,113.2577046245824,
2022-06-06 10:30:00,138.1415780136822,
2022-06-06 12:00:00,165.8401502705883,
2022-06-06 13:30:00,195.27221058640134,
2022-06-06 15:00:00,223.67395906907677,
2022-06-06 15:30:30,223.67395906907677,
2022-06-06 23:59:59,193.41124343587035,c
2022-06-07 00:00:00,222.17309629638748,
2022-06-07 10:00:00,272.02422663674224,
2022-06-07 10:30:00,283.5364818336884,
2022-06-07 12:00:00,301.3043939965155,
2022-06-07 13:30:00,262.77881546614844,
2022-06-07 15:00:00,242.47298500155466,
2022-06-07 15:30:30,242.47298500155466,u
2022-06-07 23:59:59,207.43411702650064,c
2022-06-08 00:00:00,217.09984125016035,
2022-06-08 10:00:00,227.9971006543583,
2022-06-08 10:30:00,238.5529191057949,
2022-06-08 12:00:00,254.89212466891058,
2022-06-08 13:30:00,249.1909587432665,
2022-06-08 15:00:00,277.1386257470058,
2022-06-08 15:30:30,277.1386257470058,
2022-06-08 23:59:59,269.9189989087663,c
2022-06-09 00:00:00,268.19412402533544,
2022-06-09 10:00:00,300.93310170483164,
2022-06-09 10:30:00,252.9984865919987,
2022-06-09 12:00:00,273.77621789307614,
2022-06-09 13:30:00,285.45905334919007,
2022-06-09 15:00:00,308.72014871397823,
2022-06-09 15:30:30,308.72014871397823,
2022-06-09 23:59:59,315.31297837766033,c
2022-06-10 00:00:00,339.1397693573763,
2022-06-10 10:00:00,424.5258131543824,
2022-06-10 10:30:00,456.0421235271242,
2022-06-10 12:00:00,444.5758158878143,
2022-06-10 13:30:00,414.34154005941764,
2022-06-10 15:00:00,406.1620807999552,
2022-06-10 15:30:30,406.1620807999552,
2022-06-10 23:59:59,386.81332664848105,w
2022-06-13 00:00:00,424.4650367924278,
2022-06-13 10:00:00,392.22812825679466,
2022-06-13 10:30:00,403.6820621560555,
2022-06-13 12:00:00,376.06598683751236,
2022-06-13 13:30:00,428.18446644918095,
2022-06-13 15:00:00,352.2133635000373,
2022-06-13 15:30:30,352.2133635000373,
2022-06-13 23:59:59,365.7500545819994,c
2022-06-14 00:00:00,317.9846598872173,
2022-06-14 10:00:00,299.5777389973191,
2022-06-14 10:30:00,358.901151192882,
2022-06-14 12:00:00,430.7398596840485,
2022-06-14 13:30:00,394.413087953556,
2022-06-14 15:00:00,397.86242849676546,
2022-06-14 15:30:30,397.86242849676546,
2022-06-14 23:59:59,388.6212361076814,c
2022-06-15 00:00:00,351.4646881299477,
2022-06-15 10:00:00,359.3114617193405,
2022-06-15 10:30:00,366.68315659628024,
2022-06-15 12:00:00,374.244283042377,
2022-06-15 13:30:00,383.82189364043734,
2022-06-15 15:00:00,271.40455506447233,
2022-06-15 15:30:30,271.40455506447233,
2022-06-15 23:59:59,356.43638069751796,c
2022-06-16 00:00:00,396.3530287143931,
2022-06-16 10:00:00,433.0932794410428,
2022-06-16 10:30:00,463.61193374628783,
2022-06-16 12:00:00,451.569778095718,
2022-06-16 13:30:00,389.07498165185825,
2022-06-16 15:00:00,391.64544149873655,
2022-06-16 15:30:30,391.64544149873655,
2022-06-16 23:59:59,416.2649992896322,c
2022-06-17 00:00:00,378.82536412047466,
2022-06-17 10:00:00,363.320105716989,
