date,EU_MSCI_QUAL_2022_Q4,meta
2022-10-14 00:00:00,52.27223029838797,
2022-10-14 03:30:00,55.592155306441214,
2022-10-14 04:00:00,70.18554354137791,
2022-10-14 06:00:00,57.54661021283914,
2022-10-14 08:00:00,53.12599928735881,
2022-10-14 10:30:00,39.64751896780956,
2022-10-14 11:00:00,46.07209372857437,
2022-10-14 23:59:59,53.84125938168722,w
2022-10-17 00:00:00,47.90027453267385,
2022-10-17 03:30:00,60.68694497364447,
2022-10-17 04:00:00,66.74433913143594,
2022-10-17 06:00:00,63.81046376104666,
2022-10-17 08:00:00,48.35749394878724,
2022-10-17 10:30:00,43.40019606599833,
2022-10-17 11:00:00,44.9576127993397,
2022-10-17 23:59:59,27.1722450445111,c
2022-10-18 00:00:00,31.07437026461855,
2022-10-18 03:30:00,48.390307650004615,
2022-10-18 04:00:00,54.532917233148396,
2022-10-18 06:00:00,39.313557412160094,
2022-10-18 08:00:00,49.870958876275154,
2022-10-18 10:30:00,37.062009931046646,
2022-10-18 11:00:00,31.17469745964479,
2022-10-18 23:59:59,24.047771083963767,c
2022-10-19 00:00:00,20.369028913462557,
2022-10-19 03:30:00,2.893586643772892,
2022-10-19 04:00:00,-4.047888044855199,
2022-10-19 06:00:00,-5.226579085384856,
2022-10-19 08:00:00,-11.655682972820387,
2022-10-19 10:30:00,12.408773916542941,
2022-10-19 11:00:00,10.798926923895806,
2022-10-19 23:59:59,14.707088052610288,c
2022-10-20 00:00:00,4.453933633312204,
2022-10-20 03:30:00,-13.354075328714544,
2022-10-20 04:00:00,-12.009643216783047,
2022-10-20 06:00:00,-21.36282950348925,
2022-10-20 08:00:00,-7.799394458523352,
2022-10-20 10:30:00,8.849207855819486,
2022-10-20 11:00:00,8.14091567576861,
2022-10-20 23:59:59,3.671709402859733,c
2022-10-21 00:00:00,-7.710179823433577,
2022-10-21 03:30:00,-15.576428935613194,
2022-10-21 04:00:00,-19.047211699407285,
2022-10-21 06:00:00,-31.384183410349692,
2022-10-21 08:00:00,-29.383538809188735,
2022-10-21 10:30:00,-22.585665721704345,
2022-10-21 11:00:00,-20.225541509862182,
2022-10-21 23:59:59,-25.195714252352786,w
2022-10-24 00:00:00,-27.485916513951906,
2022-10-24 03:30:00,-35.54100675450695,
2022-10-24 04:00:00,-33.26210323858527,
2022-10-24 06:00:00,-37.63528249773208,
