date,AS_SDGPEX_2022_Q1,meta
2022-03-11 00:00:00,12.449470243771188,
2022-03-11 01:00:00,8.30655257590736,
2022-03-11 02:30:00,2.124499881635373,
2022-03-11 03:00:00,2.6721588280796453,
2022-03-11 18:30:00,2.6721588280796453,
2022-03-11 20:00:00,2.6721588280796453,
2022-03-11 23:00:00,2.6721588280796453,
2022-03-11 23:59:59,0.0,a
2022-03-14 00:00:00,52.40916257175937,
2022-03-14 01:00:00,53.06633493340343,
2022-03-14 02:30:00,62.99057919853754,
2022-03-14 03:00:00,73.28791117597049,
2022-03-14 18:30:00,85.57798553262593,
2022-03-14 20:00:00,73.46585402154926,
2022-03-14 23:00:00,-0.3629071958876722,
2022-03-14 23:59:59,22.929855654690584,c
2022-03-15 00:00:00,24.01124587231493,
2022-03-15 01:00:00,23.72606282890419,
2022-03-15 02:30:00,29.759513840272064,
2022-03-15 03:00:00,43.369260371858545,
2022-03-15 18:30:00,40.4454412276269,
2022-03-15 20:00:00,45.533301390434715,
2022-03-15 23:00:00,14.618534377978676,
2022-03-15 23:59:59,10.870209232227765,c
2022-03-16 00:00:00,0.15285754654229322,
2022-03-16 01:00:00,3.678410685829718,
2022-03-16 02:30:00,-40.720135222924085,
2022-03-16 03:00:00,-47.693060262840106,
2022-03-16 18:30:00,-50.53316634736322,
2022-03-16 20:00:00,-52.87761962960886,
2022-03-16 23:00:00,-36.70727894540147,
2022-03-16 23:59:59,-30.80961063600273,c
2022-03-17 00:00:00,-54.41882662828897,
2022-03-17 01:00:00,-57.77311814232763,
2022-03-17 02:30:00,-36.084040950777194,
2022-03-17 03:00:00,-32.26771268082848,
2022-03-17 18:30:00,-39.339912742704,
2022-03-17 20:00:00,-25.527667333194387,
2022-03-17 23:00:00,-4.124069755681489,
2022-03-17 23:59:59,10.472409359968907,c
2022-03-18 00:00:00,20.882704424110756,
2022-03-18 01:00:00,19.363293113927796,
2022-03-18 02:30:00,-7.22054550571913,
2022-03-18 03:00:00,-2.9710322780753273,
2022-03-18 18:30:00,-2.9710322780753273,
2022-03-18 20:00:00,-2.9710322780753273,
2022-03-18 23:00:00,-2.9710322780753273,
2022-03-18 23:59:59,3.7096030617402533,e
2022-03-21 00:00:00,-25.006854200307686,
2022-03-21 01:00:00,-25.042879342088483,
2022-03-21 02:30:00,-12.165107035371449,
2022-03-21 03:00:00,-12.31051748698691,
2022-03-21 18:30:00,-12.50483033486529,
2022-03-21 20:00:00,-12.231580541570935,
2022-03-21 23:00:00,-29.920321641925682,
2022-03-21 23:59:59,-21.416364011911114,c
2022-03-22 00:00:00,-17.934587016283444,
2022-03-22 01:00:00,-23.68164406602172,
2022-03-22 02:30:00,-37.287070771442814,
2022-03-22 03:00:00,-33.48817008546308,
2022-03-22 18:30:00,-44.52331850797603,
2022-03-22 20:00:00,-43.14074315308139,
2022-03-22 23:00:00,-89.41739327974958,
2022-03-22 23:59:59,-89.11505533117014,c
2022-03-23 00:00:00,-106.70736641146436,
2022-03-23 01:00:00,-105.46922021330062,
2022-03-23 02:30:00,-95.44170418759498,
2022-03-23 03:00:00,-93.55475570636034,
2022-03-23 18:30:00,-87.12553375845997,
2022-03-23 20:00:00,-89.24177363413023,
2022-03-23 23:00:00,-146.68035799919534,
2022-03-23 23:59:59,-159.19012965892435,c
2022-03-24 00:00:00,-162.2912483792127,
2022-03-24 01:00:00,-168.6158848796554,
2022-03-24 02:30:00,-173.52901873826144,
2022-03-24 03:00:00,-165.69332804749334,
2022-03-24 18:30:00,-164.9555575947745,
2022-03-24 20:00:00,-167.97792665056377,
2022-03-24 23:00:00,-104.26150062691889,
2022-03-24 23:59:59,-101.07347013032103,c
2022-03-25 00:00:00,-105.60508354838521,
2022-03-25 01:00:00,-110.55408222530838,
2022-03-25 02:30:00,-91.9691766902701,
2022-03-25 03:00:00,-96.84258665615593,
2022-03-25 18:30:00,-96.84258665615593,
2022-03-25 20:00:00,-96.84258665615593,
2022-03-25 23:00:00,-96.84258665615593,
2022-03-25 23:59:59,-93.56461839774161,w
2022-03-28 00:00:00,-116.50865356144448,
2022-03-28 01:00:00,-117.64462878906335,
2022-03-28 02:30:00,-107.2694223214773,
2022-03-28 03:00:00,-105.72696083703798,
2022-03-28 18:30:00,-101.36184755201103,
2022-03-28 20:00:00,-109.30979141360993,
2022-03-28 23:00:00,-104.15903290975302,
2022-03-28 23:59:59,-114.76570661671283,c
2022-03-29 00:00:00,-131.8910707823823,
2022-03-29 01:00:00,-133.22454222262655,
2022-03-29 02:30:00,-143.76354810151003,
2022-03-29 03:00:00,-144.3845694392873,
2022-03-29 18:30:00,-140.08720102348377,
2022-03-29 20:00:00,-137.35777341549533,
2022-03-29 23:00:00,-96.03270375135409,
2022-03-29 23:59:59,-102.57687631243098,c
2022-03-30 00:00:00,-128.71237781398696,
2022-03-30 01:00:00,-113.120767737768,
2022-03-30 02:30:00,-118.57556918617556,
2022-03-30 03:00:00,-119.24861113088966,
2022-03-30 18:30:00,-119.0050053356637,
2022-03-30 20:00:00,-106.3627464133805,
2022-03-30 23:00:00,-53.96076387282696,
2022-03-30 23:59:59,-43.08643597257415,c
2022-03-31 00:00:00,-45.1202727742282,
2022-03-31 01:00:00,-47.0846308110425,
2022-03-31 02:30:00,-41.60097585521265,
2022-03-31 03:00:00,-45.55236028728436,
2022-03-31 18:30:00,-41.59518877700103,
2022-03-31 20:00:00,-48.971612121046206,
2022-03-31 23:00:00,-126.12029889878193,
2022-03-31 23:59:59,-110.28524544640607,c
2022-04-01 00:00:00,-87.50856820787965,
2022-04-01 01:00:00,-83.68180375281014,
2022-04-01 02:30:00,-81.56227872678568,
2022-04-01 03:00:00,-84.4135796669421,
2022-04-01 18:30:00,-84.4135796669421,
2022-04-01 20:00:00,-84.4135796669421,
2022-04-01 23:00:00,-84.4135796669421,
2022-04-01 23:59:59,-83.609414656437,w
