date,GDX_US_2021_Q1,meta
2021-02-19 00:00:00,-106.96311232926382,
2021-02-19 10:00:00,-145.993585806817,
2021-02-19 10:30:00,-183.21898800894633,
2021-02-19 12:00:00,-170.92126031167572,
2021-02-19 13:30:00,-205.40267875347217,
2021-02-19 15:00:00,-210.03018543858752,
2021-02-19 15:30:30,-210.03018543858752,
2021-02-19 23:59:59,-179.4938412139304,w
2021-02-22 00:00:00,-143.49102773149707,
2021-02-22 10:00:00,-141.40215670601629,
2021-02-22 10:30:00,-149.59638759592872,
2021-02-22 12:00:00,-141.02504386363944,
2021-02-22 13:30:00,-115.82797333496319,
2021-02-22 15:00:00,-109.59220990926588,
2021-02-22 15:30:30,-109.59220990926588,
2021-02-22 23:59:59,-102.53670350606217,c
2021-02-23 00:00:00,-101.58758207446954,
2021-02-23 10:00:00,-187.43371546943536,
2021-02-23 10:30:00,-165.51583437716818,
2021-02-23 12:00:00,-153.5448801151215,
2021-02-23 13:30:00,-150.13444138414252,
2021-02-23 15:00:00,-142.00590101829857,
2021-02-23 15:30:30,-142.00590101829857,
2021-02-23 23:59:59,-149.61194143661805,c
2021-02-24 00:00:00,-173.8765399921581,
2021-02-24 10:00:00,-181.595015711418,
2021-02-24 10:30:00,-152.37891894719996,
2021-02-24 12:00:00,-151.64545748543605,
2021-02-24 13:30:00,-143.5167390504248,
2021-02-24 15:00:00,-160.12706941096258,
2021-02-24 15:30:30,-160.12706941096258,
2021-02-24 23:59:59,-185.7937159675871,c
2021-02-25 00:00:00,-196.4921456416737,
2021-02-25 10:00:00,-161.50883524039364,
2021-02-25 10:30:00,-199.59813375206795,
2021-02-25 12:00:00,-240.74723543304617,
2021-02-25 13:30:00,-251.6394773283614,
2021-02-25 15:00:00,-256.64059108104675,
2021-02-25 15:30:30,-256.64059108104675,
2021-02-25 23:59:59,-250.03491048299065,c
2021-02-26 00:00:00,-279.1621186586126,
2021-02-26 10:00:00,-304.8872850819225,
2021-02-26 10:30:00,-334.25524335193495,
2021-02-26 12:00:00,-320.45063165515785,
2021-02-26 13:30:00,-336.8094908000944,
2021-02-26 15:00:00,-344.0398738071567,
2021-02-26 15:30:30,-344.0398738071567,s
2021-02-26 23:59:59,-355.8252855672249,w
2021-03-01 00:00:00,-309.443347328091,
2021-03-01 10:00:00,-297.53031721291563,
2021-03-01 10:30:00,-298.4080361569154,
2021-03-01 12:00:00,-305.6335184011291,
2021-03-01 13:30:00,-310.45341174232544,
2021-03-01 15:00:00,-295.6059715834963,
2021-03-01 15:30:30,-295.6059715834963,
2021-03-01 23:59:59,-298.0995364870623,c
2021-03-02 00:00:00,-278.9949395058775,
2021-03-02 10:00:00,-260.38601174357836,
2021-03-02 10:30:00,-246.04950327035704,
2021-03-02 12:00:00,-201.94062219157968,
2021-03-02 13:30:00,-162.2637478966608,
2021-03-02 15:00:00,-132.71289793541973,
2021-03-02 15:30:30,-132.71289793541973,
2021-03-02 23:59:59,-143.63628312607716,c
2021-03-03 00:00:00,-203.20461246840614,
2021-03-03 10:00:00,-269.8958274769011,
2021-03-03 10:30:00,-257.01106825629677,
2021-03-03 12:00:00,-235.72384494119297,
2021-03-03 13:30:00,-229.44524579713652,
2021-03-03 15:00:00,-242.85692463105443,
2021-03-03 15:30:30,-242.85692463105443,
2021-03-03 23:59:59,-243.08071307906448,c
2021-03-04 00:00:00,-241.64803376420878,
2021-03-04 10:00:00,-255.09201905535792,
2021-03-04 10:30:00,-233.897710945972,
2021-03-04 12:00:00,-220.02297967583718,
2021-03-04 13:30:00,-270.07959452919386,
2021-03-04 15:00:00,-267.24702911876693,
2021-03-04 15:30:30,-267.24702911876693,
2021-03-04 23:59:59,-289.20055806517666,c
2021-03-05 00:00:00,-280.3515015557482,
2021-03-05 10:00:00,-307.52270948935757,
2021-03-05 10:30:00,-289.2597246986302,
2021-03-05 12:00:00,-303.87047085774657,
2021-03-05 13:30:00,-285.6200958579284,
2021-03-05 15:00:00,-277.51778147910727,
2021-03-05 15:30:30,-277.51778147910727,
2021-03-05 23:59:59,-258.57461434492734,w
2021-03-08 00:00:00,-225.20851371411163,
2021-03-08 10:00:00,-275.27313629189166,
2021-03-08 10:30:00,-257.0599716624679,
2021-03-08 12:00:00,-298.60901582445285,
2021-03-08 13:30:00,-288.6480843407894,
2021-03-08 15:00:00,-289.66824886161066,
2021-03-08 15:30:30,-289.66824886161066,
2021-03-08 23:59:59,-313.66402924199156,c
2021-03-09 00:00:00,-227.7506517829638,
2021-03-09 10:00:00,-186.20212407724512,
2021-03-09 10:30:00,-188.23495404207324,
2021-03-09 12:00:00,-218.14185640163123,
2021-03-09 13:30:00,-206.26065297704872,
2021-03-09 15:00:00,-194.4582774545961,
2021-03-09 15:30:30,-194.4582774545961,
2021-03-09 23:59:59,-220.20097779218395,c
2021-03-10 00:00:00,-186.555854844451,
2021-03-10 10:00:00,-189.30725352859963,
2021-03-10 10:30:00,-187.268763312974,
2021-03-10 12:00:00,-147.80419273095185,
2021-03-10 13:30:00,-132.3942764248991,
2021-03-10 15:00:00,-131.87360353348868,
2021-03-10 15:30:30,-131.87360353348868,
2021-03-10 23:59:59,-141.65756743625207,c
2021-03-11 00:00:00,-135.6018359418258,
2021-03-11 10:00:00,-145.57248671460047,
2021-03-11 10:30:00,-105.95720447448093,
2021-03-11 12:00:00,-97.03605932151231,
2021-03-11 13:30:00,-93.94463345819668,
2021-03-11 15:00:00,-92.5153721446436,
2021-03-11 15:30:30,-92.5153721446436,
2021-03-11 23:59:59,-86.37887804991487,c
2021-03-12 00:00:00,-128.87108046234653,
2021-03-12 10:00:00,-96.40911430923734,
2021-03-12 10:30:00,-89.7987666779054,
2021-03-12 12:00:00,-48.9076394398262,
2021-03-12 13:30:00,-34.44757959516255,
2021-03-12 15:00:00,-12.182104361964775,
2021-03-12 15:30:30,-12.182104361964775,
2021-03-12 23:59:59,0.0,a
2021-03-15 00:00:00,45.17286781132225,
2021-03-15 10:00:00,91.44760018581246,
2021-03-15 10:30:00,76.3059492213738,
2021-03-15 12:00:00,128.51255300773164,
2021-03-15 13:30:00,134.3016003210546,
2021-03-15 15:00:00,130.62530587602942,
2021-03-15 15:30:30,130.62530587602942,
2021-03-15 23:59:59,127.0048807355247,c
2021-03-16 00:00:00,119.15587737437318,
2021-03-16 10:00:00,123.1335062494527,
2021-03-16 10:30:00,130.09391284035974,
2021-03-16 12:00:00,142.95626222290593,
2021-03-16 13:30:00,162.59377549264264,
2021-03-16 15:00:00,166.79384612422155,
2021-03-16 15:30:30,166.79384612422155,
2021-03-16 23:59:59,152.90721671512756,c
2021-03-17 00:00:00,136.29289073427663,
2021-03-17 10:00:00,136.3958696252239,
2021-03-17 10:30:00,148.17672308104966,
2021-03-17 12:00:00,151.76350543136323,
2021-03-17 13:30:00,168.34032768754423,
2021-03-17 15:00:00,210.21820467455336,
2021-03-17 15:30:30,210.21820467455336,
