date,CRSP_MICRO_HEDGED_2022_Q1,meta
2022-01-21 00:00:00,-252.42010445938195,
2022-01-21 10:00:00,-339.476976942874,
2022-01-21 10:30:00,-307.3672247002987,
2022-01-21 12:00:00,-320.71952138994584,
2022-01-21 13:30:00,-279.03656580308234,
2022-01-21 15:00:00,-260.6603811898767,
2022-01-21 15:30:30,-260.6603811898767,
2022-01-21 23:59:59,-228.85486665782355,w
2022-01-24 00:00:00,-96.3481426020835,
2022-01-24 10:00:00,-93.4233040451536,
2022-01-24 10:30:00,-107.86611826829176,
2022-01-24 12:00:00,-123.0144022706072,
2022-01-24 13:30:00,-120.49424749569607,
2022-01-24 15:00:00,-283.84518779694645,
2022-01-24 15:30:30,-283.84518779694645,
2022-01-24 23:59:59,-439.0500989235452,c
2022-01-25 00:00:00,-321.3671701181629,
2022-01-25 10:00:00,-200.91450207123762,
2022-01-25 10:30:00,-286.59630719183315,
2022-01-25 12:00:00,-235.9449443319163,
2022-01-25 13:30:00,-291.18680671026505,
2022-01-25 15:00:00,-465.2002862922609,
2022-01-25 15:30:30,-465.2002862922609,
2022-01-25 23:59:59,-341.84868034104784,c
2022-01-26 00:00:00,-450.66507166873816,
2022-01-26 10:00:00,-457.0424035955821,
2022-01-26 10:30:00,-397.0055970301728,
2022-01-26 12:00:00,-484.1374324150893,
2022-01-26 13:30:00,-471.12545058983414,
2022-01-26 15:00:00,-289.9554403301927,
2022-01-26 15:30:30,-289.9554403301927,
2022-01-26 23:59:59,-174.48268330067276,c
2022-01-27 00:00:00,-263.22301162242456,
2022-01-27 10:00:00,-257.45205078242634,
2022-01-27 10:30:00,-128.73576139670968,
2022-01-27 12:00:00,-127.0225609889767,
2022-01-27 13:30:00,-5.206557800363953,
2022-01-27 15:00:00,16.5464683543114,
2022-01-27 15:30:30,16.5464683543114,
2022-01-27 23:59:59,53.22327243425207,c
2022-01-28 00:00:00,29.769524975644345,
2022-01-28 10:00:00,94.47051587677652,
2022-01-28 10:30:00,80.74800414133097,
2022-01-28 12:00:00,-71.28100221826571,
2022-01-28 13:30:00,-14.375779735868491,
2022-01-28 15:00:00,-24.188267250788158,
2022-01-28 15:30:30,-24.188267250788158,
2022-01-28 23:59:59,-206.81661846282896,w
2022-01-31 00:00:00,-203.54479494557927,
2022-01-31 10:00:00,-277.61691313053416,
2022-01-31 10:30:00,-280.7247601986319,
2022-01-31 12:00:00,-346.81638990758074,
2022-01-31 13:30:00,-372.2451307406791,
2022-01-31 15:00:00,-390.8895232883251,
2022-01-31 15:30:30,-390.8895232883251,
2022-01-31 23:59:59,-463.12477982153905,c
2022-02-01 00:00:00,-493.657844490941,
2022-02-01 10:00:00,-394.1199147430307,
2022-02-01 10:30:00,-440.2982689558812,
2022-02-01 12:00:00,-538.1102350616029,
2022-02-01 13:30:00,-510.8567815062979,
2022-02-01 15:00:00,-462.8541239965343,
2022-02-01 15:30:30,-462.8541239965343,
2022-02-01 23:59:59,-530.5772874993017,c
2022-02-02 00:00:00,-525.3762729458886,
2022-02-02 10:00:00,-442.0234728708665,
2022-02-02 10:30:00,-401.87425595679997,
2022-02-02 12:00:00,-418.18174765454023,
2022-02-02 13:30:00,-417.5087811910471,
2022-02-02 15:00:00,-410.2846451181458,
2022-02-02 15:30:30,-410.2846451181458,
2022-02-02 23:59:59,-412.07955663935354,c
2022-02-03 00:00:00,-303.1121743862914,
2022-02-03 10:00:00,-300.2118864248687,
2022-02-03 10:30:00,-365.12095019750177,
2022-02-03 12:00:00,-288.3738979648042,
2022-02-03 13:30:00,-306.33147528256177,
2022-02-03 15:00:00,-284.35290053844983,
2022-02-03 15:30:30,-284.35290053844983,
2022-02-03 23:59:59,-252.82143974413793,c
2022-02-04 00:00:00,-237.01031635336494,
2022-02-04 10:00:00,-197.28461413251352,
2022-02-04 10:30:00,-216.58501241617614,
2022-02-04 12:00:00,-224.76534141257252,
2022-02-04 13:30:00,-312.3360362747235,
2022-02-04 15:00:00,-318.5497179672275,
2022-02-04 15:30:30,-318.5497179672275,
2022-02-04 23:59:59,-292.2525958857541,w
2022-02-07 00:00:00,-290.29257353133016,
2022-02-07 10:00:00,-463.7512355720528,
2022-02-07 10:30:00,-385.8306502443502,
2022-02-07 12:00:00,-378.77374821968897,
2022-02-07 13:30:00,-428.61431096852266,
2022-02-07 15:00:00,-466.0649995317972,
2022-02-07 15:30:30,-466.0649995317972,
2022-02-07 23:59:59,-434.02242234263394,c
2022-02-08 00:00:00,-409.5510060259976,
2022-02-08 10:00:00,-378.7415408190318,
2022-02-08 10:30:00,-374.50154076371564,
2022-02-08 12:00:00,-446.7834421123416,
2022-02-08 13:30:00,-461.49577213906923,
2022-02-08 15:00:00,-421.5768406253401,
2022-02-08 15:30:30,-421.5768406253401,
2022-02-08 23:59:59,-492.36131456351995,c
2022-02-09 00:00:00,-565.4925353447707,
2022-02-09 10:00:00,-635.0696912371432,
2022-02-09 10:30:00,-655.4971300159859,
2022-02-09 12:00:00,-673.7179556916872,
2022-02-09 13:30:00,-688.0891001043392,
2022-02-09 15:00:00,-691.2053117756332,
2022-02-09 15:30:30,-691.2053117756332,
2022-02-09 23:59:59,-709.8447142505238,c
2022-02-10 00:00:00,-543.8612496057085,
2022-02-10 10:00:00,-673.1268397465055,
2022-02-10 10:30:00,-700.9304452062515,
2022-02-10 12:00:00,-781.5421670925716,
2022-02-10 13:30:00,-679.943823828944,
2022-02-10 15:00:00,-556.8801853905024,
2022-02-10 15:30:30,-556.8801853905024,
2022-02-10 23:59:59,-530.984046447923,c
2022-02-11 00:00:00,-542.7947747279641,
2022-02-11 10:00:00,-528.842177141616,
2022-02-11 10:30:00,-595.2753772797241,
2022-02-11 12:00:00,-535.6530155403343,
2022-02-11 13:30:00,-481.6425249595677,
2022-02-11 15:00:00,-381.9265281402568,
2022-02-11 15:30:30,-381.9265281402568,
2022-02-11 23:59:59,-410.92155338377233,w
2022-02-14 00:00:00,-432.33244881808514,
2022-02-14 10:00:00,-452.94852887424986,
2022-02-14 10:30:00,-408.30408919457204,
2022-02-14 12:00:00,-462.17412083774525,
2022-02-14 13:30:00,-438.55283893277283,
2022-02-14 15:00:00,-446.85578665717367,
2022-02-14 15:30:30,-446.85578665717367,
2022-02-14 23:59:59,-397.6619340725374,c
2022-02-15 00:00:00,-496.26690023006176,
2022-02-15 10:00:00,-571.4926245385786,
2022-02-15 10:30:00,-520.7548293252294,
2022-02-15 12:00:00,-568.553075192719,
2022-02-15 13:30:00,-559.8538850494415,
2022-02-15 15:00:00,-578.9786255137424,
2022-02-15 15:30:30,-578.9786255137424,
2022-02-15 23:59:59,-590.1194634632138,c
2022-02-16 00:00:00,-547.9752922698017,
2022-02-16 10:00:00,-485.0568738567872,
2022-02-16 10:30:00,-500.4427696780913,
2022-02-16 12:00:00,-467.6125196740077,
2022-02-16 13:30:00,-448.3391869825973,
2022-02-16 15:00:00,-537.002648569317,
2022-02-16 15:30:30,-537.002648569317,
2022-02-16 23:59:59,-541.5682806069581,c
2022-02-17 00:00:00,-417.85896602719185,
2022-02-17 10:00:00,-346.88156177243127,
2022-02-17 10:30:00,-306.79831542122065,
2022-02-17 12:00:00,-315.6502398354678,
2022-02-17 13:30:00,-345.18375211705643,
2022-02-17 15:00:00,-291.33535724628564,
2022-02-17 15:30:30,-291.33535724628564,
2022-02-17 23:59:59,-243.4032266725617,c
2022-02-18 00:00:00,-220.73455161679885,
2022-02-18 10:00:00,-299.04168131827555,
2022-02-18 10:30:00,-235.04083627079945,
2022-02-18 12:00:00,-177.4180076723478,
2022-02-18 13:30:00,-178.8016284093601,
2022-02-18 15:00:00,-266.107807428064,
2022-02-18 15:30:30,-266.107807428064,
2022-02-18 23:59:59,-210.26208411256357,w
2022-02-21 00:00:00,-210.26208411256357,
2022-02-21 10:00:00,-210.26208411256357,
2022-02-21 10:30:00,-210.26208411256357,
2022-02-21 12:00:00,-210.26208411256357,
2022-02-21 13:30:00,-210.26208411256357,
2022-02-21 15:00:00,-210.26208411256357,
