date,R1_STAY_HEDGED_2022_Q3,meta
2022-07-29 10:30:00,103.19341096009128,
2022-07-29 12:00:00,92.7482331842165,
2022-07-29 13:30:00,98.09387280017955,
2022-07-29 15:00:00,103.68040663434974,
2022-07-29 15:30:30,103.68040663434974,
2022-07-29 23:59:59,110.90962505972712,w
2022-08-01 00:00:00,109.18028000961561,
2022-08-01 10:00:00,107.86115103876531,
2022-08-01 10:30:00,112.18403731514866,
2022-08-01 12:00:00,117.50777476672584,
2022-08-01 13:30:00,103.77461921923307,
2022-08-01 15:00:00,121.75201648294541,
2022-08-01 15:30:30,121.75201648294541,
2022-08-01 23:59:59,116.40339064715658,c
2022-08-02 00:00:00,82.69166039404277,
2022-08-02 10:00:00,78.73545792845806,
2022-08-02 10:30:00,75.92043521832537,
2022-08-02 12:00:00,85.6510374050008,
2022-08-02 13:30:00,101.37078645560959,
2022-08-02 15:00:00,107.05651262745477,
2022-08-02 15:30:30,107.05651262745477,
2022-08-02 23:59:59,90.83937607903508,c
2022-08-03 00:00:00,69.92405421577885,
2022-08-03 10:00:00,41.82957467891262,
2022-08-03 10:30:00,38.99798613287305,
2022-08-03 12:00:00,32.97246667344501,
2022-08-03 13:30:00,56.27067810120215,
2022-08-03 15:00:00,62.731675201484535,
2022-08-03 15:30:30,62.731675201484535,
2022-08-03 23:59:59,58.384154333029784,c
2022-08-04 00:00:00,2.582948019397037,
2022-08-04 10:00:00,24.579985441900476,
2022-08-04 10:30:00,34.730533289458236,
2022-08-04 12:00:00,24.811513613058338,
2022-08-04 13:30:00,25.34367140721585,
2022-08-04 15:00:00,24.76176543401249,
2022-08-04 15:30:30,24.76176543401249,
2022-08-04 23:59:59,21.400764007326472,c
2022-08-05 00:00:00,19.593223728746807,
2022-08-05 10:00:00,28.975841939415716,
2022-08-05 10:30:00,60.72302303714838,
2022-08-05 12:00:00,19.478657252162748,
2022-08-05 13:30:00,27.807583418280245,
2022-08-05 15:00:00,23.85929764874794,
2022-08-05 15:30:30,23.85929764874794,
2022-08-05 23:59:59,31.681860286110634,w
2022-08-08 00:00:00,37.55950865917447,
2022-08-08 10:00:00,86.94867636350426,
2022-08-08 10:30:00,80.74879463818434,
2022-08-08 12:00:00,89.46427097434582,
2022-08-08 13:30:00,89.74309172592783,
2022-08-08 15:00:00,87.10758776990014,
2022-08-08 15:30:30,87.10758776990014,
2022-08-08 23:59:59,90.02939171892146,c
2022-08-09 00:00:00,87.31199100999632,
2022-08-09 10:00:00,84.98853303508676,
2022-08-09 10:30:00,82.40635575970782,
2022-08-09 12:00:00,71.31694074519783,
