date,BRL_ICLN_2022_Q4,meta
2022-09-09 00:00:00,-531.8954207644164,
2022-09-09 10:00:00,-521.760483057946,
2022-09-09 10:30:00,-498.3465172449646,
2022-09-09 12:00:00,-483.60456044475495,
2022-09-09 13:30:00,-519.5408646412777,
2022-09-09 15:00:00,-499.50369580633867,
2022-09-09 15:30:30,-499.50369580633867,
2022-09-09 23:59:59,-561.5760355325515,w
2022-09-12 00:00:00,-553.5185338164813,
2022-09-12 10:00:00,-483.776604781777,
2022-09-12 10:30:00,-481.58133939707864,
2022-09-12 12:00:00,-442.62525801852576,
2022-09-12 13:30:00,-485.38225216996716,
2022-09-12 15:00:00,-482.618191362242,
2022-09-12 15:30:30,-482.618191362242,
2022-09-12 23:59:59,-549.2455579889522,c
2022-09-13 00:00:00,-456.77944835488347,
2022-09-13 10:00:00,-454.8471659011361,
2022-09-13 10:30:00,-401.3175876041953,
2022-09-13 12:00:00,-465.0073716550396,
2022-09-13 13:30:00,-456.8615271776289,
2022-09-13 15:00:00,-480.1091150319353,
2022-09-13 15:30:30,-480.1091150319353,
2022-09-13 23:59:59,-473.28021870278894,c
2022-09-14 00:00:00,-467.5846370968975,
2022-09-14 10:00:00,-511.3080276719081,
2022-09-14 10:30:00,-496.5263278667526,
2022-09-14 12:00:00,-526.4829321549906,
2022-09-14 13:30:00,-535.1199847936855,
2022-09-14 15:00:00,-520.7255756588976,
2022-09-14 15:30:30,-520.7255756588976,
2022-09-14 23:59:59,-531.3297956361483,c
2022-09-15 00:00:00,-472.83680961862433,
2022-09-15 10:00:00,-515.5809322889111,
2022-09-15 10:30:00,-515.1631696398853,
2022-09-15 12:00:00,-528.088042979476,
2022-09-15 13:30:00,-540.6512437014298,
2022-09-15 15:00:00,-540.4454517710218,
2022-09-15 15:30:30,-540.4454517710218,
2022-09-15 23:59:59,-492.87265329237994,c
2022-09-16 00:00:00,-421.4475234411584,
2022-09-16 10:00:00,-414.9359946509446,
2022-09-16 10:30:00,-445.6338637720419,
2022-09-16 12:00:00,-497.75358818076256,
2022-09-16 13:30:00,-503.60547806068325,
2022-09-16 15:00:00,-485.69844395217433,
2022-09-16 15:30:30,-485.69844395217433,s
2022-09-16 23:59:59,-542.9054468529782,w
2022-09-19 00:00:00,-470.96909824374984,
2022-09-19 10:00:00,-520.8869380001565,
2022-09-19 10:30:00,-539.9685947518378,
2022-09-19 12:00:00,-418.2564863890932,
2022-09-19 13:30:00,-462.62894353569277,
2022-09-19 15:00:00,-474.2208522920671,
2022-09-19 15:30:30,-474.2208522920671,
2022-09-19 23:59:59,-566.2176088292731,c
2022-09-20 00:00:00,-502.4622333261291,
2022-09-20 10:00:00,-513.9236520992729,
