date,EU_SDGPEX_2022_Q2,meta
2022-05-24 00:00:00,-274.27357005238184,
2022-05-24 03:30:00,-232.47109131756815,
2022-05-24 04:00:00,-235.65577757543315,
2022-05-24 06:00:00,-184.41158247865985,
2022-05-24 08:00:00,-210.65139744252212,
2022-05-24 10:30:00,-223.5577007555719,
2022-05-24 11:00:00,-240.0789240477352,
2022-05-24 23:59:59,-263.70089301320127,c
2022-05-25 00:00:00,-264.0463800871519,
2022-05-25 03:30:00,-234.3963528119083,
2022-05-25 04:00:00,-217.81921443439012,
2022-05-25 06:00:00,-213.92527682648722,
2022-05-25 08:00:00,-200.47992624192955,
2022-05-25 10:30:00,-223.795495477548,
2022-05-25 11:00:00,-234.38063958774399,
2022-05-25 23:59:59,-240.81446108938758,c
2022-05-26 00:00:00,-245.85216078056055,
2022-05-26 03:30:00,-239.63469723343655,
2022-05-26 04:00:00,-223.18446559648828,
2022-05-26 06:00:00,-207.16128264593112,
2022-05-26 08:00:00,-178.8644336167754,
2022-05-26 10:30:00,-130.2213677131565,
2022-05-26 11:00:00,-103.89690228043685,
2022-05-26 23:59:59,-109.70474188297021,c
2022-05-27 00:00:00,-104.9846546815404,
2022-05-27 03:30:00,-72.22473926332293,
2022-05-27 04:00:00,-88.26593341581543,
2022-05-27 06:00:00,-77.24170685885463,
2022-05-27 08:00:00,-94.15814329879117,
2022-05-27 10:30:00,-77.446561545073,
2022-05-27 11:00:00,-72.97891657686387,
2022-05-27 23:59:59,-86.5572492366116,w
2022-05-30 00:00:00,-76.83565690026114,
2022-05-30 03:30:00,-76.3580761081414,
2022-05-30 04:00:00,-60.86992233453054,
2022-05-30 06:00:00,-35.02812980060537,
2022-05-30 08:00:00,-41.18485959265604,
2022-05-30 10:30:00,-27.359286827301958,
2022-05-30 11:00:00,-17.41998127279794,
2022-05-30 23:59:59,-28.477419283066524,c
2022-05-31 00:00:00,-49.04281958561569,
2022-05-31 03:30:00,-33.97193867058286,
2022-05-31 04:00:00,-4.942553476510284,
2022-05-31 06:00:00,13.75158233629827,
2022-05-31 08:00:00,11.423740768490575,
2022-05-31 10:30:00,-33.491138001929244,
2022-05-31 11:00:00,-30.64485197314525,
2022-05-31 23:59:59,-52.00261404617345,c
2022-06-01 00:00:00,-61.94134611248262,
2022-06-01 03:30:00,6.146808461997466,
2022-06-01 04:00:00,12.731210154053656,
2022-06-01 06:00:00,-1.8302937654297011,
2022-06-01 08:00:00,15.312469815720647,
2022-06-01 10:30:00,42.53681166779563,
2022-06-01 11:00:00,58.985268112478366,
2022-06-01 23:59:59,28.759206402372456,c
2022-06-02 00:00:00,33.54860633445526,
2022-06-02 03:30:00,74.65860790258728,
2022-06-02 04:00:00,82.21834559936235,
2022-06-02 06:00:00,100.28128272662809,
2022-06-02 08:00:00,121.98642057194309,
2022-06-02 10:30:00,135.44772054846908,
2022-06-02 11:00:00,141.16261826947118,
2022-06-02 23:59:59,126.07061405967443,c
2022-06-03 00:00:00,122.73048828410538,
2022-06-03 03:30:00,96.06415208646251,
2022-06-03 04:00:00,80.54879031529958,
2022-06-03 06:00:00,97.56694535562815,
2022-06-03 08:00:00,103.11726694726804,
2022-06-03 10:30:00,136.43553307816114,
2022-06-03 11:00:00,117.31288185959795,
2022-06-03 23:59:59,121.2001988427894,w
2022-06-06 00:00:00,142.6230277186189,
2022-06-06 03:30:00,136.6168283930475,
2022-06-06 04:00:00,115.14769296666213,
2022-06-06 06:00:00,53.102864789624164,
2022-06-06 08:00:00,44.07684224076718,
2022-06-06 10:30:00,-0.9281662924922784,
2022-06-06 11:00:00,18.348258741874133,
2022-06-06 23:59:59,13.651803561490397,c
2022-06-07 00:00:00,-16.01781577841325,
2022-06-07 03:30:00,-1.9022679927603576,
2022-06-07 04:00:00,-9.513032468855727,
2022-06-07 06:00:00,-23.611988867028117,
2022-06-07 08:00:00,1.7104838007055605,
2022-06-07 10:30:00,-15.398221709297331,
2022-06-07 11:00:00,-17.57593209654783,
2022-06-07 23:59:59,0.0,a
2022-06-08 00:00:00,8.031146185702255,
2022-06-08 03:30:00,138.4305394279762,
2022-06-08 04:00:00,145.64917323690202,
2022-06-08 06:00:00,250.38205298502277,
2022-06-08 08:00:00,219.02282240378622,
2022-06-08 10:30:00,187.16627657990057,
2022-06-08 11:00:00,171.42707958246388,
2022-06-08 23:59:59,140.65890118831055,c
2022-06-09 00:00:00,138.8185795933781,
2022-06-09 03:30:00,75.1407063867058,
2022-06-09 04:00:00,78.74799616670236,
2022-06-09 06:00:00,93.9376438705516,
2022-06-09 08:00:00,83.15418603837713,
2022-06-09 10:30:00,109.48226750033518,
2022-06-09 11:00:00,123.39525389547532,
2022-06-09 23:59:59,175.28435056207343,c
2022-06-10 00:00:00,63.85371863448745,
2022-06-10 03:30:00,53.89313875465791,
2022-06-10 04:00:00,98.10825210837527,
2022-06-10 06:00:00,153.8258481684062,
2022-06-10 08:00:00,186.87288085877287,
2022-06-10 10:30:00,105.08635905857989,
2022-06-10 11:00:00,89.58928335155827,
2022-06-10 23:59:59,106.60775741684245,w
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
0,106.60775741684245,
2022-06-13 00:00:00,106.60775741684245,
2022-06-13 03:30:00,106.60775741684245,
2022-06-13 04:00:00,106.60775741684245,
