date,AS_MSCI_DM_SC_2022_Q2,meta
2022-04-21 03:00:00,39.300368660270124,
2022-04-21 18:30:00,38.834241862200315,
2022-04-21 20:00:00,38.75994228895843,
2022-04-21 23:00:00,87.38678166223872,
2022-04-21 23:59:59,85.45426040784685,c
2022-04-22 00:00:00,82.3560025639282,
2022-04-22 01:00:00,73.33344469702422,
2022-04-22 02:30:00,73.70240007424718,
2022-04-22 03:00:00,72.62387300202556,
2022-04-22 18:30:00,72.62387300202556,
2022-04-22 20:00:00,72.62387300202556,
2022-04-22 23:00:00,72.62387300202556,
2022-04-22 23:59:59,73.25280985555753,w
2022-04-25 00:00:00,76.63765754420751,
2022-04-25 01:00:00,80.04459716543317,
2022-04-25 02:30:00,75.92699833871734,
2022-04-25 03:00:00,75.44764702575219,
2022-04-25 18:30:00,78.37277447774659,
2022-04-25 20:00:00,78.07868090557645,
2022-04-25 23:00:00,55.77264455685224,
2022-04-25 23:59:59,62.79172768468902,c
2022-04-26 00:00:00,76.93737195945562,
2022-04-26 01:00:00,72.91816114123719,
2022-04-26 02:30:00,74.4201080792468,
2022-04-26 03:00:00,72.81081144406778,
2022-04-26 18:30:00,74.79958934610693,
2022-04-26 20:00:00,76.117437060116,
2022-04-26 23:00:00,71.39698428443114,
2022-04-26 23:59:59,96.5922719480784,c
2022-04-27 00:00:00,87.70428060523443,
2022-04-27 01:00:00,82.28670184937562,
2022-04-27 02:30:00,91.9950753344034,
2022-04-27 03:00:00,92.6105911434563,
2022-04-27 18:30:00,90.57675534864006,
2022-04-27 20:00:00,90.72254415233806,
2022-04-27 23:00:00,114.04200313067963,
2022-04-27 23:59:59,109.16174343107434,c
2022-04-28 00:00:00,105.84144679872043,
2022-04-28 01:00:00,88.57450246461565,
2022-04-28 02:30:00,87.37501258912789,
2022-04-28 03:00:00,87.30087629373247,
2022-04-28 18:30:00,87.86065982829928,
2022-04-28 20:00:00,87.86276081623498,
2022-04-28 23:00:00,112.79635677174804,
2022-04-28 23:59:59,105.61177147216995,c
2022-04-29 00:00:00,111.25440882799205,
2022-04-29 01:00:00,97.308427564201,
2022-04-29 02:30:00,97.05550083267326,
2022-04-29 03:00:00,99.00775126483973,
2022-04-29 18:30:00,99.00775126483973,
2022-04-29 20:00:00,99.00775126483973,
2022-04-29 23:00:00,99.00775126483973,
2022-04-29 23:59:59,102.69679480294485,w
2022-05-02 00:00:00,71.8614393030349,
2022-05-02 01:00:00,71.01881319049392,
2022-05-02 02:30:00,71.01881319049392,
2022-05-02 03:00:00,71.01881319049392,
2022-05-02 18:30:00,68.62863950301892,
2022-05-02 20:00:00,68.37719626447245,
2022-05-02 23:00:00,46.13777471955359,
2022-05-02 23:59:59,48.69437872314859,c
2022-05-03 00:00:00,60.17558444156009,
2022-05-03 01:00:00,53.761152466955764,
2022-05-03 02:30:00,47.856957822407935,
2022-05-03 03:00:00,51.27022217247327,
2022-05-03 18:30:00,56.60354220651459,
2022-05-03 20:00:00,56.43420341677279,
2022-05-03 23:00:00,45.14697910861048,
2022-05-03 23:59:59,45.347154972753174,c
2022-05-04 00:00:00,42.83511766644597,
2022-05-04 01:00:00,40.626281941174625,
2022-05-04 02:30:00,39.181414919712665,
2022-05-04 03:00:00,36.98974539666426,
2022-05-04 18:30:00,39.02158908607453,
2022-05-04 20:00:00,38.88191518469421,
2022-05-04 23:00:00,62.63468880576852,
2022-05-04 23:59:59,73.74752335009737,c
2022-05-05 00:00:00,83.38343029083967,
2022-05-05 01:00:00,77.12284711815494,
2022-05-05 02:30:00,74.62117681467123,
2022-05-05 03:00:00,76.81517220545788,
2022-05-05 18:30:00,79.42108369643086,
2022-05-05 20:00:00,79.31181271104015,
2022-05-05 23:00:00,100.27887467539358,
2022-05-05 23:59:59,99.39808033692725,c
2022-05-06 00:00:00,74.77688790204115,
2022-05-06 01:00:00,74.17955827338994,
2022-05-06 02:30:00,80.53307855613275,
2022-05-06 03:00:00,80.21907613126905,
2022-05-06 18:30:00,80.21907613126905,
2022-05-06 20:00:00,80.21907613126905,
2022-05-06 23:00:00,80.21907613126905,
2022-05-06 23:59:59,71.6462109995557,w
2022-05-09 00:00:00,16.715832417022625,
2022-05-09 01:00:00,5.469122658066112,
2022-05-09 02:30:00,9.478700412797934,
2022-05-09 03:00:00,9.099921303348083,
2022-05-09 18:30:00,6.735335642536256,
