date,AS_MSCI_DM_SC_2022_Q4,meta
2022-09-29 00:00:00,-977.3084663179985,
2022-09-29 01:00:00,-992.0320146442176,
2022-09-29 02:30:00,-962.6707019470912,
2022-09-29 03:00:00,-962.6618617463394,
2022-09-29 18:30:00,-952.192716133115,
2022-09-29 20:00:00,-964.5921875281092,
2022-09-29 23:00:00,-978.1337673382462,
2022-09-29 23:59:59,-985.2094123245384,c
2022-09-30 00:00:00,-1022.3919126219729,
2022-09-30 01:00:00,-1013.8118017469843,
2022-09-30 02:30:00,-1001.2913615258697,
2022-09-30 03:00:00,-1002.3107640916186,
2022-09-30 18:30:00,-1002.3107640916186,
2022-09-30 20:00:00,-1002.3107640916186,
2022-09-30 23:00:00,-1002.3107640916186,
2022-09-30 23:59:59,-1003.3317701861528,w
2022-10-03 00:00:00,-964.9668618073376,
2022-10-03 01:00:00,-952.2775103970721,
2022-10-03 02:30:00,-927.3744915883738,
2022-10-03 03:00:00,-919.516036944415,
2022-10-03 18:30:00,-914.730723018966,
2022-10-03 20:00:00,-970.4847867864613,
2022-10-03 23:00:00,-1032.4492984948006,
2022-10-03 23:59:59,-1028.856797563347,c
2022-10-04 00:00:00,-994.5012952276855,
2022-10-04 01:00:00,-1005.0745677664829,
2022-10-04 02:30:00,-1003.7634507702381,
2022-10-04 03:00:00,-1006.893857999473,
2022-10-04 18:30:00,-1008.6858386594453,
2022-10-04 20:00:00,-1050.762455675666,
2022-10-04 23:00:00,-1014.7886786557668,
2022-10-04 23:59:59,-993.3577862464289,c
2022-10-05 00:00:00,-989.156194874122,
2022-10-05 01:00:00,-992.7087312117935,
2022-10-05 02:30:00,-1011.3600280994721,
2022-10-05 03:00:00,-1018.1394097789604,
2022-10-05 18:30:00,-1007.8022061621184,
2022-10-05 20:00:00,-1006.7059020196427,
2022-10-05 23:00:00,-976.716603874922,
2022-10-05 23:59:59,-1004.7634633570149,c
2022-10-06 00:00:00,-989.0378952399659,
2022-10-06 01:00:00,-971.7518693921952,
2022-10-06 02:30:00,-964.9546445205426,
2022-10-06 03:00:00,-960.3013882308971,
2022-10-06 18:30:00,-958.0562135755358,
2022-10-06 20:00:00,-972.2860445010288,
2022-10-06 23:00:00,-936.8656447207779,
2022-10-06 23:59:59,-937.4040498399427,c
2022-10-07 00:00:00,-939.3502362832294,
2022-10-07 01:00:00,-927.947867003958,
2022-10-07 02:30:00,-933.5280416414037,
2022-10-07 03:00:00,-930.012883239734,
2022-10-07 18:30:00,-930.012883239734,
2022-10-07 20:00:00,-930.012883239734,
2022-10-07 23:00:00,-930.012883239734,
2022-10-07 23:59:59,-929.6560109660411,w
2022-10-10 00:00:00,-893.8085694205772,
2022-10-10 01:00:00,-877.0949018126605,
2022-10-10 02:30:00,-884.7374981940075,
2022-10-10 03:00:00,-880.6823223275369,
2022-10-10 18:30:00,-879.11913733764,
2022-10-10 20:00:00,-835.3716925681333,
2022-10-10 23:00:00,-840.8901224378042,
2022-10-10 23:59:59,-834.9158050543347,c
2022-10-11 00:00:00,-832.438676471525,
2022-10-11 01:00:00,-840.1303088804091,
2022-10-11 02:30:00,-845.7977256708455,
2022-10-11 03:00:00,-844.4578741294017,
