date,AS_DGTL_2022_Q2,meta
2022-05-20 00:00:00,-152.55757517508937,
2022-05-20 01:00:00,-153.53959986930204,
2022-05-20 02:30:00,-153.53959986930204,
2022-05-20 03:00:00,-153.53959986930204,
2022-05-20 18:30:00,-153.53959986930204,
2022-05-20 20:00:00,-153.53959986930204,
2022-05-20 23:00:00,-153.53959986930204,
2022-05-20 23:59:59,-115.77568965888713,w
2022-05-23 00:00:00,-4.237642736503403,
2022-05-23 01:00:00,25.31322265978997,
2022-05-23 02:30:00,25.31322265978997,
2022-05-23 03:00:00,25.31322265978997,
2022-05-23 18:30:00,25.31322265978997,
2022-05-23 20:00:00,25.31322265978997,
2022-05-23 23:00:00,-7.123976167957153,
2022-05-23 23:59:59,-10.787094894369147,c
2022-05-24 00:00:00,-36.60261419905328,
2022-05-24 01:00:00,-66.13864201892648,
2022-05-24 02:30:00,-66.13864201892648,
2022-05-24 03:00:00,-66.13864201892648,
2022-05-24 18:30:00,-66.13864201892648,
2022-05-24 20:00:00,-66.13864201892648,
2022-05-24 23:00:00,-98.73736524144624,
2022-05-24 23:59:59,-94.80110207309372,c
2022-05-25 00:00:00,-102.20132274093521,
2022-05-25 01:00:00,-89.41514324598393,
2022-05-25 02:30:00,-89.41514324598393,
2022-05-25 03:00:00,-89.41514324598393,
2022-05-25 18:30:00,-89.41514324598393,
2022-05-25 20:00:00,-89.41514324598393,
2022-05-25 23:00:00,-55.02737807437552,
2022-05-25 23:59:59,-82.83339470918872,c
2022-05-26 00:00:00,-45.38685845389773,
2022-05-26 01:00:00,-87.11238952060376,
2022-05-26 02:30:00,-87.11238952060376,
2022-05-26 03:00:00,-87.11238952060376,
2022-05-26 18:30:00,-87.11238952060376,
2022-05-26 20:00:00,-87.11238952060376,
2022-05-26 23:00:00,-251.3781762790859,
2022-05-26 23:59:59,-200.47686248508035,c
2022-05-27 00:00:00,-92.54290654050419,
2022-05-27 01:00:00,-103.50065977525446,
2022-05-27 02:30:00,-103.50065977525446,
2022-05-27 03:00:00,-103.50065977525446,
2022-05-27 18:30:00,-103.50065977525446,
2022-05-27 20:00:00,-103.50065977525446,
2022-05-27 23:00:00,-103.50065977525446,
2022-05-27 23:59:59,-160.15023072268013,w
2022-05-30 00:00:00,79.63246973068453,
2022-05-30 01:00:00,157.71138130465079,
2022-05-30 02:30:00,157.71138130465079,
2022-05-30 03:00:00,157.71138130465079,
2022-05-30 18:30:00,157.71138130465079,
2022-05-30 20:00:00,157.71138130465079,
2022-05-30 23:00:00,222.79248473653388,
2022-05-30 23:59:59,195.4971395979046,c
2022-05-31 00:00:00,174.36854186457822,
2022-05-31 01:00:00,127.79802767849469,
2022-05-31 02:30:00,127.79802767849469,
2022-05-31 03:00:00,127.79802767849469,
2022-05-31 18:30:00,127.79802767849469,
2022-05-31 20:00:00,127.79802767849469,
2022-05-31 23:00:00,122.23093375702774,
2022-05-31 23:59:59,111.32759110509687,c
2022-06-01 00:00:00,100.92339632726544,
2022-06-01 01:00:00,73.88265430844149,
2022-06-01 02:30:00,73.88265430844149,
2022-06-01 03:00:00,73.88265430844149,
2022-06-01 18:30:00,73.88265430844149,
2022-06-01 20:00:00,73.88265430844149,
2022-06-01 23:00:00,-117.7860968729201,
2022-06-01 23:59:59,-54.01369368426822,c
2022-06-02 00:00:00,-85.37895509158261,
2022-06-02 01:00:00,-66.2883742484155,
2022-06-02 02:30:00,-66.2883742484155,
2022-06-02 03:00:00,-66.2883742484155,
2022-06-02 18:30:00,-66.2883742484155,
2022-06-02 20:00:00,-66.2883742484155,
2022-06-02 23:00:00,-45.40884458628898,
2022-06-02 23:59:59,-40.98101460669568,c
